"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Separable-Unet with stochastic weight averaging","Yes","New","Yes","Segmentation","Yes","Melanoma and non-melanoma","ISIC 2016, ISIC 2017, PH2 datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient, Jaccard index","93.03% Dice coefficient, 89.25% Jaccard index (ISIC 2016), 86.93% Dice coefficient, 79.26% Jaccard index (ISIC 2017), 94.13% Dice coefficient, 89.40% Jaccard index (PH2)","Yes","Yes","Not informed","Efficient skin lesion segmentation using separable-Unet with stochastic weight averaging"
"Extended-Incremental Convolutional Neural Network (E-ICNN)","Yes","New","No","Classification","Yes","Various (Melanoma, Basal Cell Carcinoma, Actinic Keratosis, etc.)","ISIC 2018 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy","More than 95% accuracy","No","No","Not informed","Classification of Skin Lesions by using Extended-Incremental Convolutional Neural Network"
"Xception convolutional neural network","Yes","Adaptation","No","Classification","Yes","Basal cell carcinoma","Xiangya Skin Disease Dataset","150223","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Accuracy, Area under curve (AUC)","93.596% accuracy, AUC values of 0.974 and 0.969","No","No","Not informed","Clinical image identification of basal cell carcinoma and pigmented nevi based on convolutional neural network"
"Attention Residual Learning Convolutional Neural Network (ARL-CNN)","Yes","New","Yes","Classification","Yes","Melanoma","ISIC-skin 2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","State-of-the-art performance","Yes","No","Not informed","Attention Residual Learning for Skin Lesion Classification"
"Automated deep learning design using Google Cloud AutoML","Yes","Not informed","No","Classification","Yes","Various (including skin lesions)","HAM10000 dataset, MESSIDOR, Guangzhou Medical University and Shiley Eye Institute datasets, NIH dataset","Not informed","Not informed","Not informed","Internal validation and external validation using Edinburgh Dermofit Library dataset","Not informed","Not informed","Yes, compared to state-of-the-art performing deep learning algorithms","Sensitivity, specificity, positive predictive value (precision), area under the precision recall curve (AUPRC)","High diagnostic properties and discriminative performance in internal validations (sensitivity 73·3–97·0%; specificity 67–100%; AUPRC 0·87–1·00)","Yes, comparable to state-of-the-art performing deep learning algorithms","Yes, tested on multiple datasets","Quality of open-access datasets, absence of measurement for precision (such as confidence intervals), and limited performance in external validation study","Automated deep learning design for medical image classification by health-care professionals with no coding experience: a feasibility study"
"Convolutional Neural Network (CNN)","Yes","Not informed","No","Classification","Yes","Melanoma","4204 biopsy-proven images of melanoma and nevi","804 (test set)","Yes (1:1 ratio of melanoma and nevi)","Not informed","Comparison with dermatologists' evaluations","Not informed","Not informed","Yes (dermatologists' evaluations)","Sensitivity, Specificity, Overall Correctness","82.3% Sensitivity, 77.9% Specificity","Yes (outperformed dermatologists)","No","Not informed","Deep neural networks are superior to dermatologists in melanoma image classification"
"SkinSeg - a machine learning approach","Yes","New","Yes","Identification of skin morphology","Yes","Not informed","UWB-RSOM data from 12 human participants","Not informed","Not informed","Yes (data processing and transformation)","Leave-one-out strategy","Not informed","Not informed","Yes (traditional machine learning and deep learning algorithms)","Classification accuracy","86.89% mean classification accuracy using Random Forest","No","No","Not informed","Fully automated identification of skin morphology in raster-scan optoacoustic mesoscopy using artificial intelligence"
"Not informed","Yes","Not informed","No","Prediction","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Need for prospective data","Prediction of melanoma evolution in melanocytic nevi via artificial intelligence: A call for prospective data"
"Not informed","Yes","Not informed","No","Review of dermoscopy in China","Not informed","Not informed","Chinese Skin Image Database","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Needs to address more challenges in the future","Dermoscopy in China: Current status and future prospective"
"Artificial Neural Network (ANN) with ABCD rule","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (black hair removal using Dull Razor algorithm, segmentation using Chan-Vese method)","Not informed","No","Not informed","No","Overall accuracy","98% overall accuracy","No","No","Not informed","Melanoma diagnosis from dermoscopy images using artificial neural network"
"Not informed","Yes","Not informed","Not informed","Review of deep learning techniques for cancer diagnosis","Not informed","Various (breast, lung, brain, skin)","Not informed","Not informed","Not informed","Pre-processing mentioned as part of framework","Not informed","Not informed","Not informed","No","ROC curve, AUC, F1 score, accuracy, specificity, sensitivity, precision, dice-coefficient, average accuracy, Jaccard index","Not informed","No","No","Not informed","Cancer diagnosis using deep learning: A bibliographic review"
"Hybrid Lempel–Ziv–Welch and clipped histogram equalization","No","Not informed","Yes","Compression","Not informed","Not informed","Magnetic resonance imaging (MRI) images","Not informed","Not informed","Yes (median filter)","Not informed","Not informed","Not informed","Yes","Compression ratio, peak signal to noise ratio, mean square error","Not informed","Yes","No","Not informed","Hybrid Lempel–Ziv–Welch and clipped histogram equalization based medical image compression"
"First-order feature extraction using 6 parameters","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","4 sets of test images","Not informed","Not informed","Not informed","No","Not informed","No","Accuracy","85.71% accuracy","No","No","Not informed","First-order Feature Extraction Methods for Image Texture and Melanoma Skin Cancer Detection"
"Risk-aware Bayesian deep learning classifier","Yes","New","No","Classification","Yes","Various (7 common skin lesion categories)","HAM10000 dataset","Not informed","Not informed","Not informed","Not informed","Yes (using DenseNet-169 model)","Not informed","Yes","Classification accuracy","90% classification accuracy with hybrid physician-machine workflow","No","No","Not informed","Risk-aware machine learning classifier for skin lesion diagnosis"
"Multi-grid phase field model","Yes","New","Yes","Segmentation","Not informed","Skin tumor","Clinical dataset of 12 images","12","Not informed","Not informed","Comparison with reference methods","Not informed","Not informed","Yes","Sensitivity, Dice index","12% increase in sensitivity, 59% increase in Dice index","No","No","Not informed","Multi-grid phase field skin tumor segmentation in 3D ultrasound images"
"Fuzzy-based classification approach","Yes","New","No","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","A scheme to classify skin through geographic distribution of tonalities using fuzzy based classification approach"
"Fuzzy Logic and GLCM","Yes","New","Yes","Diagnosis","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","No","Not informed","Good results (implementation section)","No","No","Not informed","Skin Cancer Diagnosis by Using Fuzzy Logic and GLCM"
"Firefly algorithm for rational Bézier border reconstruction","Yes","Not informed","No","Border reconstruction","Not informed","Melanoma","Macroscopic medical images of melanomas","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Firefly algorithm approach for rational bézier border reconstruction of skin lesions from macroscopic medical images"
"Not informed","No","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Skin Transcriptome of Middle-Aged Women Supplemented With Natural Herbo-mineral Shilajit Shows Induction of Microvascular and Extracellular Matrix Mechanisms"
"i-Rash classification scheme using SqueezeNet","Yes","Adaptation","No","Classification","Yes","Not informed (inflammatory skin lesions)","Skin image dataset (1856 images)","1856","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy, Sensitivity, Specificity","97.21% Accuracy, 94.42% Sensitivity, 98.14% Specificity","No","No","Not informed","An intelligent inflammatory skin lesions classification scheme for mobile devices"
"Not informed","Yes","Not informed","Not informed","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","The Possibility of Deep Learning-Based, Computer-Aided Skin Tumor Classifiers"
"Transfer learning using pre-trained CNN weights","No","Adaptation","Yes","Prediction","Yes","Not informed","ILSVRC library, seismic data","Not informed","Not informed","Transformation of seismic data into pseudo-RGB format","Not informed","Yes","Not informed","No","Not informed","Not informed","No","Yes","Limited amounts of data available for specialized work","Transforming seismic data into pseudo-RGB images to predict CO2 leakage using pre-learned convolutional neural networks weights"
"Style transfer-based image synthesis","Yes","Not informed","No","Classification","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (data augmentation using neural style transfer)","Not informed","Mentioned as a regularization technique, but not used in the proposed approach","Yes (using neural style transfer to generate new images)","No","Not informed","Not informed","No","No","Not informed","Style transfer-based image synthesis as an efficient regularization technique in deep learning"
"DermoDeep","Yes","New","Yes","Classification","Yes","Melanoma","2800 region-of-interest (ROI) PSLs","2800","Yes","Not informed","Not informed","Not informed","Not informed","Yes","Sensitivity, Specificity, Area under the receiver operating characteristics (AUC) curve","AUC: 0.96, SE: 93%, SP: 95%","Yes","No","Not informed","DermoDeep-A classification of melanoma-nevus skin lesions using multi-feature fusion of visual features and deep neural network"
"Hybrid convolutional and recurrent neural networks architecture","Yes","New","Yes","Segmentation (hair removal)","Yes","Melanoma","Towards Melanoma Detection: Challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Jaccard Index, Tumour disturb pattern","77.8% Jaccard Index, 14% Tumour disturb pattern","Yes","No","Not informed","Digital hair segmentation using hybrid convolutional and recurrent neural networks architecture"
"Cross-correlation-based feature extraction","Yes","Not informed","No","Classification","Yes","Various (melanoma, BCC, SK)","Dermoscopic images dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Sensitivity","98.76% sensitivity for melanoma, 99.01% for nevus, 98.87% for BCC, and 99.41% for SK","No","No","Not informed","Extraction of features from cross correlation in space and frequency domains for classification of skin lesions"
"Modified Gabor filter, gradient operators and morphological segmentation tool","No","Not informed","Yes","Detection","Yes","Lung cancer","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Lung cancer detection using modified gabor filter, gradient operators and morphological segmentation tool"
"Neural architecture search using network morphism","Yes","New","No","Classification","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Comparable results to hand-designed networks","No","No","Not informed","Deep neural network architecture search using network morphism"
"Linear filtering with global thresholding","Yes","Not informed","Yes","Segmentation","Yes","Not informed","ISIC 2016 dataset","Not informed","Not informed","Yes (enhancement, Gaussian filter, morphological open)","Not informed","Not informed","Not informed","No","Accuracy","96.69% accuracy","No","No","Not informed","A linear filtering on automatic decomposition and reconstruction of dermoscopy images using global thresholding"
"Color image processing with Snake algorithm","Yes","Not informed","Yes","Contour extraction","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (separation of RGB channels, maximum entropy threshold segmentation)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Facial spot contour extraction based on color image processing"
"Gradient and Feature Adaptive Contour (GFAC) model","Yes","New","No","Segmentation","Yes","Melanoma","PH2 dataset","Not informed","Not informed","Yes (pre-processing and noise elimination techniques)","Not informed","Not informed","Not informed","Yes","Segmented image, error reduction, efficient feature extraction","Not informed","Yes","No","Not informed","Early Detection of Skin Cancer Using Melanoma Segmentation technique"
"Smartphone microscope for dermatological parameter extraction","Yes","Not informed","No","Parameter extraction","Yes","Not informed","42 skin lesions images","42","Not informed","Segmentation","5-fold cross-validation","Not informed","Not informed","Yes (comparison with portable dermoscope)","Accuracy","100% accuracy with dermoscopic images, 95% accuracy with smartphone images","No","No","Not informed","Automatic Extraction of Dermatological Parameters from Nevi Using an Inexpensive Smartphone Microscope: A Proof of Concept"
"Ensemble of deep learning models (Inception-v4, ResNet-152, DenseNet-161, U-Net, and U-Net with VGG-16 Encoder)","Yes","Adaptation","Yes","Classification and Segmentation","Yes","Melanoma","ISIC 2017 Skin Lesion Analysis Towards Melanoma Detection Challenge dataset","Not informed","Not informed","Data augmentation","Not informed","Yes","Yes","Yes","Classification and segmentation metrics (not specified)","Ranked 5th in classification and 8th in segmentation among international teams","Yes","No","Not informed","Lesion Segmentation and Automated Melanoma Detection using Deep Convolutional Neural Networks and XGBoost"
"U-net based approach","Yes","New","No","Segmentation","Yes","Melanoma","36 digitized histopathological images from two different clinical sites","36","Not informed","Augmentation (extracted and augmented from 36 digitized histopathological images)","End-to-end training","Not informed","Yes (augmented from 36 digitized histopathological images)","Yes","Positive Predictive Value, Sensitivity, Dice Similarity Coefficient, Matthews Correlation Coefficient","Mean Positive Predictive Value at 0.89 ± 0.16, Sensitivity at 0.92 ± 0.1, Dice Similarity Coefficient at 0.89 ± 0.13 and a Matthews Correlation Coefficient at 0.89 ± 0.11","Yes (superior performance when compared to existing techniques)","No","Not informed","A U-net based approach to epidermal tissue segmentation in whole slide histopathological images"
"Machine learning classifier for periodontal inflammation segmentation","No","Not informed","Yes","Segmentation and correlation with systemic health","Yes","Not informed","Intraoral fluorescent images dataset (1215 images, 284 subjects)","1215","Not informed","Not informed","Not informed","Not informed","Not informed","No","AUC, precision, recall","AUC of 0.677, precision of 0.271, recall of 0.429","No","No","Not informed","Automated Process Incorporating Machine Learning Segmentation and Correlation of Oral Diseases with Systemic Health"
"CNN-based ensemble methods (VGG19-UNet, DeeplabV3+)","Yes","Adaptation","Yes","Segmentation","Yes","Melanoma","ISIC 2018 challenge dataset","2,594","Not informed","Yes (preprocessing methodologies)","Train/Test Split (80% training, 20% validation)","Not informed","Not informed","No","Accuracy, Jaccard Index, Dice Coefficient","93.6% Accuracy, 0.815 Average Jaccard Index, 0.887 Dice Coefficient","No","No","Not informed","Deep Learning Ensemble Methods for Skin Lesion Analysis towards Melanoma Detection"
"Deep learning with conditional random fields","Yes","Not informed","Yes","Segmentation","Yes","Skin cancer","New clinical dataset collected using smartphones","Not informed","Not informed","Color space combination","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Ground truth images affect the final segmentation","Skin lesion segmentation using deep learning for images acquired from smartphones"
"Convolutional Neural Network (CNN)","No","Not informed","Yes","Segmentation","Yes","Not applicable (diabetic wound)","Not informed","42","Not informed","Yes (artifact removal)","Not informed","Not informed","Not informed","No","Segmentation accuracy, Dice index","Not informed","No","No","Not informed","Diabetic Wound Segmentation using Convolutional Neural Networks"
"Integrated HMF Multi-Atlas Map Based Segmentation","Yes","New","Yes","Diagnosis","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Segmentation accuracy, sensibility, specificity, cost function","Maximum segmentation accuracy, sensibility, specificity and minimum cost function","Yes","No","Not informed","An Efficient Melanoma Diagnosis Approach Using Integrated HMF Multi-Atlas Map Based Segmentation"
"DCNN with Transfer Learning","No","Adaptation","Yes","Classification","Yes","Not informed","Real tactile dataset","Not informed","Not informed","Yes (3D tensorial data transformed into 2D images)","Not informed","Yes","Not informed","Yes","Classification results","Outperformed existing literature results","Yes","No","Not informed","DCNN for Tactile Sensory Data Classification based on Transfer Learning"
"Two schemes for automated diagnosis of lentigo","Yes","Not informed","Yes","Classification","Yes","Lentigo (Benign and Malignant)","Reflectance Confocal Microscopy images","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Yes (Wavelets, Haralick and CNN through Transfer Learning)","Not informed","Not informed","No","No","Not informed","Two schemes for automated diagnosis of lentigo on confocal microscopy images"
"Pertinent feature extraction based on ABCD rule","Yes","Not informed","No","Diagnosis","Yes","Melanoma","Dermoscopy images dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy, Sensitivity, Specificity","98% classification accuracy, 97.5% sensitivity, 98.75% specificity","No","No","Not informed","A Computational Approach to Pertinent Feature Extraction for Diagnosis of Melanoma Skin Lesion"
"K-means clustering and hybrid classification model (GA-ANN)","Yes","New","Yes","Classification","Yes","Not informed","Dermoscopic image dataset","Not informed","Not informed","Yes","Not informed","No","Not informed","Yes","Accuracy, performance","Not informed","No","No","Not informed","Analysis of skin cancer using k-means clustering and hybrid classification model"
"Modified MobileNet","Yes","Adaptation","No","Classification","Yes","Not informed","HAM10000 dataset","10,000","Not informed","Data up-sampling and data augmentation","Not informed","Yes","Yes","Yes","Accuracy, specificity, sensitivity, F1-score","Not informed","No","No","Not informed","Convolutional Neural Networks Using MobileNet for Skin Lesion Classification"
"Image processing and classification method","Yes","Not informed","No","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Yes (segmentation of spots with distinct color)","Not informed","Not informed","Not informed","No","Accuracy","Good accuracy (not specified)","No","Yes (plant disease and skin disorder datasets)","Not informed","Image Processing and Classification Method Appropriate for Extensible Mobile Applications"
"Hybrid feature extraction approach using ABCD rule, GLCM, LBP, and BPN","Yes","New","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (RGB to HSV)","Not informed","No","Not informed","No","Not informed","Not informed","No","No","Not informed","A hybrid feature extraction approach for the detection of melanoma using neural network"
"Mobile application for skin disease detection","Yes","Not informed","Yes","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Technical research on skin deficiencies using medical image processing applications"
"GAN-based data augmentation","Yes","Not informed","Yes","Classification","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (GAN-based)","Yes","Not informed","Not informed","No","No","Not informed","Skin Lesion Classification Using GAN based Data Augmentation"
"Fine-tuned pre-trained CNN models","Yes","Adaptation","Yes","Classification","Yes","Not informed","HAM10000 dataset","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy, F-score","82.8% Accuracy, 0.7 Average F-score","No","No","Not informed","Deep Learning Diagnosis of Pigmented Skin Lesions"
"Convolutional Neural Network (CNN) model","Yes","Not informed","No","Prediction","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Convolutional neural network model for predicting skin based diseases and evaluation of risk assessment"
"Content-based image retrieval (CBIR) with deep classification features","Yes","Not informed","Yes","Classification","Yes","Malignant lesion","Three retrospectively collected image datasets (888, 2750 and 16,691 images)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (softmax predictions)","Area under the receiver operating characteristic curve (AUC), multiclass-accuracy, mean average precision (mAP)","AUC values: 0.842, 0.806 and 0.852","No","Yes (three datasets)","Not informed","Diagnostic accuracy of content-based dermatoscopic image retrieval with deep classification features"
"Two-stage approach with U-Net and FuzzEdge","Yes","New","Yes","Border detection","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Comparison with manual border drawings","Not informed","Not informed","Yes","Dice similarity","87.7% average Dice similarity","No","No","Not informed","A Deep Learning Based Approach to Skin Lesion Border Extraction with a Novel Edge Detector in Dermoscopy Images"
"Amalgamation of statistical features, GLCM features and GLRLM features","Yes","Not informed","Yes","Diagnosis","Yes","Not informed","PH2 database","100","Not informed","Yes (Otsu’s thresholding and Region growing)","Not informed","Not informed","Not informed","No","Sensitivity, specificity, accuracy, precision, recall, f-measure","Not informed","No","No","Not informed","Improved technique to diagnose skin cancer using advanced image processing and machine learning techniques"
"Parallel Skin framework","Yes","New","Yes","Dermatological analysis","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (data generation)","No","Not informed","Not informed","No","No","Need for large labeled medical data, limited interpretability","Parallel Skin: A Vision-Based Dermatological Analysis Framework; [平行皮肤:基于视觉的皮肤病分析框架]"
"Deep learning architectures (VGG16, TernausNet, DeepLabV3+)","Yes","New","No","Segmentation","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (pre-trained VGG16 encoder)","Not informed","Yes","Jaccard Index","0.876 Jaccard Index score (DeepLabV3+)","No","No","Not informed","Skin lesion segmentation with deep learning"
"Deep learning with high-level position information","Yes","Not informed","No","Classification","Yes","Not informed","SD-198-P dataset","6584","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperforms state-of-the-art methods","Yes","No","Not informed","Automatic classification of clinical skin disease images with additional high-level position information"
"CAD system for burn classification","Yes","Not informed","No","Classification and Segmentation","Yes","Not applicable (burn injuries)","Dataset of burnt skin images from Allied Hospital Faisalabad, Pakistan","Not informed","Not informed","Yes (Otsu method of thresholding for segmentation and image enhancement)","Not informed","Not informed","Not informed","No","Accuracy","74.86% accuracy using multiple classifiers","No","No","Not informed","Computer Aided Diagnosis (CAD) for Segmentation and Classification of Burnt Human skin"
"Feature extraction using ABCD rule and artificial neural network","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (Dull-Razor algorithm for hair removal, Otsu and Chan-Vese algorithms for segmentation)","Not informed","Not informed","Not informed","No","Classification accuracy, sensitivity, specificity","98.2% overall classification accuracy, 98% sensitivity, 98.2% specificity","No","No","Not informed","Feature extraction from dermoscopy images for melanoma diagnosis"
"C-UNet","Yes","New","Yes","Segmentation","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (fine-tune technique)","Not informed","Yes (compared with UNet)","Accuracy","Not informed","No","No","Not informed","Skin Lesion Segmentation with C-UNet"
"PsLSNet: Modified U-Net-based fully convolutional network","Yes","Adaptation","No","Segmentation","Yes","Psoriasis","5241 images of psoriasis lesions from 1026 patients","5241","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient, accuracy, sensitivity, specificity","93.03% Dice coefficient, 94.80% accuracy, 89.60% sensitivity, 97.60% specificity","Yes","No","Not informed","PsLSNet: Automated psoriasis skin lesion segmentation using modified U-Net-based fully convolutional network"
"U-Net and Mask R-CNN","Yes","Not informed","No","Segmentation","Yes","Melanoma","ISIC 2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Mask R-CNN outperformed U-Net","No","No","Not informed","A Brief Analysis of U-Net and Mask R-CNN for Skin Lesion Segmentation"
"Not informed","Yes","Not informed","Not informed","Survey of cancer detection using deep learning","Not informed","Various (breast, lung, brain, skin)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Study of detection of various types of cancers by using deep learning: A survey"
"Multi-tree Genetic Programming","Yes","New","Yes","Classification","Yes","Melanoma","Two benchmark skin image datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","Yes","Not informed","Multi-tree Genetic Programming with A New Fitness Function for Melanoma Detection"
"Multi-model deep neural network with kurtosis controlled principle component (KcPCA) based optimal features selection","Yes","Adaptation","Yes","Classification","Yes","Melanoma","HAM10000, ISBI 2017, and ISBI 2016 datasets","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy","95.60% accuracy on ISBI 2017 dataset","Yes","Yes","Not informed","Multi-model deep neural network based features extraction and optimal selection approach for skin lesion classification"
"Convolutional Neural Network (CNN) classifier","Yes","Not informed","No","Classification","Yes","Melanoma","ISBI 2016 challenge test data","379","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Average precision, Area under the receiver operating curve (AUC-ROC)","0.709 average precision, 0.85 AUC-ROC","Yes","No","Not informed","Enhanced classifier training to improve precision of a convolutional neural network to identify images of skin lesions"
"Convolutional Neural Network (CNN)","Yes","Not informed","No","Classification","Yes","Skin cancer","Dataset of skin cancer images (10,015 images)","10,015","Not informed","Not informed","Not informed","Yes (pre-trained model)","Not informed","No","Not informed","Not informed","No","No","Latency, privacy concerns with cloud-based approach","Machine learning on mobile: An on-device inference app for skin cancer detection"
"HSV Model with automatic threshold segmentation","Yes","Not informed","No","Segmentation","Yes","Not informed","PH2 dataset, ISIC 2016 Dataset","Not informed","Not informed","Yes (Gaussian filtering, Histogram equalization)","Not informed","Not informed","Not informed","Yes","Accuracy","96% accuracy for PH2 dataset, 95% for ISIC 2016 Dataset","No","Yes","Not informed","An Automatic Threshold Segmentation and Mining Optimum Credential Features by Using HSV Model"
"Deep learning-based tools for data purification and augmentation","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not specified","Not informed","No","Yes (removing image occlusions)","Not informed","Not informed","Yes (using generative adversarial networks)","Yes","Not specified","Superior performance over common baselines","No","No","Small, imbalanced datasets with occlusions","Towards automated melanoma detection with deep learning: Data purification and augmentation"
"Deep Metric Learning Enhanced Neural Network (DMLEN)","Yes","New","Yes","Segmentation","Yes","Not informed","Two datasets (not specified)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","MAE (Mean Absolute Error)","Decreases MAE by at least 3% compared to previous methods","Yes","Yes","Not informed","An Enhanced Neural Network Based on Deep Metric Learning for Skin Lesion Segmentation"
"Sampling with level set (SLS-CT)","Yes","New","Yes","Segmentation","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (hair and black frame removal, Otsu thresholding, entropy maximization)","Not informed","Not informed","Not informed","Yes","Accuracy","Not informed","Yes","Yes","Not informed","Sampling with level set for pigmented skin lesion segmentation"
"Kernelized manifold mapping","Yes","New","No","Adversarial robustness","Yes","Not informed","ISBI ISIC 2017 skin lesion segmentation dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Robustness to adversarial perturbations","Increased resilience to adversarial perturbations without accuracy drop on clean data","Yes","Yes (MNIST, ISBI ISIC 2017 skin lesion segmentation, and NIH Chest X-Ray-14)","Not informed","A kernelized manifold mapping to diminish the effect of adversarial perturbations"
"Improved U-net","Yes","Adaptation","No","Segmentation","Yes","Melanoma","2017 ISIC Challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","State-of-the-art performance","Yes","No","Not informed","Skin Lesion Segmentation Based on Improved U-net"
"Not informed","Yes","Not informed","No","Monitoring","Not informed","Various (BCC, SCC, Melanoma)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Skin Cancer Monitoring Project"
"Deep attention model for hierarchical diagnosis","Yes","New","Yes","Classification","Yes","Not informed","ISIC 2017 and ISIC 2018 datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","Yes","Not informed","Deep attention model for the hierarchical diagnosis of skin lesions"
"Multilayer Feed-Forward Artificial Neural Networks","Yes","Not informed","Yes","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Yes","Accuracy","93.7% Accuracy","No","No","Not informed","Performance analysis of low-level and high-level intuitive features for melanoma detection"
"Comparison of deep learning architectures","Yes","Not informed","No","Detection","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes (horizontal and vertical flipping)","Yes","Accuracy","Not informed","Yes","No","Not informed","A comparative study of deep learning architectures on melanoma detection"
"Morphological Geodesic Active Contour (MGAC) segmentation","Yes","New","No","Segmentation","Not informed","Not informed","PH2 dermoscopic images database","Not informed","Not informed","Not informed","Not informed","No","Not informed","Yes","Jaccard Index, Dice coefficient, Matthew correlation coefficient, sensitivity, specificity, accuracy, F-measure","86.16% Jaccard Index, 92.09% Dice coefficient, 87.52% Matthew correlation coefficient, 91.72% sensitivity, 97.99% specificity, 94.59% accuracy, 93.82% F-measure","Yes","No","Not informed","Automatic skin lesions segmentation based on a new morphological approach via geodesic active contour"
"Digital image processing for thermographic images","Yes","Not informed","No","Characterization","Yes","Squamous cell carcinomas and melanomas","Thermographic images of skin cancer lesions","Not informed","Not informed","Yes (identification of areas of interest, color segmentation, quantitative discrimination according to color tonality and analysis by histograms)","Not informed","Not informed","Not informed","No","Not informed","Lesions with skin cancer have values in the red component above 100 under the RGB color space","No","No","Not informed","Characterization of thermographic images of skin cancer lesions using digital image processing"
"Neural Network-based boundary detection","Yes","Not informed","No","Boundary detection","Yes","Not informed","Freely available pictures","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Skin lesion boundary detection with neural networks on iOS devices"
