"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"FocusNet: Attention-based Fully Convolutional Network","Yes","New","Yes","Segmentation","Yes","Skin cancer","Benchmark segmentation datasets (skin cancer and lung lesion)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (U-Net and residual variant)","Not informed","Highly competitive performance","Yes","Yes (skin cancer and lung lesion segmentation datasets)","Not informed","Focusnet: An attention-based fully convolutional network for medical image segmentation"
"Active Contours Based Segmentation","Yes","New","Yes","Segmentation and Classification","Yes","Melanoma","PH2 and ISIC dermoscopy datasets","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","Yes","Not informed","Active Contours Based Segmentation and Lesion Periphery Analysis for Characterization of Skin Lesions in Dermoscopy Images"
"Portable Spectroscopic System","Yes","Not informed","Yes","Diagnosis","Yes","Various (malignant melanoma, basal cell carcinoma)","Not informed","Not informed","Not informed","Not informed","Comparison with human oncologist and highly sensitive spectroscopic system","Not informed","Not informed","Yes","Specificity, Sensitivity, Accuracy","100% accuracy for benign and malignant skin tumors differentiation","No","No","Not informed","Portable spectroscopic system for in vivo skin neoplasms diagnostics by Raman and autofluorescence analysis"
"Segmentation Recommender using Crowdsourcing and Transfer Learning","Yes","New","Yes","Segmentation","Yes","Not informed","ISIC2017 dataset","Not informed","Not informed","Yes","Not informed","Yes","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","An image-based segmentation recommender using crowdsourcing and transfer learning for skin lesion extraction"
"Not informed","No","Not informed","Not informed","Comparison of SPF moisturisers and sunscreens","Not informed","Not informed","Not informed","84 participants","Not informed","Yes (UV sensitive DSLR camera, facial landmark identification, segmentation mapping)","Not informed","Not informed","Not informed","Yes (SPF moisturisers vs sunscreens)","Area of face missed, coverage of eyelid regions","Sunscreen application was significantly better than SPF moisturiser application","Not informed","No","Participants were unaware of their incomplete coverage","Application of SPF moisturisers is inferior to sunscreens in coverage of facial and eyelid regions"
"Multivariate Parametric Statistical Tests of Hypothesis","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Segmentation of region of interest","Not informed","Not informed","Not informed","No","Average Correct Classification","Up to 92.27% correct classification","No","No","Not informed","Melanoma image classification based on multivariate parametric statistical tests of hypothesis"
"Imaging Method for Noise Removal and Segmentation","Yes","Not informed","Yes","Segmentation","No","Melanoma","Not informed","Not informed","Not informed","Yes (inpainting, edge detection, intensity-based threshold)","Not informed","No","Not informed","No","Jaccard Index, Correlation Coefficient","89.2383% Jaccard Index, 92.5271% Correlation Coefficient","No","No","Not informed","Imaging method for Noise Removal and segmentation of Skin Lesions from Dermoscopic Images"
"Image Segmentation using Otzu Thresholding, Chain Code and Skeletonization","Yes","Not informed","Yes","Segmentation","Yes","Melanoma","Dermatology Information System (DermIS)","92","No","Yes (Otzu thresholding, chain code and skeletonization methods)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","A method to detect potentially malignant skin lesions through image segmentation"
"Not informed","Yes","Not informed","Not informed","Overview and Future Directions","Not informed","Melanoma","International Skin Imaging Collaboration dataset (2016)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Dermoscopy Image Analysis: Overview and Future Directions"
"Improved Segmentation Approach","Yes","New","Yes","Classification","Yes","Melanoma and Non-Melanoma","Not informed","Not informed","Not informed","Yes (multiscale decomposition)","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","An improved segmentation approach for skin lesion classification"
"Deep Convolutional Neural Network (DCNN)","Yes","New","No","Classification","Yes","Not informed","University of Tsukuba Hospital dataset (4867 images, 1842 patients)","4867","Not informed","Not informed","Comparison with board-certified dermatologists and trainees","Not informed","Not informed","Yes (board-certified dermatologists and dermatology trainees)","Accuracy, Sensitivity, Specificity","92.4% Accuracy, 96.3% Sensitivity, 89.5% Specificity","No","No","Not informed","Deep-learning-based, computer-aided classifier developed with a small dataset of clinical images surpasses board-certified dermatologists in skin tumour diagnosis"
"Convolutional Neural Network with Novel Regularizer","Yes","New","No","Classification","Yes","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, AUC-ROC","97.49% Accuracy","Yes","No","Not informed","Skin Lesion Classification Using Convolutional Neural Network with Novel Regularizer"
"Not informed","Yes","Not informed","Not informed","Detection","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Guest Editorial Skin Lesion Image Analysis for Melanoma Detection"
"Image Segmentation Techniques","Yes","Not informed","Yes","Detection","Yes","Not informed","Not informed","Not informed","Not informed","Yes (deblurring, noise reduction)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Skin disease detection based on different segmentation techniques"
"Hierarchical CNN Model","Yes","New","Yes","Classification","Yes","Melanoma","HAM10000 dataset","Not informed","No (heavy class imbalance)","Data Augmentation","Not informed","Yes","Yes","Yes (3 hierarchical combinations)","Not informed","Not informed","No","No","Class imbalance","A hierarchical approach to skin lesion classification"
"Not informed","Yes","Not informed","No","Detection","Not informed","Melanoma","Not informed","Not informed","Not informed","Yes (review of pre-processing approaches)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Image pre-processing in computer vision systems for melanoma detection"
"Fully Convolutional Network (FCN) based on U-Net architecture","Yes","Adaptation","No","Segmentation","Yes","Melanoma","Not informed","Not informed","Not informed","Data augmentation","Not informed","Not informed","Yes","Yes","Dice Coefficient, Accuracy, Sensitivity, Specificity","90% Dice Coefficient, 96% Sensitivity","Yes","No","Not informed","Deep learning model for skin lesion segmentation: fully convolutional network"
"Batch Normalized Convolutional Neural Network (BN-CNN)","Yes","New","No","Classification","Yes","Not informed","Dermoscopic images dataset","Not informed","Not informed","Not informed","Train-test split (30% test data)","No","Not informed","Yes (custom CNN model without batch normalization and with dropout)","Accuracy","89.30% Accuracy","No","No","Not informed","Performance analysis of convolutional neural network (CNN) based cancerous skin lesion detection system"
"Melanoma Cancer Diagnosis Device","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes (image processing techniques)","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Melanoma cancer diagnosis device using image processing techniques"
"Attention-based DenseUnet Network with Adversarial Training","Yes","New","Yes","Segmentation","Yes","Not informed","ISBI2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Jaccard Distance Loss, Adversarial Feature Matching Loss, JAC, SEN","0.8045 JAC, 0.8734 SEN","Yes","No","Not informed","Attention-based denseunet network with adversarial training for skin lesion segmentation"
"Multiple Instance Learning (MIL) approach","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","31","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Promising preliminary results","No","No","Not informed","On the Usefulness of Pre-Processing Step in Melanoma Detection Using Multiple Instance Learning"
"Supervised and Unsupervised Deep Learning Based Approaches","Yes","Not informed","No","Segmentation","Yes","Melanoma","Not informed","12","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient, Jaccard index","77.7% Dice coefficient, 67.2% Jaccard index","No","No","Not informed","Supervised Versus Unsupervised Deep Learning Based Methods for Skin Lesion Segmentation in Dermoscopy Images"
"Non-local context encoder (NLCE)","Yes","New","Yes","Segmentation","Yes","Various","Lung and skin lesion segmentation datasets","64","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperforms state-of-the-art methods against adversarial attacks","Yes","Yes","Not informed","Non-local context encoder: Robust biomedical image segmentation against adversarial attacks"
"U-net based segmentation and multiple feature extraction","Yes","New","Yes","Segmentation and Classification","Yes","Melanoma","Not informed","9","Not informed","Yes","Not informed","Not informed","Not informed","Yes","Not informed","Better performance than existing techniques","No","No","Not informed","U-net based segmentation and multiple feature extraction of dermascopic images for efficient diagnosis of Melanoma"
"Modified convolutional neural network model","Yes","New","No","Classification","Yes","Melanoma","Not informed","6","Not informed","Not informed","Training and test sets","Not informed","Not informed","No","Prediction accuracy","91.92% on training set, 89.5% on test set","No","No","Not informed","Prediction of skin cancer based on convolutional neural network"
"Bypass-Based U-Net","Yes","Adaptation","Yes","Segmentation","Yes","Various","DRIVE dataset and ISBI 2018 challenge","4","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperforms original U-Net on DRIVE and ISBI datasets","No","Yes","Not informed","A Bypass-Based U-Net for Medical Image Segmentation"
"Convolutional Neural Network (CNN) with SVM","Yes","New","Yes","Segmentation and Border Detection","Yes","Melanoma","Not informed","26","Not informed","Not informed","Not informed","Not informed","Not informed","No","Jaccard index, Accuracy, Precision, Recall, F-value","Jaccard index (0.90), Accuracy (95.85%), Precision (94.31%), Recall (94.31%), and F-value (94.14%)","No","No","Not informed","Segmentation and border detection of melanoma lesions using convolutional neural network and SVM"
"Not informed","Yes","Not informed","Not informed","Detection and Diagnosis","Yes","Melanoma","Not informed","1","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","A comparative study on skin cancer detection using machine learning models"
"Deep Neural Networks with Bayesian techniques","Yes","Not informed","No","Classification and Uncertainty Quantification","Yes","Various","HAM10000 dataset","13","Not informed","Not informed","Not informed","Not informed","Not informed","No","Uncertainty metric based on overlap of output distributions","Promising results on HAM10000 dataset","No","No","Variance-based metrics have limitations","Quantifying Uncertainty of Deep Neural Networks in Skin Lesion Classification"
"Not informed","Yes","Not informed","Not informed","Various (image segmentation, classification, etc.)","Not informed","Not informed","Not informed","0","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","BIOIMAGING 2019 - 6th International Conference on Bioimaging, Proceedings; Part of 12th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2019"
"Dense-Residual Attention Network","Yes","New","Yes","Segmentation","Yes","Various","ISIC 2017 Challenge dataset","12","Not informed","Not informed","Not informed","No","Not informed","Yes","Jaccard distance","State-of-the-art performance on ISIC 2017 Challenge dataset","Yes","No","Not informed","Dense-Residual Attention Network for Skin Lesion Segmentation"
"Relation Hashing Network with Prior Features","Yes","New","Yes","Classification","Yes","Various","ISIC Skin 2017 dataset","9","Not informed","Not informed","Not informed","Yes (meta-learning)","Not informed","Yes","Not informed","State-of-the-art performance on ISIC Skin 2017 dataset","Yes","No","Not informed","A Relation Hashing Network Embedded with Prior Features for Skin Lesion Classification"
"LCASA-Net","Yes","New","No","Segmentation","Yes","Melanoma","ISBI 2017 dataset","7","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Performance (e.g. accuracy, precision, recall)","Higher performance than existing state-of-the-art methods","Yes","No","Not informed","A Light-Weight Context-Aware Self-Attention Model for Skin Lesion Segmentation"
"HLF-Net (High- and Low-Level Feature Enhancement Network)","Yes","New","Yes","Segmentation","Yes","Various","Two challenging datasets (skin lesion and spleen segmentation)","3","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Considerable improvement in performance","No","Yes","Not informed","High- and Low-Level Feature Enhancement for Medical Image Segmentation"
"FCA-Net: Adversarial Learning with Multi-Scale Features and Factorized Channel Attention","Yes","New","Yes","Segmentation","Yes","Various","ISBI2016, ISBI2017, and ISIC2018 datasets","64","Not informed","Multi-scale input strategy","Not informed","Not informed","Not informed","Yes","Dice coefficient and intersection over union (IoU) score","Competitive results compared to state-of-the-art methods","Yes","Yes","Not informed","FCA-Net: Adversarial Learning for Skin Lesion Segmentation Based on Multi-Scale Features and Factorized Channel Attention"
"Deep Supervised Multi-Scale Network (DSM-Network)","Yes","New","Yes","Segmentation","Yes","Melanoma","ISBI 2017 and PH2 datasets","56","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Competitive performance compared with other state-of-the-art methods","Yes","Yes","Not informed","DSM: A Deep Supervised Multi-Scale Network Learning for Skin Cancer Segmentation"
"Active Learning Framework","Yes","Not informed","No","Cost-effective skin lesion analysis","Yes","Various","ISIC 2017 Skin Lesion Classification Challenge","37","Not informed","Data augmentation (aggregating intra-class images in pixel space)","Not informed","Not informed","Yes (new form of data augmentation by aggregating intra-class images in pixel space)","Yes (compared to other active learning methods and full-data training)","Accuracy","State-of-the-art performance using only up to 50% of samples, comparable or exceeding accuracies with full-data training","Yes","No","Not informed","An Active Learning Approach for Reducing Annotation Cost in Skin Lesion Analysis"
"Thresholding with tree different threshold values","Yes","Not informed","No","Segmentation and Quality Analysis","Yes","Malignant Melanoma","Not informed","0","Not informed","Thresholding","Not informed","Not informed","Not informed","No","Statistics generated after image segmentation","Not informed","No","No","Not informed","Quality analysis of dermatoscopic images thresholding with malignant melanoma"
"Skeletonization-based features for skin lesion classification","Yes","New","Yes","Classification and Detection","Yes","Melanoma","Not informed","7","Not informed","PDE multiscale decomposition","Not informed","Not informed","Not informed","Yes","Classification accuracy","Good classification accuracy compared to recent approaches","Yes","No","Not informed","New and efficient features for skin lesion classification based on skeletonization"
"Neutrosophic Multiple Deep Convolutional Neural Network (NMDCNN)","Yes","New","Yes","Classification of skin lesions in dermoscopy images","Yes","Various (malignant or benign)","International Skin Imaging Collaboration (ISIC) dataset","13","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed (but proved competent)","Not informed","No","No","Not informed","Neutrosophic multiple deep convolutional neural network for skin dermoscopic image classification"
"Dense-Residual Network with Adversarial Learning","Yes","New","Yes","Segmentation","Yes","Various","ISBI2017 and PH2 datasets","33","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","End point error, Jaccard distance, multi-scale objective loss function","Superior to other state-of-the-art algorithms on ISBI2017 and PH2 datasets","Yes","Yes","Not informed","Dense-Residual Network with Adversarial Learning for Skin Lesion Segmentation"
"Convolutional Neural Networks (CNNs)","Yes","Not informed","No","Detection of skin cancer","Yes","Various","Not informed","1","Not informed","Not informed","Comparison with dermatologists","Not informed","Not informed","Yes, compared to dermatologists","Diagnostic accuracy","High diagnostic accuracy demonstrated in studies","No","No","Further research needed for effective integration into clinical practice","Utilizing convolutional neural networks to detect skin cancer: A review of initial trials"
"C4Net (Convolutional Neural Network model)","Yes","New","No","Melanoma Detection and Classification","Yes","Melanoma","Not informed","29","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (AlexNet, GoogLeNet, ResNet, VGGNet, Artificial neural networks, k-Nearest neighbor algorithm and Support vector machine)","Classification accuracy","96.94% classification accuracy","No","No","Not informed","Melanoma detection from dermoscopy images with deep learning methods: A comprehensive study; [Derin öğrenme yöntemleriyle dermoskopi görüntülerinden melanom tespiti: Kapsamlı bir çalışma]"
"Deep Extreme Cut (DEXTR) with Faster-RCNN-InceptionV2 network","Yes","New","Yes","Lesion boundary segmentation","Yes","Various","ISIC challenge-2017 and PH2 dataset","15","Not informed","Not informed","Testing set","Yes (Faster-RCNN-InceptionV2 network)","Not informed","Yes (winner algorithm of the competition)","Jaccard index","82.2% on ISIC testing set and 85.8% on PH2 dataset","Outperformed winner algorithm by 5.7%","Yes (ISIC challenge-2017 and PH2 dataset)","Not informed","Skin lesion boundary segmentation with fully automated deep extreme cut methods"
"Consecutive Deep Encoder-Decoder Network (CDED-net)","Yes","New","Yes","Boundary Segmentation","Yes","Polyp and skin lesion","CVC-ColonDB, CVC-ClinicDB, ETIS-Larib PolypDB, PH2, ISBI 2016 skin lesion segmentation dataset, CT healthy abdominal organ segmentation dataset","50","Not informed","Boundary-emphasization data augmentation method","Not informed","Not informed","Yes","Yes","Dice loss function","Significantly surpasses state-of-the-art methods","Yes","Yes","Not informed","Robust Boundary Segmentation in Medical Images Using a Consecutive Deep Encoder-Decoder Network"
"Adaptive Segmentation Mask Attack (ASMA)","Yes","Not informed","No","Analyzing vulnerability to adversarial examples","Not informed","Various","ISIC skin lesion segmentation challenge","46","Not informed","Not informed","Not informed","Not informed","Not informed","No","Intersection-over-union rates","High intersection-over-union rates between target adversarial mask and prediction","No","Yes","Vulnerability of deep learning models to adversarial examples","Impact of Adversarial Examples on Deep Learning Models for Biomedical Image Segmentation"
"Deep learning-based approaches","Yes","Not informed","No","Melanoma detection and skin lesion analysis","Yes","Melanoma","ISIC 2018 Challenge dataset","20","Not informed","Not informed","Validation set","Not informed","Not informed","Yes","Accuracy","96.67% accuracy on validation set","Yes","No","Not informed","Skin lesion analysis toward melanoma detection using deep learning techniques"
"Convolutional Neural Network (CNN)","Yes","New","No","Diagnosis of Skin Cancer","Yes","Melanoma","Not informed","14","Not informed","Yes","Not informed","Not informed","Not informed","No","Accuracy","0.74 Accuracy","No","No","Not informed","Convolutional neural network for diagnosing skin cancer"
"Different CNN algorithms","Yes","New","No","Classification of face skin diseases","Yes","Various (SK, AK, ROS, LE, BCC, SCC)","Xiangya-Derm dataset","117","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Average precision, recall","92.9% recall for LE, 89.2% recall for BCC, 84.3% recall for SK","No","Yes","Not informed","Studies on Different CNN Algorithms for Face Skin Disease Classification Based on Clinical Images"
"Deep Neural Network with Fuzzy C-Means","Yes","New","Yes","Melanoma Diagnosis","Yes","Melanoma","Public database of 206 lesion images","11","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Sensitivity and Accuracy","90.1% sensitivity and 87.5% accuracy","Yes","No","Not informed","Deep neural network for fuzzy automatic melanoma diagnosis"
"Computer vision system using color and texture features","Yes","Not informed","No","Melanoma detection","Yes","Melanoma","Not informed","34","Not informed","No pre-processing technique applied","Not informed","Not informed","Not informed","Yes, preliminary analysis of classification techniques","Not informed","Not informed","No","No","Not informed","Melanoma detection using color and texture features in computer vision systems"
"Novel ABCD formula","Yes","Not informed","No","Diagnosis and feature ranking of melanoma","Yes","Melanoma","Not informed","0","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Sensitivity, specificity, accuracy","Not informed","No","No","Not informed","Novel ABCD formula to diagnose and feature ranking of melanoma"
"Fudge factor based edge detection technique","Yes","Not informed","No","Segmentation","Yes","Various","Not informed","4","Not informed","Yes (hair removal, contrast enhancement, filtering)","Comparative study","Not informed","Not informed","Yes (Sobel, Prewitt, Canny edge detection techniques)","Entropy and Dice similarity index values","Not informed","No","No","Not informed","Segmentation of skin lesion images using fudge factor based techniques"
"Fully convolutional segmentation network with spatially adaptive reweighting","Yes","New","Yes","Segmentation of skin lesions from noisy annotations","Yes","Not informed","Not informed","62","Not informed","Not informed","Not informed","Meta-learning approach","Noisy annotations with different levels of corruption","Yes","Robustness to noisy annotations","Improved robustness using spatial reweighting","No","No","Not informed","Learning to segment skin lesions from noisy annotations"
"Ensemble of deep convolutional neural networks","Yes","New","Yes","Classification","Yes","Various","ISIC 2018 dataset","36","No (class imbalance)","Data augmentation","Not informed","Yes","Yes","Yes (ISIC 2018 challenge live leaderboard)","Not informed","Promising results compared to ISIC 2018 challenge live leaderboard","Yes","No","Class imbalance in the dataset","Ensemble of deep convolutional neural network for skin lesion classification in dermoscopy images"
"Deep Learning method for classification of skin lesions","Yes","Not informed","Yes (fusion of visual and anamnestic data)","Classification of benign and malignant lesions","Yes","Various","ISIC Dataset","15","Not informed","Not informed","Not informed","Not informed","Not informed","No","Classification accuracy","Good preliminary results (improved classification accuracy with information fusion)","No","No","Not informed","Fusion of Visual and Anamnestic Data for the Classification of Skin Lesions with Deep Learning"
"Mask2Lesion: Mask-constrained adversarial skin lesion image synthesis","Yes","New","Yes","Segmentation and Image Synthesis","Not informed","Various","ISBI ISIC 2017 Skin Lesion Segmentation Challenge dataset","26","Not informed","Not informed","Not informed","Not informed","Yes, using Mask2Lesion model","Yes, compared to classical data augmentation techniques","Mean Dice score","5.17% improvement in mean Dice score","No","No","Not informed","Mask2Lesion: Mask-constrained adversarial skin lesion image synthesis"
"Multi-Layer Perceptron (MLP) with Particle Swarm Optimization (PSO)","Yes","New","No","Classification and Detection","Yes","Melanoma","MED-NODE dataset","22","Not informed","Not informed","Three-fold cross-validation","Not informed","Not informed","Yes","Accuracy","85.9% accuracy, 4.9% higher than previous result","No","No","Not informed","Malignant melanoma detection using multi layer perceptron with optimized network parameter selection by PSO"
"PSO-enhanced ensemble deep neural networks and hybrid clustering models","Yes","New","Yes","Image Segmentation","Yes","Various","PH2, ISIC 2017, Dermofit Image Library, ALL-IDB2","106","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Outperforms other hybrid ensemble clustering models and state-of-the-art deep networks","Yes","Yes","Not informed","Evolving Ensemble Models for Image Segmentation Using Enhanced Particle Swarm Optimization"
"Novel handheld medical scanning device with embedded diagnosis system","Yes","Not informed","No","Early detection of melanoma","Not informed","Melanoma","Real data for melanoma detection","9","Not informed","Not informed","Not informed","Not informed","Not informed","No","Classification accuracy rate","High classification accuracy rate","No","No","Developing the device is challenging due to complicated computations required by the embedded diagnosis system","A novel medical device for early detection of melanoma"
"Interactive Evolutionary Computation (IEC) with multi-objective optimisation","Yes","Not informed","No","Segmentation","Not informed","Various","Public dataset of 200 dermoscopic images","2","Not informed","Not informed","Comparison with state-of-the-art techniques","Not informed","Not informed","Yes","Segmentation performance","Superior segmentation performance compared to other methods","Yes","No","Not informed","An interactive evolutionary multi-objective approach to skin lesion segmentation"
"Ensemble Transductive Learning","Yes","Not informed","Yes","Segmentation","Yes","Various","Not informed","8","Not informed","Not informed","Comprehensive evaluations","Yes","Not informed","Yes","Not informed","Improved performance over state-of-the-art models","Yes","No","Not informed","Ensemble transductive learning for skin lesion segmentation"
"Bio-inspired deep-CNN pipeline","Yes","New","No","Early diagnosis of skin cancer","Yes","Melanoma","Not informed","10","Not informed","Morphological analysis of skin lesion","Not informed","Not informed","Not informed","Yes","Not informed","Good performance compared to previous approaches","No","No","Not informed","Bio-inspired deep-CNN pipeline for skin cancer early diagnosis"
"VGG-based neural networks (VGG16, VGG11, VGG8)","Yes","New","Yes","Image Classification for Skin Cancer Detection","Yes","Various","Publicly available dataset of skin lesions","21","Not informed","Not informed","k-fold validation","Yes","Not informed","Yes","Not informed","Not informed","No","No","Not informed","Selected technical issues of deep neural networks for image classification purposes"
"Domain-specific classification-pretrained fully convolutional network encoders","Yes","Adaptation","No","Segmentation","Yes","Various","ISIC 2017 challenge data","100","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Jaccard index","0.768 Jaccard index on ISIC 2017 test-set","No","No","Post-processing with fully connected conditional random fields may decrease segmentation performance for simple shapes","Domain-specific classification-pretrained fully convolutional network encoders for skin lesion segmentation"
"Deep class-specific learning approach with step-wise integration","Yes","New","Yes","Segmentation of dermoscopic images","Yes","Melanoma and non-melanoma","ISBI 2017 Skin Lesion Challenge, ISBI 2016 SLC, PH2 datasets","176","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient, Jaccard index","Average Dice coefficient of 85.66%, 91.77%, and 92.10% on ISBI 2017 SLC, ISBI 2016 SLC, and PH2 datasets respectively","Yes","Yes","Not informed","Step-wise integration of deep class-specific learning for dermoscopic image segmentation"
"Skin Lesion Segmentation Ensemble with Diverse Training Strategies","Yes","New","Yes","Segmentation","Yes","Various","Not informed","24","Not informed","Not informed","Not informed","Yes","Not informed","No","Accuracy","State-of-the-art skin lesion segmentation accuracy","Yes","No","Not informed","Skin Lesion Segmentation Ensemble with Diverse Training Strategies"
"Deep learning based skin lesion segmentation and classification using U-Net and SVM","Yes","New","Yes","Segmentation and Classification of Melanoma","Yes","Melanoma","Not informed","136","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice co-efficiency, Accuracy","77.5% Dice co-efficiency for segmentation and 85.19% accuracy for classification using SVM","No","No","Not informed","Deep learning based skin lesion segmentation and classification of melanoma using support vector machine (SVM)"
"Pyramid Attention Network","Yes","New","No","Segmentation","Yes","Melanoma","ISIC 2017 and ISIC 2018","25","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient and scale-attention loss function","State-of-the-art results on ISIC 2017","Yes","Yes","Not informed","Automated Segmentation of Skin Lesion Based on Pyramid Attention Network"
"Fully Convolutional Networks with color constancy algorithms","Yes","Adaptation","Yes","Semantic Segmentation of skin lesions","Yes","Various (Naevi, Melanoma, Seborrhoeic Keratosis)","ISIC Challenge Segmentation 2017 dataset","22","Not informed","Yes (color constancy algorithms)","Not informed","Not informed","Not informed","No","Dice Similarity Coefficient and Jaccard Similarity Index","Improvements in semantic segmentation of skin lesions when pre-processed with color constancy algorithms","No","No","Color constancy algorithms did not improve segmentation results for Melanoma","The effect of color constancy algorithms on semantic segmentation of skin lesions"
"Convolutional Neural Networks (CNN) using Keras and TensorFlow","Yes","New","No","Classification of melanoma","Yes","Melanoma","Not informed","0","Not informed","Not informed","Testing data","Not informed","Not informed","No","Accuracy and Loss","91% accuracy and 36% loss using Keras","No","No","Not informed","Towards to use image mining to classified skin problems - A melanoma case study"
"Bat algorithm-assisted Kapur’s multithresholding and level set-based segmentation","Yes","New","Yes","Segmentation and Assessment of Skin Melanoma","Yes","Melanoma","DERMIS dataset","43","Not informed","Yes (Kapur’s multithresholding)","Comparison with ground truth","Not informed","Not informed","No","Jaccard, Dice, Sensitivity, Specificity, Accuracy","Jaccard (0.8805), Dice (0.9138), Sensitivity (0.9927), Specificity (0.9177), and Accuracy (0.9628)","No","No","Not informed","Skin melanoma assessment using Kapur’s entropy and level set—A study with bat algorithm"
"Multi-direction 3D color-texture feature (CTF) and back propagation multilayer neural network (NN) classifier","Yes","New","Yes","Melanoma detection","Yes","Melanoma","PH2 dataset","45","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy, sensitivity, specificity","Accuracy = 97.5%, sensitivity = 98.1%, specificity = 93.84%","Yes","No","Not informed","An efficient 3D color-texture feature and neural network technique for melanoma detection"
"Deep Convolutional Neural Network with Encoder-Decoder Architecture","Yes","New","Yes","Segmentation of Skin Lesions","Yes","Melanoma","Not informed","20","Not informed","Data Augmentation using Elastic Transformation","Not informed","Not informed","Yes, using Elastic Transformation techniques","Yes","Dice Coefficient, Jaccard index, Accuracy, Sensitivity","Improved and promising results compared to existing state-of-the-arts techniques","Yes","No","Not informed","An enhanced deep learning framework for skin lesions segmentation"
"Mutual Learning Model","Yes","New","Yes","Classification","Yes","Various","ISIC 2016 Skin Lesion Classification dataset","8","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Most advanced performance on ISIC 2016 dataset","Yes","No","Not informed","Mutual Learning Model for Skin Lesion Classification"
"Multimodal Imaging Instrument","Yes","New","Yes","Screening and Classification of Skin Cancer","Yes","Various","Not informed","25","Not informed","Yes (image segmentation, multimodal registration)","Not informed","No","Not informed","Yes (two algorithms compared)","Sensitivity and Specificity","98% sensitivity, 95% specificity","No","No","Not informed","An Instrument for Accurate and Non-Invasive Screening of Skin Cancer Based on Multimodal Imaging"
"Convolutional Neural Networks (CNNs) with Transfer Learning","Yes","Adaptation","No","Detection of Malignant Melanoma","Yes","Melanoma","Not informed","28","Not informed","Not informed","Not informed","Yes","Not informed","Yes","Accuracy, Sensitivity, Specificity","VGG16 with Transfer Learning: Accuracy (97.5%), Sensitivity (100%), Specificity (96.87%)","Yes","No","Not informed","Detection of malignant melanoma using deep learning"
"Region-Edge Markov Random Field","Yes","New","Yes","Segmentation","Yes","Various","International Skin Imaging Collaboration (ISIC) database","8","Not informed","Yes, using convolution technique","MAP estimation problem","Not informed","Not informed","Yes, compared with individual lesion segmentation methods in ISIC 2018 challenge","Jaccard Index","76.40% Jaccard Index","No","No","Not informed","Skin Lesion Segmentation Based on Region-Edge Markov Random Field"
