"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Custom Convolutional Neural Network (CNN) architectures","Yes","New","No","Classification","Yes, using convolutional layers with ReLU activation and max-pooling layers","Ringworm and other skin diseases (23-class classification)","Kaggle and Google datasets","Not informed","No, dataset is imbalanced with different class frequencies","Resizing to 224×224 pixels, flipping, and rotation for data augmentation","Comparison with State-of-the-Art (SOTA) models and Vision Transformers (ViTs)","No","Yes, using techniques such as flipping and rotation","Yes, compared with SOTA models and ViTs","Accuracy (98.9% for binary classification and 35.23% for multiclass classification)","Custom CNN architecture achieved strong performance in distinguishing ringworm from healthy skin","Yes","No, tested on a single dataset with two different splits (80:20 and 70:30)","Challenges in multiclass dermatological classification due to class imbalance","Custom CNN architectures for skin disease classification: binary and multi-class performance"
"Hybrid model (Xception integrated with Support Vector Machine (SVM)) and various deep learning techniques","Yes","Existing and Hybrid","Yes, using traditional approaches, deep learning techniques, and hybrid methods","Classification","Not informed","Autoimmune blistering skin disease (AIBD)","Clinical images of AIBD","Not informed","Not informed","Not informed","Comparison using performance parameters and experimental results","Yes, fine-tuning processes were used to improve model accuracy","Not informed","Yes, compared traditional approaches, deep learning techniques, and hybrid methods","Accuracy (ranged from 57% to 98%)","Deep learning techniques achieved accuracy ranging from 84 to 98%, with the highest being 98%","No","Not informed","Shortcomings and potential improvement strategies were analyzed based on experimental results","Autoimmune blistering skin disease classification: classical machine learning, deep learning, and hybrid approaches"
"WFC_AS_KL (Weighted Fuzzy Clustering approach with Adaptive Spatial information and Kullback–Leibler divergence)","Yes","New","Yes, combining Fuzzy C-Mean, Fuzzy k-Plane Clustering, weighted region-level and local-level spatial information, and Kullback–Leibler divergence","Segmentation","Not informed","Skin cancers","Two publicly available medical image datasets (not specified)","Not informed","Not informed","Not informed","Comparison with 13 fuzzy-based clustering methods, 12 traditional skin lesion segmentation methods, and 12 existing deep learning methods","Not informed","Not informed","Yes, compared with various existing methods","Sensitivity, specificity, precision, false positive rate, accuracy, dice similarity coefficient, and Jaccard index","WFC_AS_KL method demonstrates superior performance against other methods","Yes","Yes, tested on two publicly available medical image datasets","Not informed","Weighted fuzzy clustering approach with adaptive spatial information and Kullback–Leibler divergence for skin lesion segmentation"
"DeepSkinGuard: A Robust Skin Cancer Detection Framework","Yes","New","Yes, integrating modified U-Net segmentation and QuadraBlendNet fusion","Classification","Yes, using pre-trained Inception V3, color-based, and texture-based features","Skin cancer","ISIC dataset","Not informed","Not informed","Yes, using comprehensive image augmentation strategy and sophisticated preprocessing techniques","Evaluation on ISIC dataset","Yes, using pre-trained Inception V3","Yes, using comprehensive image augmentation strategy","Not informed","Accuracy (98%)","High performance in classification tasks with an accuracy of 98%","No","No, only tested on ISIC dataset","Not informed","DeepSkinGuard: A Robust Skin Cancer Detection Framework Integrating Modified U-Net Segmentation and QuadraBlendNet Fusion"
"Hybrid deep CNN model","Yes","New","Yes, combining multiple pre-trained CNN models and hybrid CNN models","Classification","Not informed","Multi-class skin lesions","HAM10000 dataset","Not informed","Not informed","Not informed","Testing on parameters like precision, recall, and F1 score","Yes, using pre-trained CNN models","Not informed","Yes, compared with three pre-trained CNN models and three hybrid CNN models","Precision, recall, F1 score, and accuracy","Maximum accuracy of 91.63% achieved by the proposed hybrid model","No","No, only tested on HAM10000 dataset","Not informed","Hybrid deep CNN model for multi-class classification of skin lesion"
"Not informed","Yes","Not informed","No","Review of deep learning for melanoma detection","Not informed","Melanoma","ISIC and HAM10000 databases","Not informed","Limited applicability to diverse skin phototypes","224 × 224 pixel resolution for image segmentation","Systematic review of studies from 2016 to March 2025","Not informed","Not informed","No","Accuracy and reproducibility of models","High accuracy in models trained on European and North American databases, but limited applicability to other populations","No","Yes, including ISIC and HAM10000 datasets","Lack of transparency in data partitioning, model overfitting, reproducibility concerns, variability in image quality, and opacity of DL models","Enhancing and advancements in deep learning for melanoma detection: A comprehensive review"
"Convolutional Neural Network (CNN)-based method","Yes","Existing","No","Classification","Not informed","Melanoma skin cancer","International Skin Imaging Collaboration (ISIC) datasets","Not informed","Not informed","Not informed","Comparison with other classification techniques (SVM, Decision Tree, K-NN)","Not informed","Not informed","Yes, compared with SVM, Decision Tree, and K-NN using Harris Hawks Optimization algorithm","Performance comparison on melanoma image classification","Proposed method showed superior performance compared to other approaches","No","Yes, tested on ISIC datasets","Not informed","Melanoma skin cancer detection based on deep learning methods and binary Harris Hawk optimization"
"Uncertainty-aware segmentation quality prediction via deep learning Bayesian Modeling","Yes","New","Yes, using Monte Carlo Dropout, Ensemble, and Test Time Augmentation to quantify uncertainty","Segmentation quality prediction","Not informed","Skin cancer and liver segmentation","HAM10000 dataset (2D skin lesion) and 3D liver segmentation datasets","Not informed","Not informed","Not informed","Evaluation on HAM10000 dataset and 3D liver segmentation datasets","Yes, using pre-trained models (SwinUNet and Feature Pyramid Network with ResNet50)","Test Time Augmentation","Yes, compared with previous segmentation quality assessment methods","R2 score and Pearson correlation","Achieved an R2 score of 93.25 and a Pearson correlation of 96.58 on the HAM10000 dataset","Yes, outperformed previous segmentation quality assessment methods","Yes, tested on 2D skin lesion and 3D liver segmentation datasets","Not informed","Uncertainty-aware segmentation quality prediction via deep learning Bayesian Modeling: Comprehensive evaluation and interpretation on skin cancer and liver segmentation"
"Not informed","Yes","Not informed","No","Image preprocessing and quality analysis for skin lesion detection","Not informed","Skin lesions (general)","Not informed","Not informed","Not informed","Yes, techniques to eliminate noises like hair, ink markers, vignette effects, and blurred images","Quality analysis using peak signal-to-noise (PSNR) metrics","Not informed","Not informed","No","Peak signal-to-noise ratio (PSNR)","Not informed","No","No","Not informed","Image preprocessing and quality analysis techniques for skin lesion detection using peak signal-to-noise metrics"
"Hybrid ConvNeXt-based approach","Yes","New","Yes, combining CNN and ViT architectures","Classification","Yes, using ConvNeXt blocks to extract local features and Transformer blocks to capture global structure","Skin cancer (melanoma)","HAM10000 and ISIC 2019 datasets","Not informed","Not informed, but mentions data imbalance","Not informed","Testing on two widely recognized skin cancer datasets","Not informed","Not informed","Yes, compared with 20 deep learning models (10 CNN and 10 ViT-based)","Accuracy and F1-score","94.30% accuracy and 91.11% F1-score on HAM10000, and 92.50% accuracy and 90.38% F1-score on ISIC 2019","Yes, outperforms more than 20 deep learning models","Yes, tested on HAM10000 and ISIC 2019 datasets","Not informed","A novel hybrid ConvNeXt-based approach for enhanced skin lesion classification"
"Ensemble CNN-SVM model","Yes","New","Yes, combining CNN and SVM","Classification","Yes, using feature aggregation","Skin diseases (including melanoma)","Kaggle's HAM10000 and Melanoma Skin Cancer Dataset of 10000 Images","10000","Not informed","Not informed","Rigorous experiments on two datasets","Not informed","Not informed","Yes, compared with LDA, SVM, LeNet-5, ResNet, and CNN models","Accuracy comparison","Ensemble CNN-SVM model achieved accuracy of up to 92%","No","Yes, tested on HAM10000 and Melanoma Skin Cancer Dataset","Not informed","Application of ensemble learning models in computer-aided diagnosis of skin diseases"
"MSHV-Net (Multi-Scale Hybrid Vision Network)","Yes","New","Yes, combining Rapid Feature Module, Multi-Scale Wavelet Module, and Adaptive Channel Focus module","Segmentation","Yes, using partial convolution, pointwise convolution, wavelet transforms, and adaptive attention mechanisms","Skin lesions (including skin cancer)","ISIC 2017, ISIC 2018, Waterloo Skin Cancer Segmentation Dataset, MoNuSeg, GlaS datasets","Not informed","Not informed","Not informed","Experimental results on multiple datasets (ISIC 2017, ISIC 2018, Waterloo Skin Cancer Segmentation Dataset, MoNuSeg, GlaS)","Not informed","Not informed","Yes, compared with other models through ablation studies and performance metrics (mIoU, Dice coefficient, specificity, sensitivity)","Mean Intersection over Union (mIoU), Dice coefficient, specificity, sensitivity","MSHV-Net achieves state-of-the-art results on multiple datasets: ISIC 2017 (79.15% mIoU, 88.36% Dice), ISIC 2018 (80.43% mIoU, 89.16% Dice), Waterloo Skin Cancer Segmentation Dataset (93.77% sensitivity, 99.49% specificity)","Yes","Yes, tested on multiple datasets: ISIC 2017, ISIC 2018, Waterloo Skin Cancer Segmentation Dataset, MoNuSeg, GlaS","Not informed","MSHV-Net: A Multi-Scale Hybrid Vision Network for skin image segmentation"
"Deep pixel-wise supervision using a constant map and deep mask pixel-wise supervision employing a segmentation mask","Yes","New","Yes, combining deep and pixel-wise supervision","Classification","Yes, using pixel-wise supervision to learn reliable patterns for class distinction","Malignant skin lesions","ISIC 2017, PH2, ISIC 2019, and ISIC 2020 datasets","Not informed","Not informed","Not informed","Experiments on binary and multiclass classification using ISIC and PH2 datasets","Not informed","Not informed","Yes, compared with state-of-the-art methods","Accuracy and sensitivity","90.7% accuracy for binary classification on ISIC 2017 dataset, 90.5% accuracy for binary classification on PH2 dataset, and 88% accuracy for nine-class classification on a combined ISIC 2019 and 2020 dataset","Yes","Yes, tested on ISIC 2017, PH2, ISIC 2019, and ISIC 2020 datasets","Not informed","Deep pixel-wise supervision for skin lesion classification"
"DA-Net (Deep Attention Network)","Yes","New","Yes, combining U-Net with improved triplet attention module and residual concatenate block","Segmentation","Yes, using composite block with improved triplet attention module and residual concatenate block","Not specified (general biomedical image segmentation)","2018 Data Science Bowl (DSB), ISIC 2018 Challenge, and JSUAH-Cerebellum dataset","Not informed","Not informed","Not informed","Extensive experiments on three publicly available datasets","Not informed","Not informed","Yes, compared with U-Net and other segmentation algorithms (not specified)","Mean IoU value and average Dice index (mIoU and mDice)","DA-Net achieves high performance: mIoU = 87.45%, mDice = 92.98% on JSUAH-Cerebellum, mIoU = 87.36%, mDice = 91.37% on DSB, and mIoU = 86.75%, mDice = 91.34% on ISIC-2018 Challenge","Yes","Yes, tested on three different datasets (DSB, ISIC-2018, and JSUAH-Cerebellum)","Not informed","DA-Net: Deep attention network for biomedical image segmentation"
"Class Correlation-based Dynamic Sample Weighting (CC-DSW)","Yes","New","No","Classification","Not informed","Lymph node histopathology, skin lesion, and medullary thyroid carcinoma","PatchCamelyon, ISIC 2020, and MTC datasets","Not informed","Not informed","Not informed","Experimental results on three medical image classification benchmarks","No","Not informed","Yes, compared with existing state-of-the-art sample weighting methods and baseline without sample weighting","ACC, F1 score, AUC","CC-DSW outperforms existing state-of-the-art sample weighting methods across all three datasets","Yes","Yes, tested on PatchCamelyon, ISIC 2020, and MTC datasets","Not informed","A new class correlation-based dynamic sample weighting method for medical image classification"
"Conv2D-RF (2D convolutional layers with a random forest head)","Yes","Hybrid","Yes, combining CNN and Random Forest","Classification","Yes, using Convolutional Neural Network (CNN)","Skin cancer","ISIC and HAM10000 datasets","Not informed","Addressed class imbalance through oversampling","Data augmentation and normalization","Experimental results on ISIC and HAM10000 datasets","Not informed","Yes, used for preprocessing","Not informed","Accuracy scores (97% on ISIC and 99% on HAM10000)","Conv2D-RF model performed the best on both datasets","No","Yes, tested on ISIC and HAM10000 datasets","Not informed","Fostering trust and interpretability in skin cancer classification: a hybrid framework of deep learning and machine learning with explainable AI"
"Radial basis function neural network (ANN-RBF) for analyzing the Gierer-Meinhardt model","No","Existing","Yes, combining mathematical framework with computational tools like ANN-RBF networks","Pattern formation analysis in biological systems","Not informed","Not applicable","Not informed","Not informed","Not informed","Not informed","Mathematical analysis and regression analysis","Not informed","Not informed","No","Effectiveness of the radial basis function neural network in analyzing complex mathematical models","The ANN-RBF networks are an effective tool for analyzing such complex mathematical models","No","Not informed","Not informed","A computational approach for solving the Gierer-Meinhardt (G-M) model in the context of biological pattern formation"
"Multiscale Dynamic Attention Framework (AMSDAN) with U-Net and ShuffleNet","Yes","New","Yes, combining segmentation and classification tasks","Segmentation and Classification","Yes, using ShuffleNet and U-Net framework","Skin lesions","HAM10000 and ISIC-2017 datasets","Not informed","Not informed","Not informed","Experimental results on HAM10000 and ISIC-2017 datasets","Not informed","Not informed","Yes, compared with state-of-the-art techniques","Performance comparison on skin lesion segmentation and classification tasks","Framework outperforms state-of-the-art techniques","Yes","Yes, tested on HAM10000 and ISIC-2017 datasets","Not informed","Multiscale Dynamic Attention Framework for Skin Lesion Segmentation and Classification"
"Not informed (review of existing data augmentation techniques)","Yes","Not informed","No","Classification","Not informed","Skin cancer","Public datasets (not specified)","Not informed","Not informed","Data augmentation techniques (basic, TTA, GANs, VAEs, SMOTE)","Experiments on independent, unknown datasets","Not informed","Yes, review of various data augmentation techniques","No","Performance improvement using data augmentation","Improved performance using data augmentation techniques","No","Yes, experiments on independent, unknown datasets","Limited data availability in medical imaging domain","Enhancing skin lesion diagnosis with data augmentation techniques: a review of the state-of-the-art"
"MED-NCA (Bio-inspired medical image segmentation using Neural Cellular Automata)","Yes","New","No","Segmentation","Not informed","Breast tumor and skin lesion","Eight distinct anatomies, including MRI, CT, X-ray, Ultrasound, and Image datasets","Not informed","Not informed","Not informed","Comprehensive evaluation across eight distinct anatomies","Not informed","Not informed","Yes, compared with U-Net models","Performance comparison in terms of robustness and efficiency","MED-NCA matches the performance of two magnitudes larger UNet models","Yes","Yes, tested on eight distinct anatomies","Not informed","MED-NCA: Bio-inspired medical image segmentation"
"MedScale-Former (Self-guided multiscale transformer for medical image segmentation)","Yes","New","Yes, using dual-branch transformer network and selective kernel regional attention module","Segmentation","Yes, using semantic dependencies between different scales","Skin lesions, lung organ, and multiple myeloma plasma cell","Not specified (skin lesion, lung organ, and multiple myeloma plasma cell datasets)","Not informed","Not informed","Not informed","Experimental results on skin lesion, lung organ, and multiple myeloma plasma cell segmentation tasks","No (self-supervised learning)","Not informed","Yes, compared with state-of-the-art approaches","Performance comparison on medical image segmentation tasks","MedScale-Former demonstrates superior performance compared to state-of-the-art approaches","Yes","Yes, tested on skin lesion, lung organ, and multiple myeloma plasma cell datasets","Not informed","MedScale-Former: Self-guided multiscale transformer for medical image segmentation"
"Hybrid ConvNeXt-Attention model with topological loss","Yes","New","Yes, combining ConvNeXt blocks with self-attention mechanisms and topological loss","Segmentation","Not informed","Skin lesions","ISIC 2016, ISIC 2018, HAM10000, and PH2 datasets","Not informed","Not informed","Not informed","Experimental results on four publicly available skin lesion datasets","No, does not rely on a pre-trained backbone","Not informed","Yes, compared with state-of-the-art (SOTA) methods such as MISSFormer, Swin-UNet, LeViT-UNet, FAT-Net, Att-UNet, DoubleU-Net, DeepLabV3 and TransUNet","Segmentation metrics such as Dice coefficient and Jaccard index","Jaccard index of 0.8529 and a Dice coefficient of 0.913 on the ISIC 2018 dataset","Yes, outperforms SOTA methods in boundary delineation and tumor-like region suppression","Yes, tested on four publicly available skin lesion datasets","Not informed","Att-Next for skin lesion segmentation with topological awareness"
"VML-UNet (Fusing Vision Mamba and Lightweight Attention Mechanism)","Yes","New","Yes, combining CPMamba module and multi-scale local supervision module (MLSM)","Segmentation","Yes, using visual state space (VSS) block and channel prior attention mechanism","Skin lesions","ISIC2017, ISIC2018, and PH2 datasets","Not informed","Not informed","Not informed","Comparative experiments on three public datasets with ablation experiments","Not informed","Not informed","Yes, compared with comparative networks","Number of parameters (0.53M), memory usage (2.18MB), time complexity (1.24GFLOPs), and performance on datasets","VML-UNet outperforms comparative networks in terms of efficiency and accuracy","Yes","Yes, tested on ISIC2017, ISIC2018, and PH2 datasets","Not informed","VML-UNet: Fusing Vision Mamba and Lightweight Attention Mechanism for Skin Lesion Segmentation"
"TEDMAE (Teacher-Student architecture with self-distillation mechanism)","Yes","New","Yes, using Masked Autoencoders and self-distillation","Segmentation","Yes, using self-supervised learning to extract latent features from unlabeled data","Skin lesion","ISIC2019, ISIC2017, and PH2 datasets","Not informed","Not informed","Exterior Conversion Augmentation (EC) and Dynamic Feature Generation (DF)","Experimental results on three public skin disease datasets","Yes, using self-supervised learning to pre-train models for downstream tasks","Yes, using EC and DF to enhance generalizability of global features learned by the teacher model","Yes, compared with several similar approaches","Dice scores, Jaccard values, and HD95% values","TEDMAE demonstrated optimal segmentation and generalization performance on ISIC2017 and PH2 datasets","Yes","Yes, tested on three public skin disease datasets (ISIC2019, ISIC2017, and PH2)","Not informed","Masked autoencoders with generalizable self-distillation for skin lesion segmentation"
"Not informed","Yes","Not informed","No","Review of AI methods and applications in dermatology","Not informed","Skin lesions","Various datasets (not specified)","Not informed","Not informed","Not informed","Systematic literature review and bibliometric analysis","Not informed","Not informed","No","Publication trends, model performance, and regulatory frameworks","Exponential growth in deep learning research in dermatology since 2016","No","Not informed","Gaps in EU and US regulations, significant differences in model performance across different datasets","Artificial Intelligence in Dermatology: A Review of Methods, Clinical Applications, and Perspectives"
"Deep learning-based intelligent diagnosis method using ResNet-152 neural network","Yes","Existing (ResNet-152)","Yes, combining color normalization and decision fusion models","Classification","Not informed","Melanocytic lesions (melanoma)","Multi-center pathological whole slide images (WSIs) of melanocytic lesions","745 WSIs for training, 182 WSIs for internal testing, and 54 WSIs for external testing","Not informed","Color normalization using CycleGAN neural network","Internal and external test sets","Not informed","Not informed","Yes, compared with traditional color statistics-based and staining separation-based methods","Diagnostic accuracy (94.12% on internal test set and >90% on external test set)","Proposed method achieved high precision and strong robustness in classifying pathological WSIs of melanocytic lesions","No","Yes, tested on internal and external datasets","Not informed","Intelligent Pathological Diagnosis of Melanocytic Lesions Using Deep Learning"
"Convolutional neural network models (VGG16, ResNet50, InceptionV3, and EfficientNetB4)","Yes","Existing","No","Classification","Not informed","Lichen sclerosus, morphea, and cutaneous small vessel vasculitis (vasculitis)","Histopathological images dataset (created for this study)","Not informed","Not informed","Data augmentation","Evaluation of results using accuracy, precision, recall, and f1-score metrics","Yes, using transfer learning methods (VGG16, ResNet50, InceptionV3, and EfficientNetB4)","Yes","Yes, compared results of different convolutional neural network models","Accuracy, precision, recall, and f1-score metrics","VGG16 model with accuracy value of 0.9755","No","No","Deficiencies in predicting positive class and all positive examples in the dataset (precision, recall, and f1-score metrics values around 0.65)","Diagnosis of Lichen Sclerosus, Morphea, and Vasculitis Using Deep Learning Techniques on Histopathological Skin Images"
"SkinVGG-Net (modified and fine-tuned VGG19-based deep learning architecture)","Yes","Adaptation","No","Classification","Yes, using convolutional neural networks (CNNs) to extract subtle and complex features","Seven types of skin cancer","HAM10000 dataset","Not informed","Class imbalance challenges addressed through data augmentation","Yes, including image normalization, resizing, and extensive data augmentation","Achieved 90.95% accuracy on HAM10000 dataset","Yes, using transfer learning with VGG19 architecture","Yes, extensive data augmentation used to address class imbalance challenges","No","Accuracy (90.95%) on HAM10000 dataset","High performance across seven types of skin cancer","No","No, only tested on HAM10000 dataset","Not informed","SKINVGG-NET: A MODIFIED AND FINE-TUNED VGG19-BASED DEEP LEARNING ARCHITECTURE FOR SKIN CANCER CLASSIFICATION"
"Hybrid Symmetry-Aware and Soft Attention (HSASA) Model","Yes","New","Yes, using symmetry-aware and soft attention mechanisms","Classification","Yes, using convolutional neural networks (CNNs) and Symmetry-Aware Cross-Attention (SACA) module","Skin cancer (SC), including melanoma","HAM10000 dataset","Not informed","Not informed","Not informed","Validation on the HAM10000 dataset","Not informed","Not informed","Yes, compared with several state-of-the-art methods","Accuracy comparison","HSASA model surpasses several state-of-the-art methods in accuracy","Yes","No, only tested on HAM10000 dataset","Not informed","Multiclass Skin Lesion Classification Using a Hybrid Symmetry-Aware and Soft Attention (HSASA) Model"
"Parallel Cropping method for liver segmentation and volume assessment","No, but tested on skin images","New","Yes, integrates with Chan-Vese model and U-Net pipelines","Segmentation and volume estimation","Not informed","Not specified (general liver segmentation)","LiTS dataset","Not informed","Not informed","GPU-accelerated voxel-level cropping method","Comparison with state-of-the-art slice-based methods and evaluation of dice scores","Yes, U-Net trained on LiTS dataset","Not informed","Yes, compared with traditional Chan-Vese model and state-of-the-art slice-based methods","Dice scores, segmentation accuracy, and volume estimation errors","High segmentation accuracy (dice score: 0.960) and precise volume estimates (errors below 2.5%)","Yes","Yes, tested on LiTS dataset and other anatomical structures such as skin, lungs, and vessels","Not informed","Explainable Liver Segmentation and Volume Assessment Using Parallel Cropping"
"Prototype model using Convolutional Neural Networks (CNNs) for skin disease detection","Yes","New","No","Classification","Yes, using CNN-based feature extraction layers","Melanoma, acne, and eczema","Comprehensive dataset of labeled skin condition images (not specified)","Not informed","Not informed","Yes, using preprocessing techniques to normalize and augment images","Not informed","Not informed","Yes, using augmentation techniques as part of image preprocessing","No","Probabilistic diagnoses with accompanying confidence scores","Accurate identification of acne, eczema, and melanoma from patient-submitted images","No","Not informed","Challenges and future trends in the field are discussed","A prototype model for detecting skin diseases using deep learning and image recognition"
"Light GBM-DMS Algorithm (Discrete Mycorrhizal Search Algorithm optimized LightGBM)","Yes","New","Yes, combining convolutional self-attention based L2 regularization and Discrete Mycorrhizal Search Algorithm","Classification","Yes, using convolutional self-attention based L2 regularization","Skin diseases, including skin cancer","Skin Lesions Dermatoscopic Image dataset and Skin Cancer MNIST HAM10000","Not informed","Not informed","Yes, using preprocessing pipelines (noise elimination, hair removal, image resizing)","Comprehensive analyses with significant measures (accuracy, intersection of union, execution time)","Not informed","Not informed","No","Accuracy, intersection of union, and execution time","98.6% accuracy, 0.95 intersection of union, and 10.43 s execution time","No","Yes, tested on two datasets (Skin Lesions Dermatoscopic Image dataset and Skin Cancer MNIST HAM10000)","Not informed","Enhancing Skin Disease Diagnosis: Light GBM-DMS Algorithm for Accurate Image Classification"
"Case-Based Reasoning (CBR) within a Possibilistic Framework","Yes","New","Yes, combining CBR with possibility theory and feature selection","Classification","Yes, using possibilistic formalism for feature selection","Melanoma","Two sets of optical and dermoscopic lesion image datasets (not specified)","Not informed","Not informed","Not informed","Experimental validation on two datasets","No","Not informed","Yes, compared with recent existing methods in melanoma diagnosis","Specificity and accuracy (100% specificity and 95% accuracy)","Surpassed recent existing methods in melanoma diagnosis","Yes","Yes, tested on two datasets","Not informed","A new case based reasoning diagnosis approach within a possibilistic framework"
"Convolutional Swin Transformer (CSwinformer) with Swinformer-Net and Multi-Scale Dilated Convolutional Neural Network meets Transformer (MD-CNNFormer)","Yes","New","Yes, combining Swin Transformer and U-Net frameworks for segmentation, and MD-CNNFormer for classification","Segmentation and Classification","Yes, using Gaussian filtering, Z-score normalization, and augmentation processes","Skin cancer","HAM10000, ISBI 2016, PH2, and Skin Cancer ISIC datasets","Not informed","Not informed","Gaussian filtering, Z-score normalization, and augmentation processes","Evaluation on four benchmark datasets","Not informed","Yes, using augmentation processes to increase data diversity","Yes, compared with traditional approaches","Classification accuracy, pixel accuracy, and dice coefficient","98.72% classification accuracy, 98.06% pixel accuracy, and 97.67% dice coefficient","Yes","Yes, tested on four benchmark datasets (HAM10000, ISBI 2016, PH2, and Skin Cancer ISIC)","Not informed","Addressing Challenges in Skin Cancer Diagnosis: A Convolutional Swin Transformer Approach"
"MCANet (Medical Image Segmentation with Multi-scale Cross-axis Attention)","Yes","New","Yes, using multi-scale cross-axis attention and dual cross-attention mechanism","Segmentation","Yes, using multiple convolutions of strip-shaped kernels with different kernel sizes","Skin lesion segmentation","Not specified (four challenging tasks: skin lesion segmentation, nuclei segmentation, abdominal multi-organ segmentation, and polyp segmentation)","Not informed","Not informed","Not informed","Experimental results on four challenging tasks","Not informed","Not informed","Yes, compared with previous heavyweight approaches (e.g., swin transformer-based methods)","Performance comparison across four challenging tasks","MCANet outperforms previous heavyweight approaches with merely 4 M+ parameters","Yes","Yes, tested on four different datasets (skin lesion segmentation, nuclei segmentation, abdominal multi-organ segmentation, and polyp segmentation)","Not informed","MCANet: Medical Image Segmentation with Multi-scale Cross-axis Attention"
"MLK-Net (Leveraging multi-scale and large kernel convolutions for robust skin lesion segmentation)","Yes","New","Yes, combining CNN with multi-head mixed convolutions and large kernel convolutions","Segmentation","Yes, using large convolution kernels for rich background feature extraction and multi-scale features","Skin lesions","Three benchmark skin lesion segmentation datasets (not specified)","Not informed","Not informed","Not informed","Experiments on three benchmark skin lesion segmentation datasets","Not informed","Not informed","Yes, compared with state-of-the-art approaches","Multiple evaluation metrics (not specified)","MLK-Net consistently outperforms state-of-the-art approaches across multiple evaluation metrics","Yes","Yes, tested on three benchmark skin lesion segmentation datasets","Not informed","MLK-Net: Leveraging multi-scale and large kernel convolutions for robust skin lesion segmentation"
"Hybrid transform-based feature extraction method","Yes","New","Yes, combining Hermite, Radial Fourier–Mellin, and Hilbert transforms","Classification","Yes, using hybrid transform-based feature extraction method and Local Binary Pattern (LBP) technique","Skin lesions","International Skin Imaging Collaboration (ISIC) 2019 dataset","Not informed","Not informed","Data augmentation","Experimental results on ISIC 2019 dataset","Not informed","Yes, used data augmentation for preprocessing","No","Classification accuracy and robustness","Proposed method improves classification accuracy and robustness","No","No, only tested on ISIC 2019 dataset","Not informed","Hybrid Transform-Based Feature Extraction for Skin Lesion Classification Using RGB and Grayscale Analysis"
"Novel Deep Convolutional Neural Network (DCNN) model","Yes","New","No","Classification and grading of lumpy skin disease","Yes, using convolutional layers and max pooling layers","Lumpy skin disease (viral ailment affecting cattle and buffalo)","Publicly available dataset from Kaggle","Not informed","Not informed","Image cropping and patching techniques","Comparative analysis with state-of-the-art models (InceptionV3, ResNet50, MobileNetV3, VGG19, Xception)","No","Yes, using data augmentation techniques (not specified)","Yes, compared with state-of-the-art models","Accuracy, precision, recall, and F1 score","DCNN model achieved the highest validation accuracy of 0.96875","Yes","No (only tested on a publicly available dataset from Kaggle)","Not informed, but potential future direction includes transitioning to multiclass classification for assessing severity of lumpy skin disease","Automated lumpy skin grading in bovine images using novel deep convolutional neural networks"
"K-mean, LAB-Color-Space Segmentation and Deep Learning using MobileNet-v2","Yes","Existing (MobileNet-v2) with modifications","Yes, combining K-mean and LAB color space segmentation with deep learning","Classification","Yes, using pre-processed and segmented dataset","Skin diseases (various types)","HAM10000 dataset","10,015 pictures","Not informed","K-mean and LAB color space segmentation","Training and evaluation using HAM10000 dataset","Yes, using pre-trained MobileNet-v2 model","Not informed","Yes, compared with other deep learning models (EfficientNet-b0, GoogLeNet, ShuffleNet)","Accuracy, precision, Jaccard index, sensitivity, specificity, and F1-score","MobileNet-v2 achieved accuracy of 91.43%, precision of 85%, Jaccard index of 81%, sensitivity of 83%, specificity of 93%, and F1-score of 82%","No","No, only tested on HAM10000 dataset","Not informed","Automated Skin Lesion Diagnosis and Classification using K-mean, LAB-Color-Space Segmentation and Deep Learning"
"MobileNet-V2 with Squeeze-and-Excitation (SE) blocks, Atrous Spatial Pyramid Pooling (ASPP), and Channel Attention Mechanism","Yes","New","Yes, combining MobileNet-V2 backbone with SE blocks, ASPP, and Channel Attention Mechanism","Classification","Yes, using MobileNet-V2 backbone to extract hierarchical features","Skin diseases (including skin cancer)","PH2 dataset, Skin Cancer MNIST: HAM10000 dataset, DermNet dataset, and Skin Cancer ISIC dataset","Not informed","Not informed","Yes, including image resizing and normalization","Comparison with baseline models and state-of-the-art methods","Not informed","Not informed","Yes, compared with traditional machine learning approaches and state-of-the-art methods","Overall accuracy (98.6%)","Proposed model outperformed baseline models and achieved competitive performance with state-of-the-art methods","Yes","Yes, tested on four diverse datasets","Identified limitations and suggested avenues for future research","MobileNet-V2: An Enhanced Skin Disease Classification by Attention and Multi-Scale Features"
"SEDARU-net (Squeeze-Excitation Dilated based Residual U-Net with Attention Mechanism)","Yes","New","Yes, combining U-Net, dilated convolution, residual blocks, squeeze-excitation units, and attention mechanism","Segmentation","Yes, using squeeze-excitation units and attention mechanism","Melanoma","PH2 dataset","Not informed","Not informed","Not informed","Experimental results on PH2 dataset","Not informed","Not informed","Yes, compared with current standard methods (U-Net and DeepLabV3+)","Dice coefficient and intersection over union (IoU)","97.48% dice coefficient and 95.10% IoU","Yes","No, only tested on PH2 dataset","Not informed","SEDARU-net: a squeeze-excitation dilated based residual U-Net with attention mechanism for automatic melanoma lesion segmentation"
