"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Convolutional Neural Networks (CNNs) with a 4-layer U-Net architecture","Yes, automated extraction of skin wound healing biomarkers from in vivo label-free multiphoton microscopy images","Adaptation","No, single models used for each task (wound section and in vivo z-stacks)","Automated image processing and quantification of wound geometry and metabolism using MPM images","Yes, deep features extracted by CNNs to segment MPM images and quantify wound healing biomarkers","Not specified (skin wounds in general)","MPM image dataset with 380 distinct images for wound section CNN and 5,848 images for in vivo z-stacks CNN","Not specified but mentioned as 'large number of images' used for training and testing CNNs","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method to prepare MPM images for segmentation","Quantitative measures: accuracy, epidermal/dermal thickness, wound depth, wound width, % re-epithelialization, optical redox ratio","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with hand-traced outputs for six unstained wound sections and 69 wound edge z-stacks from eight mice","Quantitative measures: accuracy, epidermal/dermal thickness, wound depth, wound width, % re-epithelialization, optical redox ratio","CNNs achieved overall accuracy of 92.83% for MPM wound section CNN and 89.66% for in vivo z-stack CNN","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on a single dataset)","Not explicitly stated","Automated Extraction of Skin Wound Healing Biomarkers From In Vivo Label-Free Multiphoton Microscopy Using Convolutional Neural Networks"
"Convolutional Neural Network (CNN) architectures","Yes, skin cancer classification on dermoscopic images","Adaptation","No, single models used for each task","Establish a benchmark for neural network robustness in skin cancer classification","Yes, deep features extracted by CNN architectures for skin cancer classification","Melanoma and Nevus (skin neoplasms)","Proprietary dermoscopic image database: Skin Archive Munich (SAM), SAM-corrupted (SAM-C) and SAM-perturbed (SAM-P)","319 unmodified images in the SAM dataset","No, class imbalance not explicitly stated","Yes, image transformations used to create OOD robustness benchmark","Out-of-distribution (OOD) data: corruptions and perturbations applied to images in the SAM dataset","Not applicable","No, not mentioned as part of the proposed method","Yes, comparison with four different CNN architectures on OOD data","Accuracy and prediction stability over small image changes","CNNs showed susceptibility to corruptions and perturbations in the benchmark dataset","No explicit comparison with state-of-the-art methods, but provides a frame of reference for future evaluations","Yes, tested on three different datasets: SAM, SAM-C, and SAM-P","Not explicitly stated","A benchmark for neural network robustness in skin cancer classification"
"Xy-SkinNet (two-step strategy: region segmentation and information fusion)","Yes, classification of six common skin diseases","Adaptation","No, single model used for each task","Development of a Chinese database (Xiangya-Derm) and AI-assisted classification research on six common skin diseases","Yes, convolutional neural network (CNN) applied to extract features from input images","Not specified in the text but mentioned as 'six common skin diseases'","Xiangya-Derm database (over 150,000 clinical images of 571 different skin diseases)","Over 150,000 clinical images used for training and testing Xy-SkinNet model","No (class imbalance not explicitly stated)","Yes, image segmentation step included in proposed method","Comparison with human experts: 31 dermatologists of varied experiences","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with average accuracy of dermatologists (78.15%) and top 3 accuracy achieved by Xy-SkinNet model (84.77%))","Accuracy (top 1, top 2, top 3) and comparison with human experts' performance","Xy-SkinNet achieved a top 3 accuracy of 84.77%, exceeding the average accuracy of dermatologists (78.15%) for classification of six common skin diseases","Yes, Xiangya-Derm database and proposed model demonstrated superior performance compared to state-of-the-art methods","No (tested on Xiangya-Derm database)","Not explicitly stated","The classification of six common skin diseases based on xiangya-derm: Development of a chinese database for artificial intelligence"
"Image processing algorithm for extracting porphyrin fluorescence","Yes, age-dependent changes in porphyrins from fluorescence images of ultraviolet photography","Adaptation","No, single image processing algorithm used for each task","Quantitative assessment of age-dependent changes in porphyrins using fluorescence images by image processing","Yes, extraction of number, area, and mean intensity of porphyrin fluorescence from images","Not applicable (study focused on normal skin)","3595 healthy Japanese individuals aged 16-85 years with cheek sites under UV-LED excitation","Not specified in the text but mentioned as 'large number of images' used for training and testing image processing algorithm","No (class imbalance not explicitly stated)","Yes, preprocessing step included in proposed algorithm","Quantitative measures: accuracy, sensitivity, precision","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with existing methods for skin health record and analysis","Quantitative measures: accuracy, sensitivity, precision","Proposed algorithm achieved verification results of 71%, 72%, and 88% respectively for accuracy, sensitivity, and precision","Yes, comparison with existing methods demonstrated the superiority of proposed method","No (tested on a single dataset)","Not explicitly stated","Quantitative Assessment of Age-dependent Changes in Porphyrins from Fluorescence Images of Ultraviolet Photography by Image Processing"
"Not applicable (survey study on acceptance of AI-based mobile apps for skin cancer diagnostics)","Yes, skin cancer diagnosis and screening","N/A (not a model architecture)","No (single methods used for each task)","To examine how and to what extent individuals are willing to accept AI-based mobile apps for skin cancer diagnostics, with a focus on younger age groups","Not applicable (survey study not focused on feature extraction)","Skin cancer","Anonymous online survey data from participants below 35 years of age recruited through social media channels (Facebook, LinkedIn, Xing) with a total of 728 participants in the analysis","Not applicable (survey study not focused on image-based tasks)","No (class imbalance not explicitly stated)","N/A (not an image processing task)","Descriptive analysis and statistical tests to evaluate participants' attitudes toward mobile apps for skin examination","Not applicable (survey study not focused on transfer learning)","No (not mentioned as part of the survey study)","Yes, comparison with previous studies that included other age groups to determine similarities and differences in preferences and concerns","Positive attitude toward AI-based apps, willingness to use mobile diagnostic systems, accuracy requirements for app versions, data security concerns, trust issues, lack of personal interaction as dominant concerns among negative-minded participants","66.5% (484/728) of participants expressed a positive attitude toward the use of AI-based apps and preferred assistance system with high accuracy (>65%) and transparency in decision-making process","Yes, comparison with previous studies that included other age groups to determine similarities and differences in preferences and concerns","No (tested on anonymous online survey data from participants below 35 years of age)","Not explicitly stated","Digital natives' preferences on mobile artificial intelligence apps for skin cancer diagnostics: Survey study"
"Convolutional Neural Networks (CNNs) with integrated patient data","Yes, skin cancer classification","Adaptation","Yes, combines image features and patient data for improved performance","Integrating patient data into CNN-based diagnostic algorithms for skin cancer classification","Yes, deep features extracted by CNN from images and integrated with patient data","Skin cancer (melanoma not specified)","Not specified in the text but mentioned as 'various datasets' used across studies","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN models","No (class imbalance not explicitly stated)","Yes, preprocessing steps included in proposed method to prepare image features for integration with patient data","Quantitative measures: accuracy, sensitivity, specificity, F1 score, etc.","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer classification and diagnosis","Quantitative measures: accuracy, sensitivity, specificity, F1 score, etc.","Patient data integration improved performance in different skin lesion classification tasks (average improvement not specified)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on various datasets across studies but specific details not provided)","Unclear how individual patient data enhance classification performance in multiclass problems","Integrating patient data into skin cancer classification using convolutional neural networks: Systematic review"
"Convolutional neural networks (CNNs) and patient data","Yes, skin cancer classification (melanoma/nevus)","Adaptation","No, single models used for each task","Improving skin cancer classification by combining CNN-based histologic whole slide image analysis and patient data","Yes, deep features extracted by CNNs for skin cancer classification","Skin cancer (melanoma/nevus)","431 WSIs from two different laboratories","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN model","No (class imbalance not explicitly stated)","Yes, histologic whole slide image analysis included in proposed method","Quantitative measures: AUROC, balanced accuracy","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer classification and data fusion","Quantitative measures: AUROC, balanced accuracy","CNN on its own achieved best performance (AUROC = 92.30% ± 0.23%) but incorporating patient data improved balanced accuracy to 86.72% ± 0.36%","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on a single dataset)","Not explicitly stated","Combining CNN-based histologic whole slide image analysis and patient data to improve skin cancer classification"
"Artificial Intelligence (AI)-based tool for skin condition diagnosis","Yes, skin condition diagnosis by primary care physicians and nurse practitioners in teledermatology practices","Adaptation","No, single AI-based model used for each task","To evaluate an artificial intelligence (AI)-based tool that assists with diagnoses of dermatologic conditions","Yes, deep features extracted by AI-based tool for skin condition diagnosis","Not specified in the text but mentioned as 'dermatologic cases' which may include various types of cancers and non-cancers","Enriched set of cases representing 120 different skin conditions from a teledermatology practice serving 11 sites","1048 retrospective cases (672 female [64.2%]; median age, 43 [interquartile range, 30-56] years)","No (class imbalance not explicitly stated)","Yes, AI-based tool used for interpreting clinical images and associated medical history","Multiple-reader, multiple-case diagnostic study with reference diagnoses provided by a panel of 3 dermatologists","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with traditional methods for skin condition diagnosis and teledermatology practices","Diagnostic agreement with reference diagnoses provided by a panel of 3 dermatologists, diagnostic accuracy for biopsy-confirmed cases, biopsy and referral rates, review time, and diagnostic confidence","AI assistance was significantly associated with higher agreement with reference diagnoses (10% increase for PCPs and 12% increase for NPs)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed AI-based tool","No (tested on a single dataset from a teledermatology practice serving 11 sites)","Not explicitly stated","Development and Assessment of an Artificial Intelligence-Based Tool for Skin Condition Diagnosis by Primary Care Physicians and Nurse Practitioners in Teledermatology Practices"
"Deep learning based framework using EfficientNet-b4 as backbone and auxiliary classifiers","Yes, diagnosing multiple skin diseases in a clinical environment","Adaptation","No, single models used for each task","Accurate classification of common dermatoses using deep learning framework","Yes, deep features extracted by EfficientNet-b4 and auxiliary classifiers for skin disease diagnosis","Multiple types: basal cell carcinoma (BCC), melanocytic nevus (MN), port wine stain (PWS)","Dataset of 13,603 dermatologist-labeled dermoscopic images from a tertiary class hospital in China","Not specified in the text but mentioned as 'large number of images' used for training and testing deep learning model","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed framework","Quantitative measures: accuracy, sensitivity, specificity, area under curve (AUC), t-SNE for internal image features learned by the model","Pre-trained weights on ImageNet used as backbone of CNN architecture","No (not mentioned as part of proposed framework)","Yes, comparison with three widely used CNN models and board-certificated dermatologists for diagnostic accuracy","Quantitative measures: accuracy, sensitivity, specificity, area under curve (AUC), t-SNE for internal image features learned by the model","Proposed framework achieved an overall accuracy of 0.948 and AUC of 0.985 in classifying common dermatoses","Yes, proposed framework outperformed existing models with highest AUC value","No (tested on dataset from a tertiary class hospital in China)","Not explicitly stated","A Deep Learning Based Framework for Diagnosing Multiple Skin Diseases in a Clinical Environment"
"Novel transfer learning approach with deep convolutional neural network (DCNN) model","Yes, skin cancer classification and diabetic foot ulcer detection","Adaptation","No, single models used for each task","Medical imaging with limited labeled data using transfer learning approach","Yes, deep features extracted by DCNN model for medical image analysis","Skin cancer and breast cancer","Large unlabeled medical image datasets (not specified) and small amount of labeled images","Not specified in the text but mentioned as 'large number' used for training and testing DCNN model","No (class imbalance not explicitly stated)","Yes, preprocessing step included in proposed method","Quantitative measures: F1-score, accuracy, precision, recall","Yes, transfer learning approach used to fine-tune DCNN model on small labeled dataset","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for medical image classification and diabetic foot ulcer detection","Quantitative measures: F1-score, accuracy, precision, recall","Proposed approach achieved an F1-score value of 98.53% for skin cancer classification and 97.51% for breast cancer scenario when using transfer learning","Yes, proposed method outperformed state-of-the-art methods in both scenarios","No (tested on same dataset used to train the model)","Not explicitly stated","Novel transfer learning approach for medical imaging with limited labeled data"
"Convolutional neural network (CNN) based on ResNet-50","Yes, diagnosis and classification of rosacea","Adaptation","No, single model used for each task","Accurate identification of rosacea using clinical photos","Yes, deep features extracted by CNN for diagnosis and classification of rosacea","Rosacea (3 subtypes: erythematotelangiectatic, papulopustular, phymatous)","24,736 photos comprising of 18,647 photos of patients with rosacea and 6089 photos of patients with other skin diseases","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN model","No (class imbalance not explicitly stated)","Yes, preprocessing step included in proposed method to prepare clinical photos for analysis by CNN","Quantitative measures: accuracy, precision, area under the receiver operating characteristic curve","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with diagnoses by dermatologists of different expertise levels showed that CNN system is capable of identifying rosacea with accuracy and precision comparable to experienced dermatologist","Quantitative measures: accuracy, precision, area under the receiver operating characteristic curve","CNN achieved an overall accuracy and precision of 0.914 and 0.898 for detection of rosacea, respectively; accuracy of classifying 3 subtypes of rosacea was 83.9%, 74.3%, and 80.0% respectively.","Yes, CNN system showed superior performance compared to resident doctors or attending physicians","No (tested on dataset comprising photos from patients with rosacea and other skin diseases)","Not explicitly stated","A novel convolutional neural network for the diagnosis and classification of rosacea: Usability study"
"Binary skin lesion classifier","Yes, melanoma and nevus classification","Adaptation","No, single models used for each task","Reducing the impact of confounding factors on skin cancer classification via image segmentation","Yes, deep features extracted by neural network for melanoma and nevus classification","Melanoma and Nevus","HAM (human against machine) and ISIC (International Skin Imaging Collaboration)","Not specified in the text but mentioned as 'large number of images' used for training and testing neural network model","No (class imbalance not explicitly stated)","Yes, image segmentation step included to remove lesion-adjacent confounding factors","Quantitative measures: balanced accuracy, precision, recall, F1 score, AUC-ROC curve","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with unsegmented classifiers demonstrated improved performance for segmented classifiers on HAM dataset","Quantitative measures: balanced accuracy, precision, recall, F1 score, AUC-ROC curve","Segmented classifiers showed a higher overall balanced accuracy (75.6%) than the unsegmented classifiers (66.7%) when trained on HAM dataset","Yes, comparison with state-of-the-art methods demonstrated improved performance for segmented classifiers","No (tested on HAM and ISIC datasets)","Image segmentation step might introduce new pitfalls that require further investigations","Reducing the impact of confounding factors on skin cancer classification via image segmentation: Technical Model Study"
"Self-attention Progressive Growing of GANs (SPGGAN) with Two-Timescale Update Rule (TTUR)","Yes, skin lesion detection and classification","Adaptation","No, single models used for data augmentation and generation","Data augmentation using GAN-based approach to generate realistic but diverse skin lesion images","Yes, self-attention mechanism in SPGGAN generates fine-grained features from all feature locations","Melanoma","HAM10000 dataset (used for data generation and classification tasks)","Not specified in the text but mentioned as 'large number of images' used for training SPGGAN model","No, class imbalance not explicitly stated","Yes, skin lesion images pre-processed using SPGGAN to generate realistic and diverse images","Quantitative measures: sensitivity (recall), precision, accuracy, F1 score","Not applicable","Yes, data augmentation performed using GAN-based approach with SPGGAN-TTUR","Yes, comparison with non-augmented and augmented counterparts (with classical DA) demonstrated statistically significant improvements in sensitivity","Quantitative measures: sensitivity (recall), precision, accuracy, F1 score","SPGGAN-TTUR achieved sensitivity improvement of 13.8% over melanoma class compared to non-augmented counterpart and 8.6% compared to augmented counterpart with classical DA","Yes, proposed approach demonstrated statistically significant improvements in sensitivity (p-value <0.05) over state-of-the-art methods","No, tested on HAM10000 dataset only","Not explicitly stated","Data augmentation for skin lesion using self-attention based progressive generative adversarial network"
"174-multiclass AI algorithm","Yes, skin disease diagnosis using teledermatology","Adaptation","No, single model used for multiple diseases","Assessing the diagnostic performance and potential clinical utility of a deep neural network in teledermatology","Yes, AI algorithm extracts features from patient images to aid diagnosis","Not specified (multiple skin conditions)","Consecutive patients who submitted images for teledermatology evaluation at a single centre","340 cases from 281 patients met study inclusion criteria","No, class imbalance not explicitly stated","Yes, image quality and patient skin type affected algorithm performance","Prospective diagnostic accuracy study with reader study including nine healthcare providers (3 dermatologists, 3 dermatology residents and 3 general practitioners)","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with human experts (dermatologists, residents, general practitioners) in reader study","Top-1 accuracy and balanced top-1 accuracy for multiple diseases","AI algorithm achieved a balanced top-1 accuracy of 47.6% when limited to diagnoses on which it had been explicitly trained","Yes, AI algorithm performance compared with human experts in reader study","No (tested on consecutive patients at a single centre)","Algorithm performance was associated with patient skin type and image quality","Performance of a deep neural network in teledermatology: a single-centre prospective diagnostic study"
"Integrated Deep Convolutional Neural Network (iDCNN_aMSL) model","Yes, dermoscopic differentiation of early melanomas from atypical nevi","Adaptation","Yes, combines clinical data with dermoscopic images for improved accuracy","Support dermatologists in the classification and management of atypical melanocytic skin lesions (aMSL)","Yes, deep features extracted by DCNN model from both dermoscopic images and clinical/anamnestic data","Melanoma","idScore dataset of 979 challenging aMSL cases (630 training, 135 validation, 214 testing)","Not specified in the text but mentioned as 'large number' used for training and testing DCNN model","No (class imbalance not explicitly stated)","Yes, dermoscopic images pre-processed before feeding into iDCNN_aMSL model","Quantitative measures: AUC, SE, SP, accuracy","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with DCNN_aMSL and intuitive diagnosis by dermatologists demonstrated superiority of iDCNN_aMSL model","Quantitative measures: AUC, SE, SP, accuracy","iDCNN_aMSL achieved an AUC = 90.3 %, SE = 86.5 % and SP = 73.6 % for lesion classification study","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed iDCNN_aMSL model","No (tested on idScore dataset)","Not explicitly stated","A new deep learning approach integrated with clinical data for the dermoscopic differentiation of early melanomas from atypical nevi"
"Hierarchical neural network with channel and spatial attention modules","Yes, skin cancer diagnosis","Adaptation","No, single models used for each task","Explainable skin lesion diagnosis using taxonomies","Yes, hierarchical neural network extracts features from dermoscopy images with the help of channel and spatial attention modules","Skin cancer (melanoma)","ISIC 2017 and ISIC 2018 datasets for skin lesion diagnosis","Not specified in the text but mentioned as 'large number of images' used for training and testing hierarchical neural network model","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method to prepare dermoscopy images for analysis by hierarchical neural network","Quantitative measures: accuracy, precision, recall, F1 score, and other metrics used to evaluate performance of proposed model on ISIC datasets","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin cancer diagnosis and explainability demonstrated competitive results by proposed approach","Quantitative measures: accuracy, precision, recall, F1 score, etc.","Proposed hierarchical neural network achieved competitive results in two dermoscopy data sets (ISIC 2017 and ISIC 2018) with improved explainability compared to state-of-the-art methods","Yes, comparison demonstrated that proposed approach provides insightful information about its decisions, thus increasing the safety of the model for skin cancer diagnosis","No (tested on ISIC datasets)","Not explicitly stated","Explainable skin lesion diagnosis using taxonomies"
"CNN-based classifiers","Yes, melanoma image classification","Adaptation","No, single models used for each task","To understand the effects of masking in melanoma image classification with CNNs and to standardize image preprocessing","Yes, deep features extracted by CNN-based classifiers for skin lesion images","Melanoma","ISIC2016, ISIC2018, MedNode datasets (skin lesion images)","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN-based classifiers","No (class imbalance not explicitly stated)","Yes, different strategies of image masking applied to skin lesion images: rectangular masks, circular masks, full masking, and image cropping","10-fold cross-validation for performance metrics evaluation","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for melanoma image classification and preprocessing standardization","Performance metrics: accuracy, precision, recall, F1 score, AUC-ROC","Cropping is the best strategy to maintain classification performance and reduce training times as well (best result not specified in terms of specific metric values)","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method for preprocessing standardization","No (tested on ISIC2016, ISIC2018, and MedNode datasets)","CNNs have a tendency to focus on pixels of healthy skin when no malignant features can be identified","The Effects of Masking in Melanoma Image Classification with CNNs Towards International Standards for Image Preprocessing"
"Hybrid Deep Neural Networks (HDNN) integrating Multi-Layer Perceptron (MLP) network and Convolutional Neural Network","Yes, Hand, Foot, and Mouth Disease (HFMD) diagnosis using images and clinical data","Adaptation","Yes, combines image classification with clinical symptoms for improved disease diagnosis and classification performance","Digital Diagnosis of HFMD Using Hybrid Deep Neural Networks","Yes, features extracted from both branches (MLP network and CNN) are merged to form an integrated feature","Hand, Foot, and Mouth Disease (HFMD)","Not specified in the text but mentioned as 'image data only', 'clinical data only' and 'both sources of data'","20 images used for training and testing","No (class imbalance not explicitly stated)","Yes, image preprocessing step included in proposed method","Cross-validated experiments with accuracy as evaluation metric","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with typical MLP model and CNN model for image classification and clinical symptoms based disease classification","Accuracy","Proposed HDNN achieved accuracy of 99%-100% in diagnosing HFMD","No (not mentioned as part of the proposed method)","Yes, tested on image data only, clinical data only and both sources of data","Not explicitly stated","Digital Diagnosis of Hand, Foot, and Mouth Disease Using Hybrid Deep Neural Networks"
"Multi-agent technology for SM diagnostics","Yes, early diagnosis of skin melanoma (SM)","Adaptation","No, single multi-agent system used for each task","Evaluation of the use of multi-agent technology in the diagnosis of SM","Yes, various agents and teams involved in feature extraction and decision-making process","Skin melanoma (SM)","Samara Regional Clinical Oncological Dispensary database","Not specified in the text but mentioned as 'large number of patients' used for training and testing multi-agent system","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method","Quantitative measures: share of 1–2 stages of MC, one-year mortality rate, proportion of patients with SM who were actively identified","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with previous years' data demonstrated improvement in early diagnosis and active detection of skin melanoma","Quantitative measures: share of 1–2 stages of MC, one-year mortality rate, proportion of patients with SM who were actively identified","Multi-agent technology reduced the one-year mortality rate by 48.3% and increased the growth rate of newly detected number of patients with early stage SM (stage 1-2) compared to increase in total number of cases","Yes, comparison with previous years' data demonstrated improvement in early diagnosis and active detection of skin melanoma","No (tested on Samara Regional Clinical Oncological Dispensary database)","Not explicitly stated","Medical and organizational approaches to early diagnosis of skin melanoma"
"Comprehensive method for analyzing dermatoscopic images using multi-Otsu methods and morphological segmentation","Yes, acne disease diagnosis and monitoring on facial skin","Adaptation","No, single models used for each task","Development of a comprehensive method for analyzing dermatoscopic images to monitor external manifestations of acne disease during treatment","Yes, color segmentation and gradations of skin inflammations extracted using multi-Otsu methods and morphological segmentation","Acne (acne vulgaris)","Not specified in the text but mentioned as 'dermatoscopic images' used for training and testing proposed method","Not specified in the text but mentioned as 'large number of images' used for training and testing proposed method","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method using OpenCV library","Quantitative measures: calculation of red gradations to detect boundaries of inflammation, geometric parameters and percentage of lesions in relation to healthy facial skin","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for acne disease diagnosis and monitoring on facial skin","Quantitative measures: calculation of red gradations to detect boundaries of inflammation, geometric parameters and percentage of lesions in relation to healthy facial skin","Proposed method allows effective control of the condition of the skin from acne during treatment by analyzing degree of inflammatory processes and area of lesions","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method for acne disease diagnosis and monitoring on facial skin","No (tested on dermatoscopic images)","Not explicitly stated","DEVELOPMENT OF A COMPREHENSIVE METHOD FOR THE DERMATOSCOPIC IMAGES ANALYSIS OF THE FACIAL SKIN WITH ACNE"
"ESPNet and DenseNet for mitosis classification","Yes, melanoma cancer dataset used in the study","Adaptation","No, single models used for each task (mitosis classification)","Precise detection of mitotic figures using machine learning techniques","Yes, deep features extracted by CNN-based models for mitosis classification","Melanoma and breast cancer","Primary melanoma dataset (6 whole slide images) and MITOS breast biopsy dataset","Not specified in the text but mentioned as 'large number of images' used for training and testing CNN models","No (class imbalance not explicitly stated)","Yes, raw RGB images of mitosis and non-mitosis samples with their corresponding labels used as training input","Quantitative performance metrics: sensitivity, specificity, F-score, precision, recall, accuracy","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with other architectures (ResNet and ShuffleNet) on MITOS dataset","Quantitative performance metrics: sensitivity, specificity, F-score, precision, recall, accuracy","DenseNet achieved best results on MITOS dataset: precision of 0.939, recall of 0.916, and F-score of 0.927 for mitosis classification","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method (DenseNet)","No (tested on primary melanoma dataset and MITOS breast biopsy dataset)","Not explicitly stated","Machine learning techniques for mitoses classification"
"Not applicable (study on existing techniques)","Yes, skin cancer detection","Adaptation","No, single models used for each task","Early detection of cancer using machine learning and deep learning techniques","Yes, various feature extraction methods mentioned (PCA, LDA, SVD)","Multiple types: breast, brain, lung, liver, skin","Not specified in the text but mentioned as 'various datasets' used for each type of cancer","Not specified in the text but mentioned as 'large number of images' used for training and testing models","No (class imbalance not explicitly stated)","Yes, various preprocessing methods mentioned (ACM, PSO, UNet, watershed etc.)","Various evaluation metrics: accuracy, sensitivity, specificity, F1 score, AUC-ROC curve","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for cancer detection and classification","Various evaluation metrics: accuracy, sensitivity, specificity, F1 score, AUC-ROC curve","Not specified in the text (study on existing techniques)","Yes, comparison with state-of-the-art methods demonstrated the effectiveness of various machine learning and deep learning techniques for cancer detection and classification","No (tested on various datasets but not specific ones mentioned)","Not explicitly stated","Detail Study of Different Algorithms for Early Detection of Cancer"
"Deep learning model (DLM) for anatomical region mapping","Yes, automated macro- and micro-anatomical region mapping of skin photographs","Adaptation","No, single models used for each task","Improved diagnosis by automated anatomical region mapping in clinical patient pictures","Yes, deep features extracted by DLM for anatomical region mapping and disease diagnosis","Not specified (general dermatology)","Three datasets: macro-anatomy (6000 patient pictures), micro-anatomy (182 pictures of ear region), DD with 3347 pictures of 16 diseases determined by dermatologists in clinical settings","Not specified in the text but mentioned as 'large number of images' used for training and testing DLM model","No (class imbalance not explicitly stated)","Yes, pre-processing step included in proposed method to generate body region maps from patient pictures","Quantitative measures: precision, sensitivity with 95% CI for macro-anatomy and micro-anatomy; DD performance improvement when trained with both lesion pictures and locations","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with DLM trained only on lesion pictures for disease diagnosis","Quantitative measures: precision and sensitivity with 95% CI; DD performance improvement when trained with both lesion pictures and locations","DLM achieved average precision of 85%, sensitivity of 84% for macro-anatomy, and improved DD performance by 6% (McNemar test P-value 0.0009) compared to DLM trained only on lesion pictures","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method in anatomical region mapping and disease diagnosis","No (tested on three datasets: macro-anatomy, micro-anatomy, DD)","Not explicitly stated","Improved diagnosis by automated macro- and micro-anatomical region mapping of skin photographs"
"Dense atrous spatial pyramid pooling (DenseASPP) and attention mechanism based on U-Net","Yes, skin lesion image segmentation","Adaptation","No, single models used for each task","Accurate segmentation of skin lesions using DenseASPP and attention mechanism","Yes, multi-scale feature information extracted by DenseASPP module","Skin disease (not specified as melanoma or other types)","ISIC2016 official public dataset","Not specified in the text but mentioned as 'large number of images' used for training and testing DenseASPP model","No (class imbalance not explicitly stated)","Yes, skin refinement step included in proposed method","Quantitative measures: mean Intersection over Union (mIOU), sensitivity (SE), precision (PC), accuracy (ACC), Dice coefficient (Dice)","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for skin lesion segmentation and detection","Quantitative measures: mIOU, SE, PC, ACC, Dice coefficient","DenseASPP model achieved average values of mIOU as 0.9018, SE as 0.9459, PC as 0.9487, and ACC as 0.9681 for skin lesion segmentation","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on ISIC2016 official public dataset)","Not explicitly stated","Image segmentation of skin lesions based on dense atrous spatial pyramid pooling and attention mechanism"
"Semi-Isotropic L-shaped network (SIL-Net)","Yes, dermoscopic image segmentation","Adaptation","No, single models used for each task","Precise segmentation of the lesion region using deep learning algorithms","Yes, Patch Embedding Weak Correlation (PEWC) module and Depth Separable Transpose Convolution (DSTC) based up-sampling module used to extract effective features","Skin cancer detection and therapy","ISIC-2017, ISIC-2018, PH2 dermoscopy benchmark datasets, CVC-ClinicDB and Kvasir-SEG intestinal polyp datasets","Not specified in the text but mentioned as 'large number of images' used for training and testing SIL-Net model","No (class imbalance not explicitly stated)","Yes, patch embedding process included in proposed method","Quantitative measures: Dice coefficient (DICE), Mean Intersection over Union (MIoU)","Not applicable","No (not mentioned as part of the proposed method)","Yes, comparison with state-of-the-art methods for dermoscopic image segmentation and intestinal polyp detection","Quantitative measures: Dice coefficient (DICE), Mean Intersection over Union (MIoU)","SIL-Net achieved state-of-the-art performance on all five datasets, with DICE values of 89.63%, 93.47%, and 95.11% for ISIC-2017, ISIC-2018, and PH2 respectively","Yes, comparison with state-of-the-art methods demonstrated the superiority of proposed method","No (tested on dermoscopy benchmark datasets)","Not explicitly stated","SIL-Net: A Semi-Isotropic L-shaped network for dermoscopic image segmentation"
