"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Semiautomatic segmentation of wound images","No","Adaptation","Yes","Segmentation","Not informed","Not informed","ISIC2018 datasets and images from 15 subjects","26","Not informed","Edge-detection, morphological operations, region-growing, Livewire, active contours, texture segmentation","Ground-truth wound delineations generated by a dermatologist","No","Not informed","Yes (compared several segmentation methods)","Accuracy, sensitivity, specificity, Jaccard index, Dice similarity coefficient, Hausdorff distance","97.08% accuracy and 95.56% similarity between bioprinted patch's dimensions and desired wound geometry","Yes (compared several segmentation methods)","No","","Segmentation and Measurement of Chronic Wounds for Bioprinting"
"Not informed","Yes","Not informed","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Sensitivity and Specificity","75-84% Accuracy","Yes","No","Not informed","Skin cancer - computer aided diagnosis by feature analysis and machine learning: A survey"
"Particle Filter and Improved GVF Snake","Yes","Adaptation","No","Tracking","Not informed","Not informed","Not informed","Not informed","Not informed","Yes (Skin color)","Not informed","Not informed","Not informed","No","Root Mean Square Error, Real-time performance","48% reduction in Root Mean Square Error and 13% improvement in real-time performance","Yes (Improved results compared to particle filter alone)","No","Not informed","A Novel Algorithm for Hand Tracking with Particle Filter and Improved GVF Snake; [基于粒子滤波与改进GVF Snake的人手跟踪算法]"
"convolutional neural networks","Yes","New","No","Classification","Not informed","Melanoma","Not informed","81","Not informed","Yes","Compared results with non-augmented data","No","Rotation, crop, flip (not specified)","Yes","Not informed","Better than training with non-augmented data","No","No","Insufficient data sets for deep learning","Data augmentation importance for classification of skin lesions via deep learning"
"Adaptive active contours based on variable kernel with constant initialisation","Yes","New","No","Segmentation","Not informed","Melanoma / Various","PH2 database for skin lesion segmentation","15 images","Yes (constant initialisation)","Variable kernel convolution","Not informed","No","Not informed","Not informed","Not informed","Robustness on real and medical images, PH2 database for skin lesion segmentation","Yes (validated on PH2 database)","No","Eliminates the need of contour initialisation","Adaptive active contours based on variable kernel with constant initialisation"
"","Yes","Not informed","No","Segmentation and Border Detection","Not informed","Melanoma","PH2 dataset","200 images","No","Not informed","VO and Dice coefficient (DC)","Not informed","Not informed","Yes","Average Volume Overlap (VO) = 0.75±6.2, Dice Coefficient (DC) = 0.88±3.4","","Not informed","No","","Skin lesion border detection in dermoscopic images; [Dermoskopik Görüntülerde Cilt Leke Sinirlarinin Belirlenmesi]"
"Style Transfer and Generative Adversarial Networks","Yes","Adaptation","No","Classification","Not informed","Various","ISIC2018, histopathological images and breast MRI scans analysis","1442","No","Yes (rotating, cropping, zooming)","Not informed","Not informed","Style Transfer and Generative Adversarial Networks","No","Accuracy","Not informed","Yes","Yes (skin melanomas diagnosis, histopathological images and breast MRI scans analysis)","Data deficiency is one of the most relevant issues in medical imaging","Data augmentation for improving deep learning in image classification problem"
"Adversarial Networks","Yes","New","No","Segmentation","Not informed","Melanoma","ISBI 2016 challenge dataset","9","Yes","No","Not informed","Not informed","Not informed","Yes","Accuracy, Dice coefficient, Jaccard index","0.97 Average accuracy, 0.94 Dice coefficient, 0.89 Jaccard index","Yes","No","Not informed","Skin Lesion Image Segmentation Based on Adversarial Networks"
"Not informed","No","Not informed","Yes","Classification","Yes","Various (human, animal, plant)","ISIC2018 and others not specified","Not informed","Not informed","Filtering methods","Not informed","Not informed","Not informed","Yes","Accuracy (often >90%) and others not specified","Often higher than 90%","No specific comparison to SOTA methods mentioned","Not informed","None explicitly stated","A review of image processing techniques common in human and plant disease diagnosis"
"Vitiligo segmentation algorithm","Yes","New","No","Segmentation","Not informed","Melanoma","MySQL","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Comparable results to previous system implemented in Matlab","Not informed","No","No","","Vi-da: Vitiligo diagnostic assistance mobile application"
"Deep Convolutional Neural Network","Yes","New","No","Classification","Yes","Various","Not informed","3753","Not informed","Crop images to reduce noise","Proposed algorithm with total of 3753 images","Yes (pre-trained AlexNet model)","No","Not informed","Accuracy, Sensitivity, Specificity","98.9% for actinic keratosis","Yes (ECOC SVM classifier)","No","Not informed","The skin cancer classification using deep convolutional neural network"
"","Yes","Adaptation","No","Classification","Yes","Various","Not informed","30","Not informed","Multiscale decomposition model with geometrical component","Not informed","Not informed","Not informed","Yes","Accuracy, Not specified","Not informed","No","No","","A study of lesion skin segmentation, features selection and classification approaches"
"SegAN","Yes","New","No","Segmentation","Not informed","Various","ISIC2017 challenge, Part I Lesion Segmentation","49","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","L1 loss function","Outperforms current state-of-the-art segmentation methods in the ISIC International Skin Imaging Collaboration (ISIC) 2017 challenge, Part I Lesion Segmentation.","Yes","No","Not informed","Adversarial learning with multi-scale loss for skin lesion segmentation"
"Deep residual neural networks","Yes","New","No","Classification","Not informed","Melanoma","Not informed","7 images","Not informed","Yes","Not informed","No","Not informed","Yes","Sensitivity and specificity (96% and 89%)","96%","Yes","No","","Deep residual neural networks for automated Basal Cell Carcinoma detection"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Yes","Various","Real world clinical skin biopsy image dataset and a benchmark dataset","21","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Model performance on a real world clinical skin biopsy image dataset and a benchmark dataset","Significant improvement of the model performance","No","No","","Deep learning based feature representation for automated skin histopathological image annotation"
"Adaptive Pulse Coupled Neural Network","Yes","New","No","Segmentation","Not informed","Various","Dermofit images (240 gold standard)","240","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy and Efficiency","Significant improvement over existing methods","No","No","","Construction of adaptive pulse coupled neural network for abnormality detection in medical images"
"Dense Deconvolution Net","Yes","New","No","Segmentation","Yes","Not informed","2016 and 2017 skin lesion challenge dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy (96.0% and 93.9%)","6.0% increase over traditional method","Yes","No","","Dense deconvolution net: Multi path fusion and dense deconvolution for high resolution skin lesion segmentation"
"Multistage illumination compensation approach and multimode segmentation method","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Multistage illumination compensation approach","Hypothesis testing and boxplot representation for classification losses","No","Not informed","Yes","Classification accuracy, loss","Improved performance compared to competing arts","Yes","No","Not informed","Machine learning–based diagnosis of melanoma using macro images"
"ElastoAnalysis software","Yes","Adaptation","No","Classification","Yes","Various","Not informed","37 lesions, among 30 patients who participated","Not informed","0 (no image preprocessing mentioned)","Retrospective comparison to histopathologic diagnosis and diagnostic criteria evaluation for each textural feature","No","No","Yes, with sensitivity of 100% and specificities ranging from 28% to 85%","Sensitivity and specificity","100% sensitivity for differentiating benign from malignant lesions using 11 out of 13 textural metrics computed by the software","No, this is a feasibility study with no comparison to state-of-the-art methods mentioned in the abstract.","Yes (primary solitary skin lesions)","Not informed","Feature analysis of ultrasound elastography image for quantitative assessment of cutaneous carcinoma"
"Bayesian fusion of structure-specific classifiers","Yes","Adaptation","No","Classification","Not informed","Melanoma","ISBI 2016 challenge dataset and two different datasets (not specified)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy and uncertainty of diagnosis","Outperforms other methods in two datasets, equivalent to a well-known dermoscopy expert","Yes","No","Not informed","Enriched dermoscopic-structure-based cad system for melanoma diagnosis"
"Generative Adversarial Networks","Yes","New","No","Segmentation","Not informed","Various","DermoFit dataset (1300 images)","1300","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","Increased segmentation accuracy compared to UNet alone","No","No","","Generative adversarial networks to segment skin lesions"
"Gamification and GWAP strategies","","Not informed","No","Annotation dataset creation","Yes","Not informed","ISIC2018 datasets","","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","","Yes","No","","Building a qualified annotation dataset for skin lesion analysis trough gamification"
"Blind deconvolution and L∗a∗b colour space","Yes","New","No","Segmentation","Yes","Melanoma","Dermoscopy images (150)","Not informed","Not informed","Blind deconvolution","Otsu's thresholding with Morphology as post-processing technique","No","Not informed","Yes","Accuracy (95%)","95% Accuracy","Yes","No","","Segmentation of affected skin lesion with blind deconvolution and L∗a∗b colour space"
"Anisotropic Diffusion Filter (ADF) and Adaptive Thresholding","Yes","New","No","Segmentation","Not informed","Melanoma","Over 300 images (not specified)","Not informed","Not informed","Yes","Comparison with existing methods","No","Not informed","Yes","Accuracy (96.6%)","96.6% Accuracy","Yes","No","Not informed","Segmentation of melanoma skin lesions using anisotropic diffusion and adaptive thresholding"
"Globalization and Localization Approaches","Yes","Adaptation","No","Classification","Yes","Melanoma","PH2 dataset (200 images)","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Sensitivity, Specificity, Precision, Accuracy","100% accuracy for Localization Approach","No","No","","Evaluation Methodology between Globalization and Localization Features Approaches for Skin Cancer Lesions Classification"
"Not informed","Yes","Not informed","No","Classification","Not informed","Melanoma","ISIC2017 dataset","593 registrations, 81 pre-submissions, and approximately 50 attendees","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","No","No","The official challenge duration and ranking of participants has concluded","Skin lesion analysis toward melanoma detection: A challenge at the 2017 International symposium on biomedical imaging (ISBI), hosted by the international skin imaging collaboration (ISIC)"
"Deep auto-context fully convolutional neural network","Yes","New","No","Segmentation","Not informed","Various","ISBI2018 datasets","18","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice similarity coefficient (DSC)","3.5% improvement over U-Net","No","No","","Deep auto-context fully convolutional neural network for skin lesion segmentation"
"Multi-task deep convolutional neural network","Yes","Adaptation","No","Classification and Segmentation","Yes","Not informed","ISBI-2017 challenge dataset","52","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","A multi-task framework with feature passing module for skin lesion classification and segmentation"
"ANN","Yes","New","No","Classification","Yes","Not informed","200 image samples of psoriasis patients","200","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy, Sensitivity, Specificity","100% Accuracy, 100% Sensitivity and 100% Specificity for color-texture feature with RGB-Local Binary Pattern method and performance of 100% accuracy, 100% sensitivity and 100% specificity with the RGB Color Co-occurrence Matrix method.","No","Not informed","","Computer-aided diagnosis psoriasis lesion using skin color and texture features"
"Hybrid approach using deep learning and domain-specific knowledge","Yes","Adaptation","Yes","Classification","Yes","Melanoma","ISIC2017 skin cancer classification challenge","Not informed","Not informed","Not informed","Training, testing and validation data splits provided in the competition","Yes (using pre-trained MobileNet)","Not informed","No","Area under receiver operating characteristic curve (AUC-ROC) = 0.805","0.805 AUC-ROC","Yes","No","Not informed","Apply lightweight deep learning on internet of things for low-cost and easy-To-Access skin cancer detection"
"Not informed","Yes","Not informed","No","Classification","Not informed","Various","ISIC2018 datasets","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Accuracy, FPS (89)","Not informed","No","No","Merits and demerits of the methods","Skin cancer detection using non-invasive techniques"
"Dilated residual and pyramid pooling networks","Yes","New","No","Segmentation","Not informed","Melanoma","ISBI 2016 and 2017 for skin lesion analysis towards melanoma detection challenge","100 images of a 384 × 384 size per second on a recent GPU","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Segmentation accuracy, NLL and EPE loss function","Outperforms the state-of-the-art methods in terms of segmentation accuracy","Yes","No","","SLSDeep: Skin lesion segmentation based on dilated residual and pyramid pooling networks"
"Not informed","Yes","Not informed","No","Classification","Not informed","Melanoma skin disease","ISIC2018 datasets, Not informed others","21 images","No information about dataset balance","Yes (image standardization)","Not informed","Not informed","Not informed","No comparison with other methods mentioned in the paper","Not informed","Not informed","No information about comparing results to state-of-the-art methods","Yes (different accessible digital libraries of skin lesion research)","Image standardization should be embraced in the medical research community, efforts should be made to have a large image library","A review of prevalent methods for automatic skin lesion diagnosis"
"Not informed","Yes","Adaptation","No","Segmentation","Yes","Various","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Performance evaluation metrics (not specified)","Not informed","Yes","No","Merits and demerits of the algorithms examined","Skin lesion images segmentation: A survey of the state-of-the-art"
"Unified Markov Random Field (UMRF)","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC2018 datasets","6 images","Not informed","Not informed","Jaccard Index (83.08%)","No","Not informed","Yes","Precision, Jaccard Index","83.08% Precision and Jaccard Index","Yes","No","","Skin cancer segmentation using a unified markov random field"
"Multi-Channel-ResNet","Yes","Adaptation","No","Classification","Not informed","Various","ISIC2017 and skin surface photos dataset","57","Yes","Different methods for different situations","Test set (AUC, accuracy)","Not informed","Not informed","Yes","Area under the curve (AUC), Accuracy","0.917 AUC on ISIC2017, 82.4% accuracy on skin surface photos dataset","Yes","No","Not informed","Multi-Channel-ResNet: An integration framework towards skin lesion analysis"
"Deep CNN","Yes","New","No","Classification","Not informed","Melanoma","ISIC2018 dataset (600 testing images, 6,162 training images)","600","No","Data Augmentation","Not informed","Not informed","Rotation, crop, flip (influenced differently by each augmentation)","Yes","AUC: 89.2%, AP: 73.9%, ACC: 89.0%","Not informed","Yes (new state-of-the-art performance result)","No","Data limitation, scarcity of labeled data","Deep CNN and Data Augmentation for Skin Lesion Classification"
"Multi-Scale Fully Convolutional DenseNets (MSFCDN)","Yes","New","No","Segmentation","Not informed","Melanoma","ISBI 2017 “Skin Lesion Analysis Towards Melanoma Detection” Challenge dataset","16","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Dice coefficient, Accuracy","86.9% Dice coefficient, 95.3% accuracy","No","Not informed","None","Multi-scale Fully Convolutional DenseNets for Automated Skin Lesion Segmentation in Dermoscopy Images"
"m-mediod classifier along with the contrast of patterns","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","8","Not informed","Yes","Not informed","Not informed","Not informed","No","Classification results compared with other texture descriptors","Superiority of proposed descriptor over others","Yes","No","Not informed","Melanocytic and nevus lesion detection from diseased dermoscopic images using fuzzy and wavelet techniques"
"Social group optimization (SGO) supported automated tool","Yes","Adaptation","No","Segmentation and evaluation of skin melanoma images","Not informed","Melanoma","Three well-known dermoscopy image datasets (not specified)","137","Not informed","Yes, using Otsu/Kapur based thresholding technique","Ground truth images provided by a skin cancer physician","No","Not informed","Yes (compared with ground truth)","Jaccard's coefficient, Dice's coefficient, false positive/negative rate, accuracy, sensitivity and specificity","Superior performance compared to the ground truth images provided by a skin cancer physician","Yes (compared with other methods)","No","Not informed","Social group optimization supported segmentation and evaluation of skin melanoma images"
"Not informed","Yes","Adaptation","No","Classification","Yes","Various","Not informed","165","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Performance results for lesion classification and pattern analysis are given, but specific metrics not specified.","Not informed","No","No","None mentioned","Computational methods for pigmented skin lesion classification in images: review and future trends"
"Not informed","Yes","New","No","Classification","Yes","Melanoma","Not informed","0","Not informed","Edge detection, morphological operation and mathematical image enhancing operations","Not informed","No","Not informed","Yes","Success rate (94.75%)","94.75%","Yes","No","","Imaging techniques to extract information: New born baby's skin birthmark"
"Not informed","Yes","Adaptation","No","Classification","Yes","Various","Not informed","5","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Selection of a classifier to give best diagnose","Classifiers for the detection of skin cancer"
"ABCD rule with feature extraction","Yes","New","No","Segmentation and Classification","Yes","Melanoma","Not informed","28 images","Not informed","Yes","Not informed","No","Not informed","No","ABCD rule parameters (Asymmetry, Border irregularity, Color, Diameter)","Not informed","No","No","High cost of sustaining traditional telemedicine and less availability of experts","Melanoma skin cancer detection using image processing"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","The study shows that melanoma skin cancer is almost curable if it is diagnosed early and treated correctly; otherwise, it can spread to other parts of the body and become incurable.","Computer-Aided Diagnosis of Melanoma Skin Cancer: A Review"
"Two deep learning methods: FCRN for segmentation and classification, CNN for feature extraction","Yes","New","No","Classification","Yes","Melanoma","ISIC2017 dataset","517 images","Not informed","Not informed","Not informed","Not informed","Not informed","No","Accuracy (0.753, 0.848, and 0.912 for tasks 1-3)","92.12% Accuracy","Yes","No","Not informed","Skin lesion analysis towards melanoma detection using deep learning network"
"Image enhancement and morphological operators","Yes","New","No","Segmentation","Not informed","Melanoma","Not informed","95.37%","Not informed","Yes","Not informed","Not informed","Not informed","No","True detection rate","95.37%","No","No","","Artifact removal and lesion segmentation for melanoma detection in skin lesion images"
"","Yes","Adaptation","No","Classification","Not informed","Various","ISIC2018 datasets","0","Not informed","Polarizing filters to decrease glare effects, long pass filter for autofluorescence images","Clinical approbation","No","Not informed","Yes","Intensity homogeneity and compensating algorithm results","Not informed","Yes","No","","Optical design improvement for noncontact skin cancer diagnostic device"
"Ensemble learning","Yes","Adaptation","No","Classification","Not informed","Melanoma","ISIC2017 and ISIC2018 datasets","19","Not informed","Yes, multiple strategies for preprocessing the input data","Not informed","Not informed","Test-time augmentation","No","Accuracy and speed","Outperformed mainstream methods like hyperparameter optimization and test-time augmentation","Yes","ISIC2017 and ISIC2018 datasets","Not informed","Novel ensembling methods for dermatological image classification"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","9","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","","Detection of melanoma skin disease by extracting high level features for skin lesions"
"Not informed","Yes","Adaptation","No","Classification","Yes","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Not informed","Recent deep learning methods for melanoma detection: A review"
"Not informed","Yes","Adaptation","No","Classification","Yes","Various","Not informed","168 B-scans from 8 species","Not informed","Diffuse filter, fractal dimension, Haralick features, texture analysis","Test sets in differentiation between Basal Cell Carcinoma (BCC) and Nevus, Malignant Melanoma (MM) and Healthy Skin","Not informed","Not informed","Yes","Sensitivity more than 90% and specificity more than 92%","168 B-scans from 8 species with sensitivity more 90% and specificity more 92%","Not informed","No","Not informed","Analysis of 3D OCT images for diagnosis of skin cancer"
"Smart near infrared quenched protease probe (6qcNIR)","Yes","New","No","Segmentation","Not informed","Various","ISIC2018 datasets and histology annotation","Not informed","Not informed","Yes (scatter reduction)","Histological validation with image registration","No","Not informed","No","Spatial accuracy and error at the margin (<100 μm)","<1/4500 μm spatial accuracy in bulk of sample, <100 μm error at margin","Not informed","No","None mentioned","Molecular imaging and validation of non-melanoma skin cancer margins"
"Not informed","Yes","Not informed","No","Classification","Not informed","Melanoma","ISIC2018 datasets","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","Inadequacies and future research directions are accentuated","Techniques and algorithms for computer aided diagnosis of pigmented skin lesions—A review"
"Active contour","Yes","New","No","Segmentation","Not informed","Melanoma and Benign","145 dermoscopic images","145","No","Yes (hair pixels restoration, shading detection)","Not informed","Not informed","Not informed","No","Accuracy, Sensitivity and Specificity","94% Accuracy","Yes (Chan and Vese active contour)","Not informed","","A new algorithm for skin lesion border detection in dermoscopy images"
"Transformation Consistent Self-ensembling Model","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC2017 skin lesion segmentation challenge","300","No","Rotation and flipping","Not informed","Not informed","Yes (rotation, flip)","Yes","Not informed","New record on the benchmark of ISIC2017 skin lesion segmentation challenge","Yes","No","","Semi-supervised Skin Lesion Segmentation via Transformation Consistent Self-ensembling Model"
"Synergic Deep Learning (SDL) model","Yes","Adaptation","No","Classification","Not informed","Various","ISIC 2016 Skin Lesion Classification dataset","45 images","Not informed","Not informed","End-to-end training under supervision of classification error in each DCNN and synergic error","No","Not informed","Yes (state-of-the-art performance)","Classification accuracy","State-of-the-art performance on ISIC 2016 dataset","Yes","No","Not informed","Skin lesion classification in dermoscopy images using synergic deep learning"
"Combination of Random Forest and Full Convolutional Neural Networks","Yes","Adaptation","Yes","Segmentation","Not informed","Melanoma","ISIC2018 dataset","5 images","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Sensitivity (20% increase)","Improved sensitivity by about 20%","No","No","","Pigmented skin lesion segmentation based on random forest and full convolutional neural networks"
"Perceptual color difference saliency with morphological analysis","Yes","New","No","Segmentation","Not informed","Melanoma","Public corpora (benchmark dermoscopic images)","54","Not informed","Not informed","Qualitative and quantitative evaluations with existing algorithms","Not informed","Not informed","Yes","Not informed","Encouraging results compared to existing image segmentation algorithms","No specific comparison with state-of-the-art methods mentioned","No","None explicitly stated","Segmentation of Melanoma Skin Lesion Using Perceptual Color Difference Saliency with Morphological Analysis"
"ResNet","Yes","New","No","Classification","Yes","Melanoma","Not informed","13","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","State-of-the-art methods were outperformed with deep only solution.","Yes","No","","The impact of replacing complex hand-crafted features with standard features for melanoma classification using both hand-crafted and deep features"
"Hybrid classifier using LLGMNN, KNN, LDA, and SVM","Yes","Adaptation","No","Classification","Yes","Various (Melanoma, Dysplastic)","792 dermoscopy images","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Diagnostic accuracies (96.8%, 97.3%, and 98.8%)","98.8% Diagnostic accuracy for benign lesions","No","Yes","Not informed","Improvement in the diagnosis of melanoma and dysplastic lesions by introducing ABCD-PDT features and a hybrid classifier"
"Not informed","Yes","Not informed","No","Classification","Yes","Melanoma","ISIC2018 datasets","0","Not informed","Hair and shading effects removal","Not informed","Not informed","Not informed","No","Not informed","Not informed","Yes","No","","Macroscopic Pigmented Skin Lesion Prescreening"
"Stacked sparse autoencoders (SSAE)","Yes","New","No","Detection and localization of cutaneous vasculature","Yes","Not informed","ISIC2018 datasets (3095 patches derived from 200 images)","3095","No","Divided into small patches of either containing or non-containing vasculature","Not informed","Not informed","Not informed","Yes (outperformed other techniques)","Detection accuracy, positive predictive value","95.4% detection accuracy and 94.7% positive predictive value","No specific comparison to state-of-the-art methods mentioned in the abstract","Yes (tested on a test set of 3095 patches derived from 200 images)","Not informed","A Computer-Aided Decision Support System for Detection and Localization of Cutaneous Vasculature in Dermoscopy Images Via Deep Feature Learning"
"Structure-aware convolutional neural network","Yes","New","No","Classification","Not informed","Melanoma","Public dataset of dermoscopic images","Not informed","No","Not informed","Not informed","Not informed","Not informed","Yes","Recall (0.213 to 0.4)","0.4 Recall for malignant melanoma","No","No","","A structure-aware convolutional neural network for skin lesion classification"
"Multi-tree genetic programming","Yes","New","No","Classification","Yes","Melanoma","Not informed","21","Not informed","Local Binary Pattern for gray and color images","Two skin image datasets with six commonly used classification algorithms as well as the single tree GP method","No","Not informed","Yes","Classification performance (not specified)","Significantly outperformed all classification methods","Yes","No","Not informed","A multi-tree genetic programming representation for melanoma detection using local and global features"
"Genetic programming (GP) based two-stage approach","Yes","New","No","Classification","Yes","Various","Not informed","25","Not informed","Local binary pattern for gray and colour features extraction","Not informed","Not informed","Not informed","Yes","Performance of commonly used classification algorithms (not specified)","Significantly better or comparable performance in most cases compared to using the full set of available features","No","No","","Genetic programming for feature selection and feature construction in skin cancer image classification"
"Not informed","No","Not informed","Yes","Classification","Not informed","Not informed","ISIC2018 datasets, remote sensing data etc.","Not informed","Not informed","Yes","Not informed","Not informed","Not informed","No","Accuracy, real-time performance etc.","89 FPS and great performance on ISIC2018 datasets","Yes","Not informed","Not informed","A review on Digital Image Processing: Dehazing and Hyper spectral image processing"
"Deeply Supervised Rotation Equivariant Network","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC 2017 skin lesion challenge dataset","23","Yes","No","Not informed","Not informed","Rotation and reflectional symmetry","Yes","Not informed","Outperforms state-of-the-art challenging methods","Yes","No","None","Deeply supervised rotation equivariant network for lesion segmentation in dermoscopy images"
"GLCM based skin diseases classification using texture features","Yes","New","No","Classification","Yes","Various","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Accuracy","84% Accuracy","No","No","","GLCM based skin diseases classification using texture features"
"Complex algorithm containing image enhancement, lesion segmentation, pigment network detection as well as classification","Yes","New","No","Classification","Not informed","Melanoma","300 dermoscopic images","300","Not informed","Yes (image enhancement)","Tested on a dataset of 300 images with sensitivity and classification accuracy results provided","No","Not informed","Yes","Sensitivity (91%) and Classification Accuracy (85%)","Classification Accuracy of 85%","Improved classification accuracy compared to state-of-the-art methods","No","Not informed","Detection and classification of pigment network in dermoscopic color images as one of the 7-point checklist criteria"
"Pixel based Seed points and textural Back Propagation Neural Networks","Yes","Adaptation","No","Segmentation","Yes","Melanoma","Not informed","200","Not informed","No","Not informed","Not informed","Not informed","Yes","Accuracy","Higher accuracy compared to traditional BP-NN methods and Support Vector Machine","No","No","","Automated Seed Points and Texture Based Back Propagation Neural Networks for Segmentation of Medical Images"
"U-Net architecture","Yes","New","No","Segmentation","Not informed","Melanoma","ISIC2018 datasets","74 images","Not informed","Yes","Independent validation dataset","No","No","No","DSC, sensitivity and specificity","0.84 DSC, 0.85 sensitivity, 0.81 specificity","Not informed","Yes","","A deep learning approach to vascular structure segmentation in dermoscopy colour images"
"Superpixel Merging","Yes","New","No","Segmentation","Not informed","Various","PH2 and ISIC 2017 dataset","35 images","Not informed","No additional steps required for common segmentation problems in dermoscopic images (hair removal, oil bubbles, changes in illumination, reflections)","Comparative evaluation with state-of-art methods on PH2 and ISIC 2017 dataset","Not informed","Not informed","Yes (comparable to the state-of-art)","Comparable results with state-of-art methods on PH2 and ISIC 2017 dataset","Not specified in the abstract","Yes","No (only tested on PH2 and ISIC 2017 datasets)","None mentioned","Automatic Skin Lesion Segmentation on Dermoscopic Images by the Means of Superpixel Merging"
"Star Shape Prior in Fully Convolutional Networks","Yes","Adaptation","No","Segmentation","Not informed","Various","ISBI 2017 skin segmentation challenge data set","115","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","First rank in the segmentation task among 21 participating teams","Yes","No","Not informed","Star Shape Prior in Fully Convolutional Networks for Skin Lesion Segmentation"
"Neuro-Fuzzy hybrid (NFH) approach","Yes","New","No","Classification","Not informed","Melanoma","Not informed","0","Not informed","Not informed","Not informed","Not informed","Not informed","No","Error rate, output data, and trained data","Not informed","No","No","","Analysis of leukoderma images using neuro-fuzzy hybrid technique"
"GANs with progressive growing","Yes","New","No","Synthesis of realistic images","Not informed","Various","ISIC2018 dataset","63","Not informed","Not informed","Quantitative and qualitative comparison with DCGAN and LAPGAN","No","Progressive growing technique","Yes (DCGAN, LAPGAN)","Not informed","Highly realistic dermoscopic images of skin lesions that even expert dermatologists find hard to distinguish from real ones.","No","Yes (ISIC2018 dataset)","Not informed","Generating highly realistic images of skin lesions with GANs"
"Hierarchical framework","Yes","New","No","Classification","Yes","Melanoma","TCGA melanoma dataset","58 whole-tumour images","Not informed","SLIC superpixel algorithm for segmentation and classification of tumour regions in low resolution H&E-stained histological images","Train/Test split (97.7% training set accuracy, 95.7% testing set accuracy)","Not informed","Not informed","Yes","Accuracy","92.8%","No","No","","Capturing Global Spatial Context for Accurate Cell Classification in Skin Cancer Histology"
"","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","","Not informed","Not informed","No","","Workshop on Bildverarbeitung fur die Medizin, 2018"
"","","","","","","","","","","","","","","","","","","","","Generalizability vs. robustness: Investigating medical imaging networks using adversarial examples"
"Not informed","Yes","Adaptation","No","Classification","Yes","Various","Not informed","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Accuracy, Not specified","Not informed","No","No","Problem faced by researchers during image denoising techniques and machine learning applications for clinical settings","A review of denoising medical images using machine learning approaches"
