"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"RethNet: Object-by-object learning","Yes","New","Yes (Locally constructed convLSTM/Conv3D layers and SE module)","Semantic Segmentation","Rethinker blocks with locally constructed convLSTM/Conv3D layers and SE module as one-shot attention mechanism","Facial skin problems (11 types of facial skin lesions)","Prepared dataset (not specified)","3","Not informed","No","Mean IoU (MIoU) on test set (79.46%) with improvement over Deeplab v3+ (64.12%)","No","Not informed","Yes","Mean IoU (MIoU) on test set","Highest MIoU of 79.46% with improvement over Deeplab v3+ by 15.34%","No","Yes","","RethNet: Object-by-object learning for detecting facial skin problems"
"Gradient Magnitude based Melanoma Segmentation","Yes","Adaptation","No","Segmentation","Gradient magnitude calculation and foreground object marking","Melanoma","European dataset of dermoscopic images (34 images)","Not informed","Not informed","Yes (Gradient magnitude calculation and foreground object marking)","Comparison with other competitors on European dataset","No","Not informed","Yes","Segmentation accuracy (not specified)","Superiority of the proposed approach over other competitors on European dataset","No","No","","Melanoma segmentation using bio-medical image analysis for smarter mobile healthcare"
"Content Based Image Classification using Bit Plane Features","Yes","Adaptation","No","Classification","Bit plane features (ignoring noisy slices)","Melanoma","Not informed","0","Not informed","No","Three different classifiers (not specified)","No","Not informed","Yes","Specificity and Sensitivity outputs of dermoscopic images","Outclassed the performance of state-of-the-art feature extraction techniques (not specified)","No","No","","Melanoma identification with content based image classification using bit plane features"
"U-Net","Yes","Adaptation","No","Segmentation","Deep learning techniques (Fully Connected Neural Network, U-Net, Mask-RCNN)","Not specified","Novel abdominal dataset of 1,400 segmented images","20","No","Yes (Thresholding and other techniques for skin segmentation)","Pixel-to-pixel mean cross-validation accuracy (95.51%)","No","Not informed","Yes","Accuracy, processing rate (37 frames per second)","Highest pixel-to-pixel mean cross-validation accuracy of 95.51%","No","Yes","","Adaptation and evaluation of deep learning techniques for skin segmentation on novel abdominal dataset"
"Multiple machine learning classifiers","Yes","Adaptation","No","Detection","Image processing techniques (color and texture features)","Melanoma","Dermoscopic image database","1","Not informed","Yes","97% accuracy (not specified)","No","Not informed","Yes","Accuracy","Highest accuracy of 97%","No","No","","Detection of melanoma with multiple machine learning classifiers in dermoscopy images; [Dermoskopik görüntülerdeki melanomun çoklu makine öǧrenmesi siniflandiricilari ile tespiti]"
"Multilayer Perceptron using Weka","Yes","Adaptation","No","Classification","GLCM (Gray-Level Co-occurrence Matrix)","Various types of skin cancer","Not informed","1","Not informed","Yes (Pre-processing steps not specified)","Accuracy up to 98% for Classification","No","Not informed","Yes","Classification accuracy","Highest classification accuracy of 98%","No","No","","An automatic classification of dermoscopy image with multilayer perceptron using weka"
"Combined Features using Optimum-path Forest Classifier","Yes","Adaptation","Yes (Shape properties, colour variation and texture analysis)","Classification","Co-occurrence matrix, Discrete wavelet transform, Fractal dimension analysis","Skin cancer","1104 dermoscopic images","46","Not informed","No","Cross-validation procedure (accuracy, sensitivity and specificity)","No","Not informed","Yes","Accuracy, Sensitivity, Specificity (92.3%, 87.5%, 97.1%)","Highest accuracy of 92.3% with sensitivity and specificity of 87.5% and 97.1%","No","No","","Computational diagnosis of skin lesions from dermoscopic images using combined features"
"Combination of human and artificial intelligence","Yes","Adaptation","Yes (human and AI)","Classification","Convolutional neural networks (CNN) with deep learning techniques","Melanoma and other skin cancers","11,444 dermoscopic images from five diagnostic categories","292","No","Not informed","Gradient boosting method for combining human and AI diagnoses","Yes (pre-trained CNN)","Not informed","Yes","Accuracy, sensitivity, specificity","82.95% accuracy in multiclass task and 89% sensitivity in binary classification","No","No","","Superior skin cancer classification by the combination of human and artificial intelligence"
"Bi-directional ConvLSTM U-Net with Densely connected convolutions (BCDU-Net)","Yes","New","Yes (U-Net, bi-directional ConvLSTM and densely connected convolutions)","Segmentation","Bi-directional ConvLSTM U-Net with Densely connected convolutions","Various types of cancer (retinal blood vessel segmentation, skin lesion segmentation, lung nodule segmentation)","Three datasets: retinal blood vessel segmentation, skin lesion segmentation, and lung nodule segmentation","392","Not informed","No","State-of-the-art performance on three datasets (retinal blood vessel segmentation, skin lesion segmentation, and lung nodule segmentation)","No","Not informed","Yes","Segmentation accuracy (not specified)","State-of-the-art performance on three datasets","Yes","No","","Bi-directional ConvLSTM U-net with densley connected convolutions"
"Non-Invasive Bilirubin Level Quantification and Jaundice Detection","Yes","Adaptation","No","Quantification and detection","Image processing based on degree of yellowness of sclera","Jaundice (hyperbilirubinemia)","Not informed","13","Not informed","Yes","Not informed","No","Not informed","Yes","Bilirubin level quantification and jaundice detection accuracy (not specified)","Efficient, quick, non-invasive technique for bilirubin level quantification and jaundice detection","No","No","","Non-Invasive Bilirubin Level Quantification and Jaundice Detection by Sclera Image Processing"
"Harris Corner Detection and Region Growing","Yes","Adaptation","No","Segmentation","Preprocessing (color models, filtering), Harris corner detection, seed selection, region growing segmentation","Various skin lesions","Not informed","6","Not informed","Yes (color models, filtering)","Accuracy of 95%","No","Not informed","Yes","Accuracy","Highest accuracy of 95%","No","No","","Segmentation of Skin Lesion Using Harris Corner Detection and Region Growing"
"Dense-Residual Network with Adversarial Learning","Yes","New","Yes (Multi-scale objective loss function, End Point Error and Jaccard distance content loss)","Segmentation","Dense-Residual block with encoder-decoder architecture","Skin lesions","ISBI2017 dataset","7","Not informed","No","Multi-scale objective loss function, End Point Error and Jaccard distance content loss (not specified)","No","Not informed","Yes","Jaccard distance and End Point Error","Superior to other state-of-the-art algorithms on the ISBI2017 dataset (not specified)","Yes","No","","Segmentation of Lesion in Dermoscopy Images Using Dense-Residual Network with Adversarial Learning"
"Convolutional Neural Networks (CNNs)","Yes","New","No","Classification","Deep learning techniques using CNNs","Various types of skin cancer (melanoma, nevi, basal cell carcinoma)","11,444 dermoscopic images from various sources","182","Not informed","No","Comparison with dermatologists' performance (sensitivity and specificity)","Yes","Not informed","Yes","Sensitivity, Specificity, Accuracy","Outperformed dermatologists at a significant level (p < 0.001) with sensitivity and specificity of 91.3% and 98.8%, respectively.","Yes","No","","Systematic outperformance of 112 dermatologists in multiclass skin cancer image classification by convolutional neural networks"
"Modified Xception neural network","Yes","Adaptation","No","Classification","Convolutional Neural Network (CNN) architecture with prior images segmentation using pre-trained Xception model","Melanoma and other skin cancers","Not informed","17","No","Yes (Segmentation of images before classification)","At least 89% accuracy in classifying benign and malignant skin tumors","Yes (Pre-trained Xception model)","Not informed","No","Accuracy, classification of benign and malignant skin tumors","At least 89% accuracy in classifying benign and malignant skin tumors","No","Yes (available on http://skincheckup.online)","","AI Recognition in Skin Pathologies Detection"
"Heterogeneous framework of Deep CNN Features Fusion and Reduction","Yes","New","Yes (Deep convolutional neural network, Fast local Laplacian filtering, Color CNN approach, Transfer learning using Inception V3 model)","Classification","In-depth features extraction by applying transfer learning using Inception V3 model prior to feature fusion using hamming distance (HD) approach","Skin cancer","PH2 and ISIC 2017 datasets for detection, PH2, ISBI 2016, and ISBI 2017 datasets for recognition","235","Not informed","Yes (Contrast enhancement through fast local Laplacian filtering along HSV color transformation)","Accuracy on PH2, ISIB 2016, and ISBI 2017 datasets (98.4%, 95.1%, 94.8%)","Yes","Not informed","Yes","Accuracy","Highest accuracy of 98.4% on PH2 dataset, 95.1% on ISBI dataset and 94.8% on ISIB 2017 dataset.","No","Yes (PH2, ISIC 2017, PH2, ISBI 2016, and ISBI 2017 datasets)","","Region Extraction and Classification of Skin Cancer: A Heterogeneous framework of Deep CNN Features Fusion and Reduction"
"Class Centroid Based Convolutional Neural Network","Yes","Adaptation","No","Detection","ResNet with regression and classification networks","Various types of skin cancer","Not informed","1","Not informed","No","Cross entropy loss function and regression network comparison","Yes (Fine-tuned classification network)","Not informed","Yes","Accuracy, precision, recall, F1-score (not specified)","Comparable performance to cross entropy loss function optimized classification network","No","No","","Class Centroid Based Convolutional Neural Network for Skin Cancer Detection"
"Combination of YOLO and GrabCut algorithm","Yes","Adaptation","Yes (YOLO and GrabCut)","Segmentation","Deep convolutional neural network named as YOLO","Melanoma and other skin cancers","PH2 and ISBI 2017 datasets (Skin Lesion Analysis Towards Melanoma Detection Challenge Dataset)","245","Not informed","Yes (Removal of hairs, detection of lesion location)","Sensitivity rate on ISBI 2017 dataset (90%) and other metrics such as accuracy, specificity, Dice coefficient, Jaccard index","No","Not informed","Yes","Sensitivity rate, Accuracy, Specificity, Dice coefficient, Jaccard index","90% sensitivity rate on ISBI 2017 dataset and close results to other methods in terms of accuracy, specificity, Dice coefficient, and Jaccard index.","Yes (outperformed other deep learning-based methods)","No","","Skin lesion segmentation in dermoscopic images with combination of yolo and grabcut algorithm"
"Enhanced High-Level Parsing and Class Weighted Loss","Yes","New","Yes (EHP module, CWL)","Segmentation","Fully convolutional neural network with EHP module","Melanoma and other skin cancers","ISBI 2017 database","11","No (class weighted loss to handle imbalance data distribution)","No","State-of-the-art prediction performance on ISBI 2017 database","No","Not informed","Yes (new state-of-the-art)","Segmentation accuracy and robustness","New state-of-the-art prediction performance on ISBI 2017 database","Yes","No","","Dermoscopic Image Segmentation Through the Enhanced High-Level Parsing and Class Weighted Loss"
"Fuzzy-like classification method with color adaptation","Yes","Adaptation","No","Diagnosis","Size and color features of skin lesions","Not specified (skin disorders)","5 representative photographs as a 'training set'","0","No","Yes (color adaptation technique)","Accuracy of diagnosis based on image processing outcomes (85.3% - 97.7%)","No","Not informed","Yes","Accuracy, with improvement up to 17%","Highest accuracy of diagnosis (not specified)","No","No","","Skin disorder diagnosis with ambiguity reduction assisted by lesion color adaptation"
"Convolutional Neural Networks (CNNs)","Yes","Adaptation","No","Diagnosis","Dermoscopic images analysis using CNNs","Melanoma and Non-melanoma skin cancer","Not informed","18","Not informed","No","Simulated static environment (not specified)","No","Not informed","Yes","Performance compared to human raters in diagnosing skin lesions","Perform as well as or even better than human raters (not specified)","No","No","","Artificial Intelligence in Skin Cancer"
"","No","","","Segmentation","","Breast cancer","Not informed","3","Not informed","No","Comparison and analysis of existing segmentation methods (not specified)","No","Not informed","Yes","Effectiveness of segmentation methods for breast cancer detection","Quintessential in extracting correct suspicious regions for diagnosis (not specified)","No","No","","Mammogram segmentation methods: A brief review"
"Separable-Unet with Stochastic Weight Averaging","Yes","New","Yes (Separable convolutional block and U-Net architectures)","Segmentation","Deep fully convolutional neural networks (FCN) with separable convolutional blocks","Melanoma and non-melanoma skin cancers","ISIC 2016, ISIC 2017, PH2 datasets","160","Not informed","No","Dice coefficient and Jaccard indexes (93.03%, 89.25% for ISIC 2016; 86.93%, 79.26% for ISIC 2017; 94.13%, 89.40% for PH2)","No","Not informed","Yes (outperforms state-of-the-art methods on both melanoma and non-melanoma cases)","Dice coefficient, Jaccard index","Highest Dice coefficient of 94.13% and highest Jaccard index of 89.40%","Yes (outperforms state-of-the-art methods on both melanoma and non-melanoma cases)","No","","Efficient skin lesion segmentation using separable-Unet with stochastic weight averaging"
"Extended-Incremental Convolutional Neural Network","Yes","New","No","Classification","Convolutional Neural Network (CNN)","Various types of skin cancer (Melanoma, Basal Cell Carcinoma, Actinic Keratosis, etc.)","ISIC 2018 dataset","4","Not informed","No","Accuracy (more than 95%)","No","Not informed","Yes","Accuracy, Precision, Recall, F1-score","Highest accuracy of more than 95%","No","No","","Classification of Skin Lesions by using Extended-Incremental Convolutional Neural Network"
"Xception Convolutional Neural Network","Yes","Adaptation","No","Classification","Convolutional neural network (CNN)","Basal cell carcinoma and pigmented nevi","Xiangya Skin Disease Dataset","10","Not informed","No","Area under curve (AUC) values of 0.974 and 0.969, classification accuracy of 93.596%","No","Not informed","Yes (compared to professional dermatologists)","Classification accuracy, AUC values","Highest classification accuracy of 93.596%","No","No","","Clinical image identification of basal cell carcinoma and pigmented nevi based on convolutional neural network"
"Attention Residual Learning Convolutional Neural Network (ARL-CNN)","Yes","New","Yes (Residual learning and attention learning mechanisms)","Classification","Deep convolutional neural networks (DCNNs) with multiple ARL blocks, global average pooling layer, and classification layer","Melanoma and other skin cancers","ISIC-skin 2017 dataset","481","Not informed","No","State-of-the-art performance in skin lesion classification (not specified)","No","Not informed","Yes","Accuracy, precision, recall, F1-score (not specified)","State-of-the-art performance in skin lesion classification (not specified)","Yes","No","","Attention Residual Learning for Skin Lesion Classification"
"Automated Deep Learning Design using Google Cloud AutoML","Yes","Adaptation","No","Classification","Neural Architecture Search Framework (hosted through Google Cloud AutoML)","Various types of cancer and skin lesions","5 publicly available open-source datasets: MESSIDOR, Guangzhou Medical University and Shiley Eye Institute dataset version 3, HAM10000, NIH CXR14 dataset, Edinburgh Dermofit Library dataset","234","Not informed","No","Internal validation using sensitivity (recall), specificity and positive predictive value (precision) as well as area under the precision recall curve (AUPRC)","Yes","Not informed","No","Sensitivity, Specificity, Positive Predictive Value and Area Under Precision Recall Curve","High diagnostic properties (73.3-97% sensitivity) in binary classification tasks with high discriminative performance (AUPRC: 0.87-1)","Yes","No","","Automated deep learning design for medical image classification by health-care professionals with no coding experience: a feasibility study"
"Convolutional Neural Network (CNN)","Yes","New","No","Classification","Deep neural networks with new techniques of deep learning","Melanoma and nevi (benign skin lesions)","4204 biopsy-proven images of melanoma and nevi, additional 804 dermoscopic images","256","Yes (1:1 ratio of melanoma to nevi)","No","McNemar's tests for sensitivity and specificity, overall correctness","No","Not informed","Yes (compared to dermatologists' classification)","Sensitivity, Specificity, Overall Correctness","Higher sensitivity and specificity compared to dermatologists (82.3% vs 67.2%, 77.9% vs 62.2%)","Yes","No","","Deep neural networks are superior to dermatologists in melanoma image classification"
"SkinSeg","Yes","New","No","Identification of skin morphology","Multi-step methodology integrating data processing, feature extraction, selection and classification using machine learning (ML) techniques such as Random Forest and deep learning algorithms like Convolutional Neural Networks (CNN)","Skin cancer and other diseases linked to skin inflammation, diabetes etc.","UWB-RSOM data from 12 human participants","15","Not informed","Yes (Data processing and transformation)","Repeated leave-one-out strategy with mean classification accuracy of 86.89%","No","Not informed","Yes","Mean classification accuracy, feature extraction and selection analysis","Highest accuracy achieved using Random Forest with a small group of four features (86.89%)","No","No","","Fully automated identification of skin morphology in raster-scan optoacoustic mesoscopy using artificial intelligence"
"Artificial Intelligence (AI) for Melanoma Prediction","Yes","New","No","Prediction","Deep learning and image analysis","Melanoma","Prospective image data from free mole-monitoring mobile apps (35 images)","Not informed","No","Yes (obtained via free mole-monitoring mobile apps)","Not specified","No","Not informed","No","Not specified","Transformative for skin cancer diagnostics by predicting melanoma before it occurs (pre-in situ) and enhancing the accuracy of current melanoma classifiers.","Yes","No","","Prediction of melanoma evolution in melanocytic nevi via artificial intelligence: A call for prospective data"
"Not applicable","Yes","Not applicable","No","Review and summary of current status and future directions of dermoscopy in China","Not applicable","Various types of skin disorders, including neoplastic diseases","Chinese Skin Image Database (launched in 2017)","25","No","Not applicable","Summary of current status and future directions, not a specific validation method","No","Not informed","Yes (summary of existing research)","Diagnostic accuracy, therapeutic effect evaluation, treatment endpoint determination, differential diagnosis and disease severity assessment","Improved diagnostic accuracy and therapeutic outcomes with dermoscopy in China","No","Yes (Chinese population datasets)","","Dermoscopy in China: Current status and future prospective"
"Artificial Neural Network (ANN)","Yes","Adaptation","No","Classification","ABCD rule, shape, size and color properties of the images, area and perimeter features","Melanoma","Not informed","8","No","Yes (Dull razor algorithm for hair removal, Chan-Vese method for segmentation)","98% overall accuracy","No","Not informed","Yes","Accuracy (98%)","Highest accuracy of 98%","No","No","","Melanoma diagnosis from dermoscopy images using artificial neural network"
"Not applicable (Bibliographic review)","Yes","Not applicable","No","Classification and Segmentation","Various deep learning techniques, including CNNs, GANs, DANs, RBM, SAE, CAE, RNNs, LTSM, M-CNN, MIL-CNN","Breast cancer, lung cancer, brain cancer, skin cancer and others","Not specified (various datasets used for each type of cancer)","338","Not informed","Yes (pre-processing step mentioned in the paper)","Receiver operating characteristic curve (ROC curve), Area under the ROC curve (AUC), F1 score, accuracy, specificity, sensitivity, precision, dice-coefficient, average accuracy, and Jaccard index","Not informed","Not informed","Yes","Various metrics mentioned in the paper (see above)","State-of-the-art achievements for each type of cancer (not specified)","No","No","","Cancer diagnosis using deep learning: A bibliographic review"
"Hybrid Lempel–Ziv–Welch and clipped histogram equalization (CHE)","No","Adaptation","Yes (Lempel-Ziv-Welch, CHE, EZW)","Compression","Median filter for pre-processing, deep fully convolutional networks with Jaccard distance for ROI segmentation","Not specified","MRI images (not specified)","12","Not informed","Yes (Median filter, Freeman chain coding)","Compression ratio, peak signal to noise ratio, mean square error","No","Not informed","Yes","Compression ratio, peak signal to noise ratio, mean square error","Greater performance compared to previous technique in terms of compression ratio, peak signal to noise ratio and mean square error (not specified)","No","No","","Hybrid Lempel–Ziv–Welch and clipped histogram equalization based medical image compression"
"Multilayer Perceptron Neural Network (MLP NN)","Yes","Adaptation","No","Classification","First-order extraction method using 6 parameters: contrast, variance, standard deviation, kurtosis, mean and smoothness","Melanoma","15 images (melanoma and non-melanoma)","Not informed","No","No","Accuracy measurements through 4 sets of test images","No","Not informed","Yes","Accuracy (81.81% - 85.71%)","Highest accuracy rate: 83.86%","No","No","","First-order Feature Extraction Methods for Image Texture and Melanoma Skin Cancer Detection"
"Bayesian Deep Network","Yes","Adaptation","No","Classification","DenseNet-169 model with Bayesian deep networks","Various types of skin lesions (Melanoma, Melanocytic Nevi, Basal Cell Carcinoma, Actinic Keratoses and Intraepithelial Carcinoma, Benign Keratosis, Dermatofibroma, Vascular)","HAM10000 dataset","79","Not informed","No","Physician-machine workflow (classification accuracy of 90% with 35% referrals to physicians)","Yes","Not informed","Yes","Classification accuracy, model uncertainty","Boosted diagnostic performance from 81.35% to 83.59%","No","No","","Risk-aware machine learning classifier for skin lesion diagnosis"
"Multi-grid phase field model","Yes","New","No","Segmentation","Phase field model with non-parametric estimation and exact solutions","Various skin tumors","12 clinical images from a dermatologist's ground truth","7","Not informed","No","Dice index, sensitivity (59% and +12%)","No","Not informed","Yes","Dice index and sensitivity","+59% Dice index increase if initialization covers entire lesion, +12% sensitivity increase if initialization is inside the lesion.","No","No","","Multi-grid phase field skin tumor segmentation in 3D ultrasound images"
"Fuzzy based classification approach","Yes","New","No","Classification and Segmentation","RGB color model, Fuzzy logic clustering","Not specified","Not informed","0","Not informed","No","Geographic distribution of tonalities, skin recognition results (not specified)","No","Not informed","Yes","Skin geographic distribution and classification accuracy","Successful generation of skin geographic distribution, interesting recognition results for different tonalities of skin (not specified)","No","No","","A scheme to classify skin through geographic distribution of tonalities using fuzzy based classification approach"
"Fuzzy Logic and GLCM","Yes","Adaptation","No","Diagnosis","GLCM (Gray Level Co-occurrence Matrix) features: Contrast, Correlation, Energy, Entropy, Homogeneity","Skin Cancer","Not informed","5","No","No","Two-phase algorithm: normal situation and skin cancer diagnosis","No","Not informed","Yes","Not specified","Good results obtained with the proposed two-phase algorithm (not specified)","No","No","","Skin Cancer Diagnosis by Using Fuzzy Logic and GLCM"
"Firefly algorithm for rational Bézier border reconstruction","Yes","Adaptation","No","Border Reconstruction","Rational Bézier curves with Firefly algorithm","Melanoma and other skin cancers","Medical images of melanomas (not specified)","1","Not informed","No","Experimental results on medical images of melanomas","No","Not informed","Yes","Performance metrics for border reconstruction (not specified)","Successful application to skin lesion border reconstruction with rational Bézier curves and Firefly algorithm.","No","No","","Firefly algorithm approach for rational bézier border reconstruction of skin lesions from macroscopic medical images"
"Shilajit supplementation","Yes","Adaptation","No","Induction of microvascular and extracellular matrix mechanisms","Not informed","Not informed","Skin biopsies from healthy adult females (19)","0","No","No","Ingenuity Pathway Analysis and RT-PCR analysis","No","Not informed","Yes (placebo)","Skin perfusion, gene expression profiling using Affymetrix Clariom D Assay and Ingenuity Pathway Analysis","Improved skin microperfusion at a higher dose of shilajit supplementation (250 mg bid) compared to baseline or placebo.","No","No","","Skin Transcriptome of Middle-Aged Women Supplemented With Natural Herbo-mineral Shilajit Shows Induction of Microvascular and Extracellular Matrix Mechanisms"
"i-Rash using SqueezeNet","Yes","Adaptation","No","Classification","SqueezeNet with transfer learning","Acne, Eczema and Psoriasis (non-cancerous skin conditions)","1856 images dataset","9","Not informed","No","Accuracy, Sensitivity, Specificity (97.21%, 94.42%, 98.14%)","Yes","Not informed","Yes","Accuracy, Sensitivity and Specificity","Highest accuracy of 97.21% with sensitivity and specificity of 94.42% and 98.14%","No","No","","An intelligent inflammatory skin lesions classification scheme for mobile devices"
"Deep Learning-Based Computer-Aided Skin Tumor Classifiers","Yes","Adaptation","No","Classification","Convolutional Neural Network (CNN) with Deep Learning technology","Various types of skin tumors","Not specified","63","Not informed","No","Comparison to dermatologist-level classification accuracy","Yes (Deep Learning technology)","Not informed","Yes","Classification efficacy and accuracy","Improved computer classification accuracy of conventional clinical images to the level of skilled dermatologists","No","No","","The Possibility of Deep Learning-Based, Computer-Aided Skin Tumor Classifiers"
"Pre-learned Convolutional Neural Networks (CNN) with transfer learning","No","Adaptation","Yes (Transforming seismic data to pseudo-RGB format)","Prediction of CO2 leakage","Pre-learned CNN weights with transfer learning","Not applicable","ILSVRC library and other datasets (not specified)","2","Not informed","Yes (Transforming seismic data to pseudo-RGB format)","Not informed","Yes","Not informed","No","Not specified","Successful application of transfer learning to predict CO2 leakage (not specified)","No","Yes","","Transforming seismic data into pseudo-RGB images to predict CO2 leakage using pre-learned convolutional neural networks weights"
"Neural Style Transfer","Yes","Adaptation","No","Data Augmentation and Regularization","Deep Neural Networks (DNN)","Various types of skin lesions","Not informed","21","No","Yes (Neural Style Transfer for data augmentation and regularization)","Skin lesion classification case study with four representative neural architectures","Not informed","Yes","No","Strong potential of the proposed approach (not specified)","Improved generalization abilities and performance on skin lesion classification task","No","Yes","","Style transfer-based image synthesis as an efficient regularization technique in deep learning"
"DermoDeep","Yes","New (five-layer architecture)","Yes (Multi-feature fusion of visual features and deep neural network)","Classification","Visual features, descriptors extracted in perceptual-oriented color space","Melanoma-nevus skin lesions","2800 region-of-interest (ROI) PSLs including 1400 nevus and 1400 malignant lesions","68","No","Yes (Region of interest extraction)","Sensitivity, Specificity, Area under the receiver operating characteristics curve (AUC) with AUC: 0.96 (p < 0.001), SE of 93%, SP of 95%","No","Not informed","Yes","Sensitivity, Specificity, Area under the receiver operating characteristics curve (AUC)","Highest AUC of 0.96 with statistically significant difference compared to other techniques.","No","Yes","","DermoDeep-A classification of melanoma-nevus skin lesions using multi-feature fusion of visual features and deep neural network"
"Hybrid Convolutional and Recurrent Neural Networks","Yes","New","Yes (Convolutional and Recurrent layers)","Segmentation","Deep encoded features using convolutional neural networks","Melanoma","Towards Melanoma Detection: Challenge dataset","30","Not informed","No","Jaccard Index and Tumour Disturb Pattern (77.8%, 14%)","No","Not informed","Yes","Jaccard Index, Tumour Disturb Pattern","Highest Jaccard Index of 77.8% and lowest Tumour Disturb Pattern of 14%","Yes (outperforms state-of-the-art method)","No","","Digital hair segmentation using hybrid convolutional and recurrent neural networks architecture"
"Cross-correlation technique for feature extraction","Yes","Adaptation","No","Classification","Spatial and spectral features from cross correlation in space and frequency domains","Melanoma, Nevus, Basal Cell Carcinoma (BCC), Seborrheic Keratoses (SK)","Dermoscopic images of skin lesions","52","Not informed","No","Sensitivities for each disease class (98.76%, 99.01%, 98.87%, 99.41%)","No","Not informed","Yes","Sensitivities for each disease class","Highest sensitivities (98.76%, 99.01%, 98.87%, 99.41%) for melanoma, nevus, BCC and SK respectively.","No","No","","Extraction of features from cross correlation in space and frequency domains for classification of skin lesions"
"Modified Gabor filter, Gradient operators and Morphological segmentation tool","No","Adaptation","Yes (Multiple methods)","Detection","Not specified","Lung cancer","Not informed","0","Not informed","No","Not informed","No","Not informed","Yes","Not specified","Not specified","No","No","","Lung cancer detection using modified gabor filter, gradient operators and morphological segmentation tool"
"Automatically generated neural structure using NAS","Yes","Adaptation","No","Classification","Deep convolutional neural network (CNN)","Various types of skin lesions","Not informed","9","Not informed","No","Comparison with hand-designed networks (not specified)","No","Not informed","Yes","Performance of automatically generated neural structure compared to hand-designed networks","Comparable results with much fewer parameters than manually crafted architectures (not specified)","No","No","","Deep neural network architecture search using network morphism"
"Linear Filtering on Automatic Decomposition and Reconstruction of Dermoscopy Images","Yes","Adaptation","No","Segmentation","Otsu Thresholding with inverse discrete 2D wavelet transform, Canny edge detection and Gaussian filter","Skin cancer (not specified)","ISIC 2016 dataset","3","Not informed","Yes (Enhancement of image using pre-processing)","Accuracy up to 96.69%","No","Not informed","Yes","Accuracy, Otsu threshold and Principal component analysis (not specified)","Highest accuracy of 96.69%","No","No","","A linear filtering on automatic decomposition and reconstruction of dermoscopy images using global thresholding"
"Snake algorithm","Yes","Adaptation","No","Contour extraction","Maximum entropy threshold segmentation and Snake method","Melanoma, Melasma (hyperpigmentation skin conditions)","Not informed","2","Not informed","Yes (Separation of RGB channels and white balance)","Experiments with maximum entropy threshold segmentation and Snake method","No","Not informed","Yes","Edge detection, contour extraction (not specified)","Reliable edge contours extracted with preservation of color information","No","No","","Facial spot contour extraction based on color image processing"
"Gradient and Feature Adaptive Contour (GFAC) model","Yes","Adaptation","No","Segmentation","Multiple Gaussian distributed patterns, Gradient and Feature Adaptive Contour (GFAC)","Melanoma skin cancer","PH2 dataset","80","Not informed","Yes (Pre-processing and noise elimination techniques)","Segmented image, error reduction, efficient feature extraction","No","Not informed","Yes","Accuracy of segmentation, efficiency of feature extraction","Superiority over state-of-art-techniques in terms of segmented image and error reduction","Yes","No","","Early Detection of Skin Cancer Using Melanoma Segmentation technique"
"Neural Network","Yes","New","No","Classification","Texture features extracted from images using a smartphone microscope or dermoscope","Nevi (moles)","42 skin lesions imaged with both devices","1","Not informed","Yes (Segmentation of image and extraction of texture features)","5-fold cross-validation, accuracy: 100% for dermoscopic images, 95% for smartphone images","No","Not informed","Yes (Dermoscopic and smartphone microscope)","Accuracy","100% accuracy with dermoscopic images, 95% accuracy with smartphone images","No","No","","Automatic Extraction of Dermatological Parameters from Nevi Using an Inexpensive Smartphone Microscope: A Proof of Concept"
"Ensemble of Deep Learning Models","Yes","New","Yes (Deep Convolutional Neural Networks and XGBoost)","Detection and Segmentation","Inception-v4, ResNet-152, DenseNet-161 for classification; U-Net and U-Net with VGG-16 Encoder for segmentation","Melanoma","ISIC 2017 Skin Lesion Analysis Towards Melanoma Detection Challenge dataset","29","Not informed","Yes (Data augmentation)","Classification and Segmentation metrics on ISIC 2017 dataset","No","Yes","Yes","Accuracy, Precision, Recall, F1-score for classification; Dice coefficient, Jaccard index for segmentation","Ranked 5th in classification and 8th in segmentation among international teams on ISIC 2017 dataset","Yes","No","","Lesion Segmentation and Automated Melanoma Detection using Deep Convolutional Neural Networks and XGBoost"
"U-net based architecture","Yes","New","No","Segmentation","Convolutional Neural Networks (CNN)","Melanoma and other skin cancers","36 digitized histopathological images from two different clinical sites","68","Not informed","No","Dice Similarity Coefficient, Matthews Correlation Coefficient (0.89 ± 0.13 and 0.89 ± 0.11)","No","Yes","Yes","Positive Predictive Value, Sensitivity, Dice Similarity Coefficient, Matthews Correlation Coefficient","Superior performance compared to existing techniques (0.89 ± 0.16 for PPV, 0.92 ± 0.1 for sensitivity)","Yes","No","","A U-net based approach to epidermal tissue segmentation in whole slide histopathological images"
