"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Mutual Learning Model","Yes","New, dual deep convolutional neural networks","Yes, mutual learning between two networks","Skin lesion classification","Yes, using deep convolutional neural networks","Malignant and benign skin lesions","ISIC 2016 Skin Lesion Classification dataset","Not informed","Not informed","Not informed","Comparison with other classification algorithms","Not informed","Not informed","Yes, comparison with other skin lesion classification models","Classification performance (e.g. accuracy)","Mutual learning model obtains the most advanced performance on ISIC 2016 dataset","Yes","No, only tested on ISIC 2016 Skin Lesion Classification dataset","Not informed","Mutual Learning Model for Skin Lesion Classification"
"Instrument for skin cancer screening using dynamic thermal imaging and multimodal registration","Yes","New, leveraging commodity embedded hardware","Yes, combining image segmentation, real-time multimodal registration, and detection algorithms","Early skin cancer screening","Yes, using temperature recovery curve (TRC) computation and analysis","Skin cancer","Dataset of 116 volunteer subjects","Not informed, but includes visible-range images and thermal infrared videos","Not informed","Image segmentation in the visible range and real-time multimodal registration","Comparison of detection algorithms and evaluation of sensitivity and specificity","Not informed","Not informed","Yes, comparison between two detection algorithms","Sensitivity and specificity","Statistical detection algorithm achieves sensitivity of 98% and specificity of 95%","Not informed","No","Not informed","An Instrument for Accurate and Non-Invasive Screening of Skin Cancer Based on Multimodal Imaging"
"Deep learning-based CAD system for malignant melanoma detection","Yes","Adaptation, using pre-trained AlexNet and VGG16 networks","No","Detection of malignant melanoma","Yes, using Convolutional neural networks (CNNs)","Malignant melanoma","Not specified","Not informed","Not informed","Not informed","Comparison of transfer learning and feature extractor approaches","Yes, using pre-trained AlexNet and VGG16 networks with transfer learning","Not informed","Yes, comparison with other state-of-the-art methods","Accuracy, sensitivity, and specificity","VGG16 with transfer learning achieved accuracy of 97.5%, sensitivity of 100%, and specificity of 96.87%","Yes, outperformed other state-of-the-art methods","No","Not informed","Detection of malignant melanoma using deep learning"
"Region-Edge Markov Random Field for skin lesion segmentation","Yes","New, combining region-based and edge-based MRF models","Yes, combining regional likelihood function and edge likelihood function","Segmentation of skin lesions","Yes, using regional features and edge features","Skin lesion","International Skin Imaging Collaboration (ISIC) database","Not informed","Not informed","Pre-processing obtained by convolution technique","Comparison with individual lesion segmentation methods in ISIC 2018 challenge","Not informed","Not informed","Yes, compared to individual lesion segmentation methods","Jaccard Index","76.40% Jaccard Index","Yes, shows significant improvement over other methods","No, only tested on ISIC database","Not informed","Skin Lesion Segmentation Based on Region-Edge Markov Random Field"
"Fully Convolutional Encoder-Decoder Architecture (FCEDA) for skin lesions segmentation","Yes","New, based on U-Net and SegNet architectures","No","Segmentation of skin lesions images","Yes, using convolutional layers","Melanoma skin cancer","ISIC 2018 dermoscopic images archives","Not informed","Not informed","Not informed","Evaluation and comparison of U-Net and SegNet architectures","Not informed","Not informed","Yes, comparison between U-Net and SegNet models","Segmentation performance","FCEDA-based methods achieved great success in medical images segmentation","Not informed","No","Presence of noise and artefacts, weak edges, irregular and fuzzy borders, marks, dark corners, skin lines and blood vessels on skin lesions","Fully convolutional encoder-decoder architecture (FCEDA) for skin lesions segmentation"
"Dmey Wavelet Gaussian Filter (DWGF)","Yes","New","Yes, combining wavelet transformation and Gaussian filter","De-noising of skin lesion images","No","Not specified, general skin lesions","Large dataset of skin lesion images","Not informed","Not informed","De-noising using DWGF","Comparison with wavelet transformation filters and low pass filters","Not applicable","Not applicable","Yes, comparison with other de-noising methods","Mean Square Error (MSE) and Peak Signal to Noise Ratio (PSNR)","DWGF achieved low MSE (91.9083) and high PSNR (28.5313), outperforming other methods","Not informed","No","Not informed","Design of Dmey Wavelet Gaussian Filter (DWGF) for De-noising of Skin Lesion Images"
"Comparison of skin lesion segmentation methods (FCM, Fast FCM, ARKFCM)","Yes","Not informed","No","Segmentation of skin lesions for diagnosis of skin cancer","No","Skin cancer","Dermoscopic images (not specified which dataset)","Not informed","Not informed","Yes, denoising and hair removal","Comparison of segmentation results using performance measures (Jaccard, Dice, FPR, FNR, Visual overlap)","Not applicable","Not informed","Yes, comparison between FCM, Fast FCM, and ARKFCM methods","Jaccard, Dice, FPR, FNR, Visual overlap","ARKFCM segments the lesions better than other methods","Not informed","No","Not informed","Comparison of skin lesion segmentation methods"
"Cloud-based machine learning model for melanoma diagnosis","Yes","Not informed","No","Investigation of automatic melanoma diagnosis applications","Yes, as part of the proposed machine learning model","Melanoma","Not informed","Not informed","Not informed","Part of the proposed machine learning model","Comparison of processing time on cloud and smartphone's local machine","Not applicable","Not applicable","Yes, comparison between cloud-based and smartphone-based processing","Average processing time taken on both environments","Cloud-based processing is more efficient than smartphone-based processing (p value < 0.001)","Not applicable","No","Limited computing power of smartphones, resolved by proposed cloud-based approach","Towards the performance investigation of automatic melanoma diagnosis applications"
"Ensemble scheme for convolutional neural networks (CNNs) with intra-architecture and inter-architecture network fusion","Yes","New, combining multiple pre-trained CNNs","Yes, fusing deep features from different CNNs","Classification of skin lesions from dermoscopic images","Yes, using deep features from CNNs","Malignant melanoma and other skin cancers (e.g. seborrheic keratosis)","ISIC 2017 skin lesion classification challenge dataset","600 test images","Not informed","Fine-tuning of pre-trained CNNs on dermoscopic skin lesion images","Evaluation on ISIC 2017 skin lesion classification challenge dataset","Yes, using pre-trained CNNs fine-tuned on dermoscopic skin lesion images","Not informed","Yes, compared to top-ranked methods of the ISIC 2017 challenge","Area under receiver operating characteristic curve (AUC-ROC)","87.3% AUC-ROC for melanoma classification and 95.5% AUC-ROC for seborrheic keratosis classification","Yes, outperforming top-ranked methods of the ISIC 2017 challenge","No","Not informed","Fusing fine-tuned deep features for skin lesion classification"
"Recurrent residual U-Net (R2U-Net) and Recurrent U-Net (RU-Net)","Yes","New, combining U-Net, residual networks, and recurrent convolutional neural networks","Yes, utilizing the power of multiple architectures","Medical image segmentation","Yes, using feature accumulation with recurrent residual convolutional layers","Skin cancer","Three benchmark datasets: blood vessel segmentation in retinal images, skin cancer segmentation, and lung lesion segmentation","Not informed","Not informed","Not informed","Comparison with equivalent models (SegNet, U-Net, residual U-Net)","Not informed","Not informed","Yes, compared to SegNet, U-Net, and residual U-Net","Segmentation performance","Superior performance on segmentation tasks compared to equivalent models","Yes","Yes, three benchmark datasets","Not informed","Recurrent residual U-Net for medical image segmentation"
"Convolutional Neural Network (CNN) with LeNet-5 architecture","Yes","Adaptation, using LeNet-5 architecture","No","Classification of melanoma skin cancer","Yes, using CNN","Melanoma skin cancer","Not specified, but used 44 images for training and testing","176 images (training) and 44 images (testing)","Not informed","Not informed","Testing with different number of epochs","No","Not informed","No","Percentage of success in training and testing","93% accuracy in training and 100% accuracy in testing with 176 images and 100 epochs","Not informed","No","Not informed","Classification of melanoma skin cancer using convolutional neural network"
"Point-of-care method of imaging and evaluation of skin cancer margins using a smart, near-infrared probe (6qcNIR)","Yes","Not informed","Yes, combining fluorescence imaging with histological annotation","Validation of margins in surgically excised nonmelanoma skin cancer specimens","Yes, using image segmentation and fiducial-based registration","Nonmelanoma skin cancer (NMSC)","Not applicable, study on human tissue samples","Not informed","Not informed","Yes, using inverted, flying-spot fluorescence scanner and image processing techniques","Comparison of fluorescent signals to histological annotation","Not applicable","Not applicable","No","Spatial accuracy of fluorescence cancer signals with respect to histological annotations","Fluorescence cancer signals generally correspond spatially with histological annotations, with a spatial accuracy of ±4500 μm in the bulk of the sample and ±4100 μm at the margin","Not applicable","No","Methodology requires careful comparison of fluorescent signals to histological annotation, and may have limitations in terms of spatial accuracy","Molecular imaging and validation of margins in surgically excised nonmelanoma skin cancer specimens"
"Entropy-based methods for color segmentation of skin lesions","Yes","New, based on Tsallis, Havrda and Charvat, Renyi and Kapur entropy measures","No","Classification of dermoscopy images as melanoma or benign","Yes, using color information within the lesion","Melanoma","Not informed","Not informed","Not informed","Six Sigma threshold as preprocessor for segmentation","Comparison of different entropy-based methods using SSIM measures","Not informed","Not informed","Yes, comparison between five different models for color splitting","SSIM measures taken from each region in the color-split image","Entropy-based methods provide effective segmentation of skin lesions","Not informed","No","Not informed","A comparative assessment of segmentations on skin lesion through various entropy and six sigma thresholds"
"U-Net convolutional neural network for acral melanocytic lesion segmentation","Yes","New, based on fully convolutional network","No","Segmentation of acral melonacytic lesions","Yes, using U-Net architecture","Acral melanoma (AM)","Independent validation dataset with 210 dermoscopy images","210","Not informed","Not informed","Evaluation on independent validation dataset","Not informed","Not informed","No","DSC (Dice Similarity Coefficient), accuracy, sensitivity, and specificity","Average DSC of 0.92, accuracy 0.94, sensitivity 0.91, and specificity 0.92","Not informed","No","ALM lesions are small and similar to other local structures, creating difficulties during segmentation","Acral melanocytic lesion segmentation with a convolution neural network (U-Net)"
"Dermoscopy-guided OCT approach for automatic pigmented lesion segmentation","Yes","Not informed","Yes, combining dermoscopy and OCT images","Early diagnosis of pigmented lesions through image segmentation","Yes, using image processing techniques on dermoscopy images","Melanoma and other pigmented lesions","Not informed","Not informed","Not informed","Calibration procedure to coregister dermoscopy and OCT images","Not informed","Not applicable","Not applicable","No","Not informed","Proposal for early, real-time, and non-invasive diagnosis of pigmented lesions","Not applicable","No","Lesion margin delineation on OCT images is still challenging during early disease stages","Automatic pigmented lesion segmentation through a dermoscopy-guided OCT approach for early diagnosis"
"Deep Input Transfer","Yes, applied to ISIC 2017 Skin Lesion Segmentation dataset","Not informed, focuses on input modification rather than network architecture","No","Improving image segmentation performance via input transfer","Yes, leveraging gradients of trained segmentation network with respect to the input","Skin lesion","ISIC 2017 Skin Lesion Segmentation dataset, Shenzhen Chest X-Ray dataset, and CVC-ColonDB dataset","Not informed","Not informed","Gradient-based image enhancement","Comparison of Dice scores before and after applying Deep Input Transfer","Yes, leveraging pre-trained segmentation network","No, focuses on input modification rather than data augmentation","Yes, comparison with original segmentation performance","Average Dice scores","Improvements of 5.8%, 0.5%, and 4.8% in average Dice scores on the three datasets","Not informed","Yes, applied to three publicly available medical image segmentation datasets","Not informed","Improved Inference via Deep Input Transfer"
"Deep learning-based method for melanoma diagnosis using Convolutional Neural Networks (CNN)","Yes","Adaptation, using pre-trained Alexnet and GoogLeNet architectures","No","Classification of wound regions as melanoma or non-melanoma","Yes, using CNN","Melanoma","Not specified","Not informed","Not informed","No preprocessing used","Comparison of model performance using mean accuracy","Yes, using pre-trained Alexnet and GoogLeNet architectures","Yes, used to increase the number of input images","Yes, comparison between Alexnet and GoogLeNet models","Mean accuracy","High performance in terms of mean accuracy achieved with few data and no preprocessing","Not informed","No","Heterogeneity and database size are difficulties to overcome for good classification performance","Analyzing Digital Image by Deep Learning for Melanoma Diagnosis"
"Convolutional neural network (CNN) with LeNet architecture","Yes","Adaptation, using existing LeNet architecture","No","Classification of skin lesions into malignant and benign classes","Yes, automated feature extraction using CNN","Malignant melanoma","ISBI 2016 and PH2 datasets","Not informed","Not informed","Not informed","Evaluation on test sets from ISBI 2016 and PH2 datasets","Not informed","Not informed","No","Accuracy of classification","75% accuracy on ISBI 2016 dataset, and 97.91% accuracy on PH2 dataset","Not informed","Yes (ISBI 2016 and PH2 datasets)","Not informed","Lesion classification using convolutional neural network"
"Exponential entropy-based image segmentation methods","Yes","New, using boundary demarcation, contour- and learning-based approaches","Yes, combining multiple segmentation methods","Segmentation of dermoscopy images for skin lesion detection","Yes, using exponential entropy-based approach","Skin cancer, general","240 gold standard dermoscopy images","240","Not informed","Not informed","Comparison of computational benefits on GPU processing","Not informed","Not informed","No, only comparison of optimized methods on GPU processing","Speed and accuracy for skin lesion detection","Optimized methods show computational benefits from GPU processing in terms of speed and accuracy","Not informed","No, only tested on dermoscopy images","Not informed","An acceleration of improved segmentation methods for dermoscopy images using GPU"
"Fuzzy classification of pixels and histogram thresholding for skin lesion segmentation","Yes","New, innovative algorithm design","Yes, combining fuzzy classification and histogram thresholding","Segmentation of skin lesions in dermoscopy images","No, focuses on pixel classification","Melanoma","ISBI Challenges public databases (2016 and 2017) with 379 and 600 images respectively","979 total images (379 + 600)","Not informed","Not specified, but likely includes dermoscopy image processing techniques","Comparison with state-of-the-art methods using defined metrics (Accuracy, Dice Coefficient, Jaccard Index, Sensitivity and Specificity)","Not applicable","Not specified","Yes, compared to other participating state-of-the-art work in the ISBI Challenges","Jaccard Index (primary ranking metric), as well as Accuracy, Dice Coefficient, Sensitivity and Specificity","Ranked 9th and 15th out of 21 and 28 participants respectively using Jaccard Index, and 1st in the 2017 Challenge using Sensitivity","Yes, compared to other state-of-the-art methods participating in the ISBI Challenges","Yes, tested on two separate public databases (2016 and 2017 ISBI Challenges)","Not specified","Segmentation of skin lesions in dermoscopy images using fuzzy classification of pixels and histogram thresholding"
"DenseNet architecture with multilevel learnings","Yes","New, based on DenseNet architecture","Yes, combining convolutional neural network (CNN) and support vector machine (SVM) model","Classification of skin lesions into seven classes","Yes, using specialized network architecture and multilevel fine-tuning method","Melanoma, Basal cell carcinoma, and other types of skin lesions","Extended version of the HAM10000 dataset","Not informed","Yes, obtained through geometric transformations such as rotations, flipping, and affine","Geometric transformations (rotations, flipping, affine) for data augmentation","Not specified","Not informed","Yes, using geometric transformations","No","Classification performance of the seven skin lesions","Highly discriminative features obtained through multilevel fine-tuning method","Not informed","No","Not informed","Classification of skin lesions by combining multilevel learnings in a DenseNet architecture"
"Manifold Exploring Data Augmentation with Geometric Transformations","Yes, fine-grained skin lesion classification","Not informed","No","Data augmentation for increased performance and robustness of deep neural networks","Not applicable, focus on data augmentation","Skin lesions and breast tumors","Not specified, but evaluated on skin lesion classification and breast tumor classification tasks","Not informed","Not informed","Geometric transformations for data augmentation","Comparison with traditional augmentation methods and Generative Adversarial Networks","Not applicable","Yes, proposed method for manifold exploring data augmentation","Yes, compared to traditional augmentation methods and Generative Adversarial Networks","Performance on clean test data and robustness to random transformations","State-of-the-art performance and improved network robustness","Yes","Yes, evaluated on skin lesion classification and breast tumor classification tasks","Not informed","Manifold Exploring Data Augmentation with Geometric Transformations for Increased Performance and Robustness"
"Deep detection and classification of mitotic figures using Faster R-CNN and classifiers (Resnet152, Densenet169, and Densenet201)","No","State-of-the-art object detector (Faster R-CNN) and classifiers","Yes, combining object detection and classification","Mitosis detection for breast cancer prognosis","Yes, using convolutional neural networks","Breast cancer","ICPR 2012 dataset","Not informed","Not informed","Not informed","Evaluation using F1-score","Yes, using pre-trained classifiers (Resnet152, Densenet169, and Densenet201)","Not informed","No","F1-score","F1-score of 0.79 using Faster R-CNN as an object detector","Not applicable","No","Mitosis detection is a challenging task due to variability in shape, color, texture, and similar appearance to apoptotic nuclei","Deep detection and classification of mitotic figures"
"Convolutional Neural Network (CNN) with probability-average value of three models","Yes, classification of Vitiligo","New, using same structures with different color-space images","Yes, combining three CNN models trained with RGB, HSV, and YCrCb images","Classification of Vitiligo","Yes, using convolutional neural networks","Not applicable, study on Vitiligo (a skin disease)","Vitiligo dataset (not specified which one)","Not informed","Not informed","Conversion to different color-spaces (RGB, HSV, and YCrCb)","Evaluation using ROC curve, accuracy, precision, sensitivity, and specificity","Not informed","Not informed","Yes, comparison with individual networks","Area under the ROC curve (AUC), accuracy, precision, sensitivity, and specificity","94.2% AUC, 87.8% accuracy, 91.9% precision, 90.9% sensitivity, and 80.2% specificity","Not informed","No","Not informed","Classification of Vitiligo Based on Convolutional Neural Network"
"Not applicable, systematic mapping study of mobile applications in dermatology","Yes","Not informed","No","Systematic literature mapping of mobile applications using artificial intelligence for skin disease diagnosis","No","General skin diseases, not specifically cancer-focused","Not applicable, systematic review of existing studies","Not informed","Not informed","Not applicable","Comparison with dermatologist accuracy and evaluation of sensitivity, specificity, and overall accuracy","Not applicable","Not applicable","Yes, comparison between mobile application diagnoses and dermatologist accuracy","Sensitivity, specificity, and overall accuracy of diagnoses","Some applications showed high levels of precision using artificial neural networks and vector-support machine algorithms","Not applicable","No","Techniques are still in development, limited to a few diseases, and there is a need for further research to minimize the gap between doctor and patient","Artificial intelligence in mobile applications of dermatology: A systematic mapping study"
"Hybrid automatic classification model for skin tumour images","Yes","New, combining mathematics and artificial techniques","Yes, using K-Nearest Neighbors, Multilayer Perceptron, and Support Vector Machine","Classification of skin tumours from dermoscopy images","Not informed","Skin tumours (malignant and benign)","HAM10000 data set","Not informed","Not informed","Not informed","Comparison with similar researches","Not informed","Not informed","Yes, compared to other classification models","Classification accuracy","Not specified, experimental results are mentioned but not detailed","Not informed","No, only tested on HAM10000 data set","Not informed","A Hybrid Automatic Classification Model for Skin Tumour Images"
"Deep learning model using convolution neural network (CNN) with patient background knowledge","Yes","New, CNN-based architecture","Yes, combining image data and patient background knowledge","Dermatological classification of skin diseases","Yes, using convolution neural network (CNN)","Skin cancer","Public dataset (not specified)","Not informed","Not informed","Not informed","Comparison of CNN model with and without patient background knowledge","Not informed","Not informed","Yes, comparison between CNN model with and without patient background knowledge","Classification accuracy","80.39% classification accuracy using proposed method with patient background knowledge","Not informed","No","Not informed","Dermatological classification using deep learning of skin image and patient background knowledge"
"Not applicable, conference proceedings","Yes, skin lesion classification mentioned","Not informed","No","Machine learning in medical imaging","Not specified","Various, including esophageal abnormalities, brain tumors, colon cancer, and skin lesions","Not applicable, conference proceedings","Not informed","Not informed","Not specified","Not applicable, conference proceedings","Mentioned in some papers, e.g., multi-stage transfer learning","Not specified","Not applicable, conference proceedings","Not specified","Not applicable, conference proceedings","Not applicable","Yes, various medical imaging datasets mentioned","Not informed","10th International Workshop on Machine Learning in Medical Imaging, MLMI 2019 held in conjunction with the 22nd International Conference on Medical Image Computing and Computer-Assisted Intervention, MICCAI 2019"
"2D and 3D algorithms for measuring skin lesion surface area","Yes","New, using semi-automatic segmentation and Structure from Motion","No","Measurement of skin lesion surface area","Yes, using local scale estimation and rough outlining of region of interest","Not specified, general skin lesions","117 phantom images and five phantom videos","122 (117 images + 5 videos)","Not informed","Semi-automatic segmentation of the lesion","Comparison with ground truth measurements","Not applicable","Not applicable","No, only comparison between 2D and 3D approaches","Absolute error and relative error of surface area measurement","3D approach achieved errors <1 cm2 and <5% for five test phantoms","Not applicable","No, only phantom data used","Measurements were based on phantoms and need to be repeated with real clinical data","Measuring surface area of skin lesions with 2D and 3D algorithms"
"Convolutional neural network with improved uncertainty estimation using inter-rater agreement","Yes","Not informed","No","Improving uncertainty estimation in convolutional neural networks for skin condition classification","Not specified","Not specified, general skin conditions","Proprietary dataset of 31017 images of skin with up to 12 expert diagnoses per image","31017","Not informed","Not specified","Comparison of model calibration and accuracy using different label sampling schemes","Not applicable","Not applicable","Yes, comparison with traditional majority voting approach and other uncertainty estimation techniques","Model calibration and accuracy","Improved model calibration using label sampling scheme that takes advantage of inter-rater variability during training, without sacrificing model accuracy","Not applicable","No","Not specified","Improving uncertainty estimation in convolutional neural networks using inter-rater agreement"
"Not applicable, conference proceedings","Yes, one of the topics is skin lesion segmentation in dermoscopy images","Not informed","No","Various topics related to Artificial Intelligence","Not applicable","Skin cancer, specifically skin lesions","Not applicable, conference proceedings","Not informed","Not informed","Not applicable","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","32nd Canadian Conference on Artificial Intelligence, Canadian AI 2019"
"Intelligent system for skin mark analysis using convolutional classifier","Yes","New, based on intelligent things and deep learning","Yes, combining image and numerical data","Detection of neoplastic changes in skin marks for melanoma diagnosis","Yes, using convolutional classifier","Melanoma","Publicly available database for consultation with dermatologist","Not informed","Not informed","Not informed","Analysis of proposed solution with advantages and disadvantages","Not informed","Not informed","No","Not specified, but aims to detect neoplastic changes for melanoma diagnosis","Quick detection of skin marks can result in a chance to prolong life","Not informed","No","Dependence on individual immunity, genetics, and exposure to ultraviolet radiation","Analysis of Skin Marks through the Use of Intelligent Things"
"Image generation method based on generative adversarial network for skin lesion classification","Yes","New, using generative adversarial network","Yes, combining real and generated images for data collaboration","Classification of skin lesions under imbalance dataset","Not informed","Skin lesions","Not specified","Not informed","No, addressing imbalance data problem","Not informed","Comparison of classification accuracy with and without generated images","Not informed","Yes, using generative adversarial network for image generation","No","Classification accuracy","Improved classification accuracy with the addition of generated images","Not informed","No","Not informed","Classification of Skin Lesions Based on Data Collaboration Under Imbalance Dataset"
"Framework for detection of skin disease using soft computing models","Yes","New, combining image processing and soft computing models","Yes, using Fuzzy logic, Artificial Neural Network, and Genetic algorithm","Detection of degree of skin disease","Yes, using image processing tools to collect image characteristics","Not specified, general skin disease","Not informed","Not informed","Not informed","Yes, using image processing tools","Comparison of average error values for different soft computing models","Not informed","Not informed","Yes, comparison between Fuzzy logic, Artificial Neural Network, and Genetic algorithm","Average error value","Selection of soft computing model with minimum average error value for disease detection","Not informed","No","Not informed","A Frame Work for Detection of the Degree of Skin Disease Using Different Soft Computing Model"
"Deep learning-based approaches for skin disease diagnosis","Yes","Adaptation, using existing network models (U-Net, InceptionV3, InceptionResNetV2, VGGNet, ResNet)","No","Classification of skin diseases from digital photographs","Yes, using deep learning-based approaches","Not specified, general skin disease diagnosis","Not informed","Not informed","Not informed","Not informed","Comparative evaluation of different network models","Yes, using pre-trained network models","Not informed","Yes, comparison between different network models (U-Net, InceptionV3, InceptionResNetV2, VGGNet, ResNet)","Accuracy of skin disease diagnosis","80% accuracy achieved by ResNet model","Not informed","No","Further studies required to design and develop a new model with higher accuracy, and testing should be performed with more diverse data","Skin Disease Diagnosis from Photographs Using Deep Learning"
"Deep Convolutional Neural Network for skin identification","Yes","New, sequential deep model with convolutional and fully connected layers","No","Skin identification using texture classification","Yes, using convolutional layers for skin texture analysis","Not specified, general skin identification","FSD Benchmark dataset and in-house skin texture patch dataset","Not informed","Not informed","Not informed","Comparison with well-known texture-based skin identification techniques","Not informed","Not informed","Yes, comparison with other skin identification techniques","Overall accuracy and loss","Highest reported accuracy of 0.932 and minimum loss of 0.224","Delivered superior results compared to other techniques","Yes, two datasets used for experiments","Not informed","Skin Identification Using Deep Convolutional Neural Network"
"Not applicable, review article on deep learning in dermatology","Yes","Not informed","No","Review of deep learning techniques in dermatological imaging","Not specified","Skin lesions, general","Not applicable, review article","Not informed","Not informed","Not specified","Not applicable, review article","Mentioned as a type of Artificial Neural Network (Machine Learning)","Not mentioned","No","Not specified","Not applicable, review article","Not applicable","No","Inadequacies and future research prospects in deep learning for dermatological imaging are discussed","Deep Learning in Image Processing: Revolutionizing Diagnosis in the Field of Dermatology"
"Convolutional neural networks for melanoma detection","Yes","Not informed, uses existing architectures","No","Investigating interpretability of deep learning models for melanoma detection","Yes, using Grad-CAM and Kernel SHAP methods","Melanoma","HAM10000 dataset","Not informed","Not informed","Not informed","Sanity check experiments and comparison of model explanations","Not applicable","Not applicable","No, focuses on interpretability methods","Model accuracy and explanation quality","High accuracy models can assign importance to irrelevant features, and similar accuracy models produce different explanations","Not applicable","No","Difficulty in understanding model predictions and identifying potential failure modes","Deep neural network or dermatologist?"
"Not applicable, workshop proceedings","No","Not informed","No","Domain adaptation and representation transfer in medical image computing","Not specified","Not specified, general medical imaging applications","Various datasets mentioned in individual papers","Not informed","Not informed","Not specified","Not applicable, workshop proceedings","Yes, several papers mention transfer learning as a topic","Not specified","Not applicable, workshop proceedings","Not specified","Not applicable, workshop proceedings","Not applicable","Yes, various datasets mentioned in individual papers","Not informed","1st MICCAI Workshop on Domain Adaptation and Representation Transfer, DART 2019, and the 1st International Workshop on Medical Image Learning with Less Labels and Imperfect Data, MIL3ID 2019, held in conjunction with 22nd International Conference on Medical Image Computing and Computer- Assisted Intervention, MICCAI 2019"
"DermGAN: Synthetic Generation of Clinical Skin Images with Pathology","Yes","Adaptation, based on Pix2Pix architecture","No","Synthetic generation of clinical skin images with pathology","Not informed","Skin condition, including malignant conditions","Not specified, but used for training and testing DermGAN","Not informed","Not informed","Not informed","Objective GAN evaluation metrics and Human Turing test","Not informed","Yes, using synthetic images to augment training data for skin condition classifier","Yes, compared to baseline model trained without synthetic images","GAN evaluation metrics and classification performance","Synthetic images are of high fidelity and improve classification performance on rare but malignant conditions","Not informed","No","Not informed","DermGAN: Synthetic Generation of Clinical Skin Images with Pathology"
"XiangyaDerm dataset for skin disease aided diagnosis","Yes","Not informed, focuses on the dataset","No","Creation of a large-scale clinical image dataset for Asian skin diseases","Not applicable, focuses on the dataset","Skin disease, general","XiangyaDerm dataset (107,565 images, 541 types of skin diseases)","107,565","Not informed","Labeling by professional doctors","Comparison of CNN models on the dataset","Not applicable","Not applicable","Yes, comparison of several advanced CNNs (InceptionResNetV2, etc.)","Top-1 and Top-3 accuracies for skin disease classification","InceptionResNetV2 achieved 0.588 Top-1 accuracy and 0.764 Top-3 accuracy","Not applicable, focuses on the dataset","Yes, cross-test experiment with Derm101 dataset","CNN models have different performance on datasets from different ethnic groups","XiangyaDerm: A clinical image dataset of asian race for skin disease aided diagnosis"
"Not applicable, conference proceedings","Yes, some papers related to skin lesion segmentation and melanocytic lesions","Not informed","No","Image Analysis and Recognition, with various topics including medical image analysis","Not applicable","Melanocytic lesions, skin cancer","Not applicable, conference proceedings","Not informed","Not informed","Not applicable","Not applicable","Yes, some papers mention transfer learning","Not applicable","No","Not applicable","Not applicable","Not applicable","No","Not applicable","16th International Conference on Image Analysis and Recognition, ICIAR 2019"
"Light-Separation-Lab with convolutional neural network approach","No, epicuticular waxes of grapevine berries","New, using convolutional neural networks","Yes, combining light separation and CNN","Automated phenotyping of epicuticular waxes","Yes, using illumination-separated images","Not applicable, study on grapevine berries","Six grapevine cultivars","Not informed","Not informed","Illumination-separated images captured using Light-Separation-Lab","Method validation with accuracies up to 97.3%","Not informed","Not informed","No, novel approach","Accuracies of epicuticular wax phenotyping","Up to 97.3% accuracy in method validation","Not applicable","Yes, six grapevine cultivars","Not informed","Automated phenotyping of epicuticular waxes of grapevine berries using light separation and convolutional neural networks"
"Not applicable, study on circulating soluble biomarkers in psoriatic patients","No","Not informed","No","Analysis of circulating soluble PD-1, NRP-1, and HLA-G in psoriatic patients","No","Not applicable, study on psoriasis","Not applicable, study on human participants","Not applicable","57 psoriatic patients and 29 controls","Not applicable","Comparison between psoriatic patients and control group","Not applicable","Not applicable","Yes, comparison between psoriatic patients and control group","Concentrations of soluble PD-1, NRP-1, and HLA-G","Increased concentrations of sNRP-1 in psoriatic patients, unchanged values of sHLA-G and sPD-1","Not applicable","No","Small sample size, limited to plasma concentrations of soluble biomarkers","Analysis of circulating soluble programmed death 1 (PD-1), neuropilin 1 (NRP-1) and human leukocyte antigen-G (HLA-G) in psoriatic patients"
"Combination of CNN classifier and generative adversarial network (GAN) for biomarker localization","Yes, applied to skin images with simulated biomarkers","New, combining CNN and GAN architectures","Yes, combines CNN classifier and GAN","Biomarker localization in medical images","Yes, using encoder-decoder in the GAN","Not specified, general biomarker localization","Diabetic retinopathy images and skin images with simulated biomarkers","Not informed","Not informed","Not informed","Comparison to state-of-the-art methods","Not informed","Not informed","Yes, compared to state-of-the-art methods","Performance in localizing biomarkers","State-of-the-art performance in localizing biomarkers even if they are irregularly scattered and of various sizes","Yes","Yes, tested on diabetic retinopathy images and skin images with simulated biomarkers","Not informed","Biomarker localization by combining CNN classifier and generative adversarial network"
"Algorithm for breast cancer detection through thermographic image segmentation and processing","No, focuses on breast cancer detection using thermography","Not informed","Yes, combines identification of area of interest, color segmentation, and quantitative discrimination by color tonality","Detection and analysis of breast cancer through thermographic images","Yes, uses histogram and K-means for image processing and segmentation","Breast cancer","Not informed","Not informed","Not informed","Identification of area of interest, color segmentation, and quantitative discrimination by color tonality","Not informed","Not applicable","Not applicable","No","Not informed","Not informed","Not applicable","No","Not informed, but mentions that mammography has limitations and thermography is explored as an alternative","Processing Thermographic Images for the Pre Diagnosis of Breast Cancer"
